date,원전관련주
2020-03-20,0.19432
2020-03-21,0.10983
2020-03-22,0.09012
2020-03-23,0.15208
2020-03-24,0.12955
2020-03-25,0.38302
2020-03-26,0.25347
2020-03-27,0.33232
2020-03-28,0.16616
2020-03-29,0.17461
2020-03-30,0.16334
2020-03-31,0.21685
2020-04-01,0.19432
2020-04-02,0.22249
2020-04-03,0.31261
2020-04-04,0.19432
2020-04-05,0.14644
2020-04-06,0.28726
2020-04-07,0.42808
2020-04-08,0.32951
2020-04-09,0.43653
2020-04-10,0.40837
2020-04-11,0.31261
2020-04-12,0.2253
2020-04-13,0.28726
2020-04-14,0.28726
2020-04-15,0.32669
2020-04-16,0.31261
2020-04-17,0.24502
2020-04-18,0.1042
2020-04-19,0.11265
2020-04-20,0.59706
2020-04-21,0.33796
2020-04-22,0.18869
2020-04-23,0.10702
2020-04-24,0.09012
2020-04-25,0.04506
2020-04-26,0.03379
2020-04-27,0.09293
2020-04-28,0.08167
2020-04-29,0.06195
2020-04-30,0.07604
2020-05-01,0.10702
2020-05-02,0.01689
2020-05-03,0.03661
2020-05-04,0.0704
2020-05-05,0.04224
2020-05-06,0.04506
2020-05-07,0.1211
2020-05-08,0.25347
2020-05-09,0.17742
2020-05-10,0.09012
2020-05-11,0.29008
2020-05-12,0.138
2020-05-13,0.08449
2020-05-14,0.01408
2020-05-15,0.33514
2020-05-16,0.1042
2020-05-17,0.04506
2020-05-18,0.14363
2020-05-19,0.10983
2020-05-20,0.0873
2020-05-21,0.30979
2020-05-22,0.18869
2020-05-23,0.11547
2020-05-24,0.15208
2020-05-25,0.08449
2020-05-26,0.32669
2020-05-27,0.45906
2020-05-28,0.25628
2020-05-29,0.14926
2020-05-30,0.14644
2020-05-31,0.0704
2020-06-01,0.09293
2020-06-02,0.18869
2020-06-03,0.19714
2020-06-04,0.16334
2020-06-05,0.12673
2020-06-06,0.10702
2020-06-07,0.09293
2020-06-08,0.09575
2020-06-09,0.03097
2020-06-10,0.51539
2020-06-11,0.16334
2020-06-12,0.06759
2020-06-13,0.04506
2020-06-14,0.05351
2020-06-15,0.07604
2020-06-16,0.05351
2020-06-17,0.16898
2020-06-18,0.11265
2020-06-19,0.0704
2020-06-20,0.0704
2020-06-21,0.08167
2020-06-22,0.10702
2020-06-23,0.14644
2020-06-24,0.09012
2020-06-25,0.1211
2020-06-26,0.09012
2020-06-27,0.10138
2020-06-28,0.05632
2020-06-29,0.36894
2020-06-30,0.16334
2020-07-01,0.11547
2020-07-02,0.1042
2020-07-03,0.06477
2020-07-04,0.05069
2020-07-05,0.11547
2020-07-06,0.11265
2020-07-07,0.10138
2020-07-08,0.10983
2020-07-09,0.46188
2020-07-10,0.29853
2020-07-11,0.12955
2020-07-12,0.05914
2020-07-13,0.19432
2020-07-14,0.138
2020-07-15,0.15208
2020-07-16,0.08167
2020-07-17,0.17742
2020-07-18,0.11265
2020-07-19,0.14363
2020-07-20,0.27881
2020-07-21,0.48441
2020-07-22,0.88714
2020-07-23,0.59988
2020-07-24,1.61094
2020-07-25,0.75759
2020-07-26,0.46469
2020-07-27,0.54918
2020-07-28,0.45061
2020-07-29,0.41118
2020-07-30,0.36612
2020-07-31,0.18869
2020-08-01,1.64474
