date,9호선연장
2020-03-20,3.91002
2020-03-21,3.27937
2020-03-22,3.15324
2020-03-23,4.3725
2020-03-24,3.36346
2020-03-25,3.21631
2020-03-26,3.46857
2020-03-27,2.94303
2020-03-28,2.64872
2020-03-29,2.12318
2020-03-30,3.34244
2020-03-31,3.74185
2020-04-01,4.56169
2020-04-02,6.60079
2020-04-03,4.09922
2020-04-04,2.56464
2020-04-05,2.77485
2020-04-06,4.24637
2020-04-07,4.0782
2020-04-08,7.4837
2020-04-09,4.56169
2020-04-10,3.69981
2020-04-11,2.39646
2020-04-12,3.97309
2020-04-13,4.68782
2020-04-14,4.24637
2020-04-15,2.87996
2020-04-16,3.95207
2020-04-17,2.79587
2020-04-18,2.43851
2020-04-19,2.64872
2020-04-20,4.20433
2020-04-21,2.8169
2020-04-22,3.67878
2020-04-23,3.78389
2020-04-24,2.87996
2020-04-25,2.22829
2020-04-26,1.99705
2020-04-27,3.04813
2020-04-28,3.27937
2020-04-29,2.1442
2020-04-30,1.51355
2020-05-01,2.01807
2020-05-02,2.06012
2020-05-03,2.1442
2020-05-04,3.09018
2020-05-05,2.87996
2020-05-06,3.38448
2020-05-07,2.83792
2020-05-08,2.66974
2020-05-09,2.29136
2020-05-10,2.22829
2020-05-11,2.66974
2020-05-12,14.75719
2020-05-13,13.93735
2020-05-14,12.02438
2020-05-15,5.52869
2020-05-16,3.889
2020-05-17,4.22535
2020-05-18,5.33949
2020-05-19,5.1503
2020-05-20,4.12024
2020-05-21,7.16838
2020-05-22,6.64284
2020-05-23,2.94303
2020-05-24,3.99411
2020-05-25,4.77191
2020-05-26,5.82299
2020-05-27,5.50767
2020-05-28,4.16228
2020-05-29,4.16228
2020-05-30,2.83792
2020-05-31,3.27937
2020-06-01,5.33949
2020-06-02,7.39962
2020-06-03,6.53773
2020-06-04,5.73891
2020-06-05,5.08723
2020-06-06,2.94303
2020-06-07,3.95207
2020-06-08,13.43283
2020-06-09,11.20454
2020-06-10,11.73008
2020-06-11,8.82909
2020-06-12,5.99117
2020-06-13,4.58272
2020-06-14,4.49863
2020-06-15,6.83203
2020-06-16,5.82299
2020-06-17,5.40256
2020-06-18,5.46562
2020-06-19,4.77191
2020-06-20,2.85894
2020-06-21,3.48959
2020-06-22,6.1173
2020-06-23,5.59175
2020-06-24,5.00315
2020-06-25,5.46562
2020-06-26,4.72987
