date,미증시
2020-03-20,16.30335
2020-03-21,11.87967
2020-03-22,2.32804
2020-03-23,9.21158
2020-03-24,18.28044
2020-03-25,17.23847
2020-03-26,17.29618
2020-03-27,14.46197
2020-03-28,9.74972
2020-03-29,1.98644
2020-03-30,6.36021
2020-03-31,12.5309
2020-04-01,14.18666
2020-04-02,14.50721
2020-04-03,10.90556
2020-04-04,6.0732
2020-04-05,1.54033
2020-04-06,4.9041
2020-04-07,11.05296
2020-04-08,10.96561
2020-04-09,10.52574
2020-04-10,8.74207
2020-04-11,3.83172
2020-04-12,1.24786
2020-04-13,3.91829
2020-04-14,7.743
2020-04-15,6.46472
2020-04-16,7.43259
2020-04-17,7.13154
2020-04-18,3.73501
2020-04-19,1.04976
2020-04-20,3.2733
2020-04-21,13.67036
2020-04-22,27.54583
2020-04-23,12.23999
2020-04-24,7.60417
2020-04-25,3.62504
2020-04-26,0.93745
2020-04-27,2.43255
2020-04-28,6.83128
2020-04-29,6.20578
2020-04-30,4.15695
2020-05-01,4.10001
2020-05-02,3.8598
2020-05-03,1.01389
2020-05-04,2.31712
2020-05-05,6.10127
2020-05-06,6.66905
2020-05-07,6.61524
2020-05-08,5.30888
2020-05-09,2.97303
2020-05-10,0.82515
2020-05-11,2.24381
2020-05-12,6.34695
2020-05-13,17.9248
2020-05-14,10.37677
2020-05-15,7.35772
2020-05-16,3.10718
2020-05-17,0.80565
2020-05-18,2.58308
2020-05-19,9.94548
2020-05-20,10.88528
2020-05-21,6.54895
2020-05-22,7.21655
2020-05-23,3.24444
2020-05-24,0.92731
2020-05-25,2.5745
2020-05-26,6.16289
2020-05-27,7.25789
2020-05-28,6.72443
2020-05-29,8.01519
2020-05-30,2.97381
2020-05-31,0.71284
2020-06-01,2.27423
2020-06-02,5.39311
2020-06-03,5.56001
2020-06-04,6.06462
2020-06-05,5.2925
2020-06-06,3.24444
2020-06-07,0.71128
2020-06-08,1.99892
2020-06-09,6.15899
2020-06-10,6.60276
2020-06-11,6.55831
2020-06-12,100.0
2020-06-13,7.25399
2020-06-14,1.37499
2020-06-15,6.70883
2020-06-16,26.03514
2020-06-17,10.663
2020-06-18,7.75548
2020-06-19,6.52165
2020-06-20,3.67028
2020-06-21,0.84542
2020-06-22,2.47467
2020-06-23,5.81583
2020-06-24,6.10985
2020-06-25,19.73186
2020-06-26,12.29614
2020-06-27,7.02158
2020-06-28,1.59258
2020-06-29,4.93062
2020-06-30,13.49332
2020-07-01,8.88869
2020-07-02,7.76405
2020-07-03,6.03654
2020-07-04,2.72112
2020-07-05,0.97957
2020-07-06,2.80691
2020-07-07,6.93266
2020-07-08,8.67188
2020-07-09,6.03498
2020-07-10,5.56781
2020-07-11,2.93014
