date,레이븐코인
2020-03-20,1.35882
2020-03-21,0.81168
2020-03-22,0.75456
2020-03-23,0.83874
2020-03-24,0.83273
2020-03-25,0.75456
2020-03-26,1.04016
2020-03-27,0.69444
2020-03-28,0.67039
2020-03-29,0.51406
2020-03-30,0.61026
2020-03-31,0.73051
2020-04-01,0.59824
2020-04-02,0.66137
2020-04-03,0.68542
2020-04-04,0.51106
2020-04-05,0.34571
2020-04-06,0.74855
2020-04-07,0.70346
2020-04-08,0.61026
2020-04-09,0.75156
2020-04-10,0.84776
2020-04-11,0.58321
2020-04-12,0.55615
2020-04-13,0.83273
2020-04-14,0.59223
2020-04-15,0.52609
2020-04-16,0.5772
2020-04-17,0.70947
2020-04-18,0.5772
2020-04-19,0.57419
2020-04-20,0.7215
2020-04-21,0.6253
2020-04-22,0.68843
2020-04-23,0.69444
2020-04-24,0.74254
2020-04-25,0.53511
2020-04-26,1.09728
2020-04-27,0.79365
2020-04-28,0.73051
2020-04-29,0.76659
2020-04-30,0.81168
2020-05-01,0.7215
2020-05-02,0.78463
2020-05-03,0.87181
2020-05-04,0.6734
2020-05-05,0.75456
2020-05-06,1.00408
2020-05-07,0.75156
2020-05-08,0.65836
2020-05-09,0.59223
2020-05-10,0.53811
2020-05-11,0.6734
2020-05-12,0.71849
2020-05-13,0.66438
2020-05-14,0.6764
2020-05-15,0.80868
2020-05-16,0.53511
2020-05-17,0.50505
2020-05-18,0.8207
2020-05-19,0.60125
2020-05-20,0.59824
2020-05-21,0.54112
2020-05-22,0.56517
2020-05-23,0.44191
2020-05-24,0.44793
2020-05-25,0.7726
2020-05-26,0.6764
2020-05-27,0.79665
2020-05-28,0.64634
2020-05-29,0.52308
2020-05-30,0.484
2020-05-31,0.57419
2020-06-01,0.6253
2020-06-02,0.69143
2020-06-03,0.64333
2020-06-04,0.61928
2020-06-05,0.65235
2020-06-06,0.484
2020-06-07,0.59824
2020-06-08,0.59223
2020-06-09,0.73051
2020-06-10,0.62229
2020-06-11,0.74254
2020-06-12,0.55315
2020-06-13,0.57118
2020-06-14,0.50505
2020-06-15,0.66137
2020-06-16,0.68241
2020-06-17,0.86279
2020-06-18,0.75456
2020-06-19,0.7696
2020-06-20,0.484
2020-06-21,0.52008
2020-06-22,0.64935
2020-06-23,0.78763
2020-06-24,0.79064
2020-06-25,0.80266
2020-06-26,0.74555
2020-06-27,0.64033
2020-06-28,0.6734
2020-06-29,0.65536
2020-06-30,0.66137
2020-07-01,0.51106
2020-07-02,0.65836
2020-07-03,0.80868
2020-07-04,0.55014
2020-07-05,0.64033
2020-07-06,0.80868
2020-07-07,0.80266
2020-07-08,0.83874
2020-07-09,0.74254
2020-07-10,0.68542
2020-07-11,0.55615
2020-07-12,0.55014
2020-07-13,0.88985
2020-07-14,1.45202
2020-07-15,0.77561
2020-07-16,0.7726
2020-07-17,0.59223
2020-07-18,0.55615
2020-07-19,0.59523
2020-07-20,0.67941
2020-07-21,0.72751
2020-07-22,0.5772
2020-07-23,0.70346
2020-07-24,0.65235
2020-07-25,0.67039
2020-07-26,0.64935
2020-07-27,0.77861
2020-07-28,1.05519
2020-07-29,0.8207
2020-07-30,0.99206
2020-07-31,0.96801
2020-08-01,0.81168
2020-08-02,0.89886
2020-08-03,0.84175
2020-08-04,0.99206
2020-08-05,1.74663
2020-08-06,1.86087
2020-08-07,1.2987
2020-08-08,0.98003
2020-08-09,0.98905
2020-08-10,1.31072
2020-08-11,1.46705
2020-08-12,1.05218
2020-08-13,1.08225
2020-08-14,1.92099
2020-08-15,0.92893
2020-08-16,1.09427
2020-08-17,1.51815
2020-08-18,1.32275
2020-08-19,1.12433
2020-08-20,0.95899
2020-08-21,1.05218
2020-08-22,0.69444
2020-08-23,0.7726
2020-08-24,0.94997
2020-08-25,0.7696
2020-08-26,0.93193
2020-08-27,0.965
2020-08-28,0.90788
2020-08-29,0.68542
2020-08-30,0.70947
2020-08-31,0.84475
2020-09-01,0.78463
2020-09-02,0.73953
2020-09-03,0.82671
2020-09-04,0.85678
2020-09-05,0.73953
2020-09-06,0.75757
