date,엔잡러
2020-03-31,0.70237
2020-04-07,0.52677
2020-04-22,0.52677
2020-05-02,0.43898
2020-05-05,0.43898
2020-05-14,0.43898
2020-05-15,0.43898
2020-05-18,0.70237
2020-05-21,0.43898
2020-05-22,0.43898
2020-06-15,0.52677
2020-06-17,0.43898
2020-06-19,0.43898
2020-07-07,0.43898
2020-07-15,0.43898
2020-07-16,0.52677
2020-07-18,0.43898
2020-07-19,0.70237
2020-07-20,0.61457
2020-07-23,0.43898
2020-07-24,0.70237
2020-07-25,0.61457
2020-08-04,0.52677
2020-08-08,0.43898
2020-08-28,0.52677
2020-09-07,0.43898
2020-09-08,0.52677
2020-09-09,0.70237
2020-09-17,0.43898
2020-09-22,0.61457
2020-09-23,0.61457
2020-09-24,0.61457
2020-09-28,0.52677
2020-10-04,0.61457
2020-10-05,0.52677
2020-10-08,0.52677
2020-10-09,0.52677
2020-10-19,0.52677
2020-10-21,0.43898
2020-10-26,0.43898
2020-11-05,0.43898
2020-11-08,0.70237
2020-11-14,0.43898
2020-11-16,0.43898
2020-11-17,3.16066
2020-11-18,0.61457
2020-11-19,0.96575
2020-11-22,1.93151
2020-12-01,0.52677
2020-12-02,0.61457
2020-12-04,0.43898
2020-12-06,0.52677
2020-12-08,0.61457
2020-12-13,1.31694
2020-12-14,2.10711
2020-12-15,0.96575
2020-12-16,0.52677
2020-12-17,0.70237
2020-12-21,0.87796
2020-12-22,0.70237
2020-12-23,0.52677
2020-12-27,0.43898
2020-12-28,0.52677
2020-12-29,0.79016
2020-12-30,0.87796
2020-12-31,2.10711
2021-01-01,0.61457
2021-01-02,0.43898
2021-01-03,0.43898
2021-01-04,0.79016
2021-01-05,1.22914
2021-01-06,0.43898
2021-01-07,1.49253
2021-01-08,0.43898
2021-01-10,0.43898
2021-01-11,0.52677
2021-01-13,1.05355
2021-01-14,0.70237
2021-01-15,0.87796
2021-01-17,0.61457
2021-01-18,1.66812
2021-01-19,2.63388
2021-01-20,1.93151
2021-01-21,5.09218
2021-01-22,5.79455
2021-01-23,7.72607
2021-01-24,11.23792
2021-01-25,14.48639
2021-01-26,13.95961
2021-01-27,11.06233
2021-01-28,10.00877
2021-01-29,6.67251
2021-01-30,5.26777
2021-01-31,4.21422
2021-02-01,5.70676
2021-02-02,9.21861
2021-02-03,9.04302
2021-02-04,9.83318
2021-02-05,8.77963
2021-02-06,8.34064
2021-02-07,6.67251
2021-02-08,11.06233
2021-02-09,13.08165
2021-02-10,18.52502
2021-02-11,8.51624
2021-02-12,10.53555
2021-02-13,6.9359
2021-02-14,6.9359
2021-02-15,11.32572
2021-02-16,10.53555
2021-02-17,11.94029
2021-02-18,14.1352
2021-02-19,11.58911
2021-02-20,9.74539
2021-02-21,6.9359
2021-02-22,19.75417
2021-02-23,20.80772
2021-02-24,12.73046
2021-02-25,12.20368
2021-02-26,11.6769
2021-02-27,7.81387
2021-02-28,9.83318
2021-03-01,9.3942
2021-03-02,10.44776
2021-03-03,13.25724
2021-03-04,13.95961
2021-03-05,11.23792
2021-03-06,6.49692
2021-03-07,8.16505
2021-03-08,13.52063
2021-03-09,12.64266
2021-03-10,15.18876
2021-03-11,11.7647
2021-03-12,12.73046
2021-03-13,11.32572
2021-03-14,9.56979
2021-03-15,15.27655
2021-03-16,18.17383
2021-03-17,22.38805
2021-03-18,20.28094
2021-03-19,20.45654
2021-03-20,12.20368
2021-03-21,11.58911
2021-03-22,17.03248
2021-03-23,15.27655
2021-03-24,13.08165
2021-03-25,14.48639
2021-03-26,11.6769
2021-03-27,8.42844
2021-03-28,8.34064
2021-03-29,12.99385
2021-03-30,12.99385
2021-03-31,12.20368
2021-04-01,14.92537
2021-04-02,11.06233
2021-04-03,6.58472
2021-04-04,8.69183
2021-04-05,16.15452
2021-04-06,12.99385
2021-04-07,9.74539
2021-04-08,12.64266
2021-04-09,16.85689
2021-04-10,11.6769
2021-04-11,10.09657
2021-04-12,14.83757
2021-04-13,18.43722
2021-04-14,15.18876
2021-04-15,18.08604
2021-04-16,15.53994
2021-04-17,12.20368
2021-04-18,10.00877
2021-04-19,14.92537
2021-04-20,15.71553
2021-04-21,19.49078
2021-04-22,19.92976
2021-04-23,15.10096
2021-04-24,10.09657
2021-04-25,13.16944
2021-04-26,20.45654
2021-04-27,21.77348
2021-04-28,22.21246
2021-04-29,18.70061
2021-04-30,17.73485
2021-05-01,8.34064
2021-05-02,8.60403
2021-05-03,15.10096
2021-05-04,15.80333
2021-05-05,10.79894
2021-05-06,14.66198
2021-05-07,13.08165
2021-05-08,12.55487
2021-05-09,12.55487
2021-05-10,19.31518
2021-05-11,16.76909
2021-05-12,15.10096
2021-05-13,13.78402
2021-05-14,14.1352
2021-05-15,10.44776
2021-05-16,9.3942
2021-05-17,17.91044
2021-05-18,15.89113
2021-05-19,12.37928
2021-05-20,18.61281
2021-05-21,13.78402
2021-05-22,8.60403
2021-05-23,8.60403
2021-05-24,16.41791
2021-05-25,15.01316
2021-05-26,14.223
2021-05-27,13.69622
2021-05-28,12.99385
2021-05-29,5.97014
2021-05-30,5.88235
2021-05-31,12.29148
2021-06-01,14.92537
2021-06-02,11.7647
2021-06-03,13.87181
2021-06-04,13.25724
2021-06-05,5.88235
2021-06-06,6.23353
2021-06-07,11.41352
2021-06-08,12.46707
2021-06-09,14.83757
2021-06-10,10.62335
2021-06-11,9.65759
2021-06-12,6.49692
2021-06-13,4.47761
2021-06-14,9.3064
2021-06-15,10.71115
2021-06-16,10.18437
2021-06-17,8.60403
2021-06-18,11.41352
2021-06-19,5.88235
2021-06-20,5.70676
2021-06-21,11.50131
2021-06-22,10.18437
2021-06-23,10.53555
2021-06-24,10.53555
2021-06-25,11.94029
2021-06-26,5.79455
2021-06-27,6.67251
2021-06-28,8.95522
2021-06-29,12.02809
2021-06-30,10.97453
2021-07-01,8.86742
2021-07-02,12.11589
2021-07-03,5.61896
2021-07-04,6.67251
2021-07-05,10.00877
2021-07-06,10.62335
2021-07-07,18.78841
2021-07-08,17.03248
2021-07-09,11.6769
2021-07-10,10.09657
2021-07-11,6.23353
2021-07-12,11.15013
2021-07-13,10.35996
2021-07-14,9.482
2021-07-15,8.86742
2021-07-16,14.57418
