date,재형저축
2020-03-20,29.53509
2020-03-21,11.55423
2020-03-22,11.05287
2020-03-23,18.66453
2020-03-24,17.93527
2020-03-25,20.87511
2020-03-26,20.67
2020-03-27,16.90975
2020-03-28,8.52324
2020-03-29,8.02187
2020-03-30,16.70464
2020-03-31,17.20601
2020-04-01,15.42844
2020-04-02,17.16043
2020-04-03,12.46581
2020-04-04,6.54056
2020-04-05,6.42661
2020-04-06,11.55423
2020-04-07,12.30628
2020-04-08,10.73381
2020-04-09,12.55697
2020-04-10,9.93618
2020-04-11,6.72288
2020-04-12,7.04193
2020-04-13,11.59981
2020-04-14,12.71649
2020-04-15,7.26982
2020-04-16,9.95897
2020-04-17,11.39471
2020-04-18,11.59981
2020-04-19,9.57155
2020-04-20,12.39744
2020-04-21,14.24339
2020-04-22,12.89881
2020-04-23,10.50592
2020-04-24,10.64266
2020-04-25,6.70009
2020-04-26,6.08477
2020-04-27,11.39471
2020-04-28,10.25524
2020-04-29,8.65998
2020-04-30,5.53783
2020-05-01,5.72014
2020-05-02,5.67456
2020-05-03,5.01367
2020-05-04,9.16134
2020-05-05,5.78851
2020-05-06,9.29808
2020-05-07,8.02187
2020-05-08,8.6144
2020-05-09,5.26435
2020-05-10,5.01367
2020-05-11,7.20145
2020-05-12,9.07019
2020-05-13,6.92798
2020-05-14,7.40656
2020-05-15,7.90793
2020-05-16,3.6463
2020-05-17,6.06198
2020-05-18,7.77119
2020-05-19,8.13582
2020-05-20,8.43208
2020-05-21,7.65724
2020-05-22,6.51777
2020-05-23,4.42114
2020-05-24,4.21604
2020-05-25,8.45487
2020-05-26,8.8195
2020-05-27,7.24703
2020-05-28,6.8824
2020-05-29,7.79398
2020-05-30,4.85414
2020-05-31,4.39835
2020-06-01,7.49772
2020-06-02,8.31814
2020-06-03,6.83682
2020-06-04,6.49498
2020-06-05,6.70009
2020-06-06,4.0793
2020-06-07,4.7402
2020-06-08,6.2443
2020-06-09,6.35824
2020-06-10,7.1103
2020-06-11,6.54056
2020-06-12,6.15314
2020-06-13,3.25888
2020-06-14,3.71467
2020-06-15,6.40382
2020-06-16,7.3154
2020-06-17,6.15314
2020-06-18,7.01914
2020-06-19,6.6773
2020-06-20,4.21604
2020-06-21,3.66909
2020-06-22,5.51504
2020-06-23,6.74567
2020-06-24,5.76572
2020-06-25,7.42935
2020-06-26,5.83409
2020-06-27,4.01093
2020-06-28,4.03372
2020-06-29,6.79124
2020-06-30,7.29261
2020-07-01,7.22424
2020-07-02,6.28988
2020-07-03,6.95077
2020-07-04,4.12488
2020-07-05,3.4412
2020-07-06,7.06472
2020-07-07,5.51504
2020-07-08,5.97082
2020-07-09,6.03919
2020-07-10,4.96809
2020-07-11,3.53236
2020-07-12,3.37283
2020-07-13,5.60619
2020-07-14,6.06198
2020-07-15,6.51777
2020-07-16,5.51504
2020-07-17,5.40109
2020-07-18,4.12488
2020-07-19,3.6463
2020-07-20,5.67456
2020-07-21,5.67456
2020-07-22,6.22151
2020-07-23,6.49498
2020-07-24,5.8113
2020-07-25,3.85141
2020-07-26,4.05651
2020-07-27,6.49498
2020-07-28,6.63172
2020-07-29,5.72014
2020-07-30,5.49225
2020-07-31,5.3783
2020-08-01,3.8742
2020-08-02,3.4412
2020-08-03,5.53783
2020-08-04,6.28988
2020-08-05,6.6773
2020-08-06,7.01914
2020-08-07,6.13035
2020-08-08,4.17046
2020-08-09,3.8742
2020-08-10,7.56608
2020-08-11,6.92798
2020-08-12,6.40382
2020-08-13,7.36098
2020-08-14,6.92798
2020-08-15,5.33272
2020-08-16,4.3072
2020-08-17,4.55788
2020-08-18,5.99361
2020-08-19,6.56335
2020-08-20,6.0164
2020-08-21,8.24977
2020-08-22,3.73746
2020-08-23,4.01093
2020-08-24,4.7402
2020-08-25,6.83682
2020-08-26,6.54056
2020-08-27,6.31267
2020-08-28,6.10756
2020-08-29,3.89699
2020-08-30,3.71467
2020-08-31,5.87967
2020-09-01,5.69735
2020-09-02,6.0164
2020-09-03,4.78577
2020-09-04,5.53783
2020-09-05,3.69188
2020-09-06,3.07657
2020-09-07,5.35551
2020-09-08,8.36371
2020-09-09,6.92798
2020-09-10,6.28988
2020-09-11,5.12762
2020-09-12,2.98541
2020-09-13,6.15314
2020-09-14,8.02187
2020-09-15,5.40109
2020-09-16,6.6773
2020-09-17,5.8113
2020-09-18,4.99088
2020-09-19,3.0082
2020-09-20,3.12215
2020-09-21,4.80856
2020-09-22,5.10483
2020-09-23,4.96809
2020-09-24,4.55788
2020-09-25,4.71741
2020-09-26,3.09936
2020-09-27,3.19051
2020-09-28,5.33272
2020-09-29,3.8742
2020-09-30,2.96262
2020-10-01,3.6463
2020-10-02,3.53236
2020-10-03,3.85141
2020-10-04,4.01093
2020-10-05,7.06472
2020-10-06,6.33546
2020-10-07,6.26709
2020-10-08,5.08204
2020-10-09,3.8742
2020-10-10,3.6463
2020-10-11,3.71467
2020-10-12,5.44667
2020-10-13,5.74293
2020-10-14,5.26435
2020-10-15,5.76572
2020-10-16,5.40109
2020-10-17,3.53236
2020-10-18,3.50957
2020-10-19,4.76298
2020-10-20,5.67456
