date,솔루션
2020-03-20,41.20406
2020-03-21,24.31587
2020-03-22,24.7068
2020-03-23,43.31508
2020-03-24,48.16262
2020-03-25,44.64425
2020-03-26,46.91164
2020-03-27,41.98592
2020-03-28,25.48866
2020-03-29,27.20875
2020-03-30,41.98592
2020-03-31,45.11336
2020-04-01,43.00234
2020-04-02,41.90774
2020-04-03,43.47146
2020-04-04,24.55043
2020-04-05,28.6161
2020-04-06,42.29867
2020-04-07,42.53322
2020-04-08,40.9695
2020-04-09,45.5043
2020-04-10,39.09304
2020-04-11,22.90852
2020-04-12,29.00703
2020-04-13,43.54964
2020-04-14,45.66067
2020-04-15,28.53792
2020-04-16,43.08053
2020-04-17,43.54964
2020-04-18,25.33229
2020-04-19,26.81782
2020-04-20,45.58248
2020-04-21,71.22752
2020-04-22,59.96872
2020-04-23,49.80453
2020-04-24,45.26974
2020-04-25,26.73964
2020-04-26,35.41829
2020-04-27,45.19155
2020-04-28,45.73885
2020-04-29,43.08053
2020-04-30,27.13057
2020-05-01,25.01954
2020-05-02,21.81391
2020-05-03,23.06489
2020-05-04,32.29085
2020-05-05,32.05629
2020-05-06,42.53322
2020-05-07,40.73494
2020-05-08,35.41829
2020-05-09,27.13057
2020-05-10,22.75215
2020-05-11,38.46755
2020-05-12,45.5043
2020-05-13,45.03518
2020-05-14,44.87881
2020-05-15,37.99843
2020-05-16,23.37763
2020-05-17,26.66145
2020-05-18,43.94057
2020-05-19,42.29867
2020-05-20,39.8749
2020-05-21,42.6896
2020-05-22,35.41829
2020-05-23,20.87568
2020-05-24,22.4394
2020-05-25,39.56215
2020-05-26,41.43862
2020-05-27,43.31508
2020-05-28,42.22048
2020-05-29,37.37294
2020-05-30,25.41047
2020-05-31,28.14698
2020-06-01,40.26583
2020-06-02,45.11336
2020-06-03,47.06802
2020-06-04,41.59499
2020-06-05,35.96559
2020-06-06,23.37763
2020-06-07,21.50117
2020-06-08,40.10946
2020-06-09,45.11336
2020-06-10,60.6724
2020-06-11,53.08835
2020-06-12,42.61141
2020-06-13,29.78889
2020-06-14,23.45582
2020-06-15,42.45504
2020-06-16,44.95699
2020-06-17,45.97341
2020-06-18,45.89523
2020-06-19,42.06411
2020-06-20,28.92885
2020-06-21,27.28694
2020-06-22,41.98592
2020-06-23,46.67709
2020-06-24,43.94057
2020-06-25,43.15871
2020-06-26,39.24941
2020-06-27,24.23768
2020-06-28,24.23768
2020-06-29,41.04769
2020-06-30,40.10946
2020-07-01,36.35652
2020-07-02,38.1548
2020-07-03,36.59108
2020-07-04,19.15559
2020-07-05,17.51368
2020-07-06,36.66927
2020-07-07,39.95308
2020-07-08,38.23299
2020-07-09,38.23299
2020-07-10,30.57075
2020-07-11,17.35731
