date,피상속인
2020-11-07,12.47833
2020-11-08,16.9844
2020-11-09,37.60831
2020-11-10,33.9688
2020-11-11,29.11611
2020-11-12,33.10225
2020-11-13,25.4766
2020-11-14,16.46447
2020-11-15,19.58405
2020-11-16,40.20797
2020-11-17,34.48873
2020-11-18,29.63604
2020-11-19,29.98266
2020-11-20,31.02253
2020-11-21,16.46447
2020-11-22,17.50433
2020-11-23,33.44887
2020-11-24,37.08838
2020-11-25,30.32928
2020-11-26,34.14211
2020-11-27,29.98266
2020-11-28,16.29116
2020-11-29,14.73136
2020-11-30,32.2357
2020-12-01,32.92894
2020-12-02,28.76949
2020-12-03,26.86308
2020-12-04,24.95667
2020-12-05,16.9844
2020-12-06,18.89081
2020-12-07,32.58232
2020-12-08,35.7019
2020-12-09,39.68804
2020-12-10,35.35528
2020-12-11,30.50259
2020-12-12,16.81109
2020-12-13,18.19757
2020-12-14,36.22183
2020-12-15,31.88908
2020-12-16,31.88908
2020-12-17,27.38301
2020-12-18,23.91681
2020-12-19,15.59792
2020-12-20,19.41074
2020-12-21,32.06239
2020-12-22,31.88908
2020-12-23,29.11611
2020-12-24,23.39688
2020-12-25,9.53206
2020-12-26,10.91854
2020-12-27,16.46447
2020-12-28,31.02253
2020-12-29,27.90294
2020-12-30,23.05025
2020-12-31,18.89081
2021-01-01,10.74523
2021-01-02,9.87868
2021-01-03,16.63778
2021-01-04,30.32928
2021-01-05,26.34315
2021-01-06,26.68977
2021-01-07,29.98266
2021-01-08,32.58232
2021-01-09,15.07798
2021-01-10,18.02426
2021-01-11,28.24956
2021-01-12,28.9428
2021-01-13,30.50259
2021-01-14,27.55632
2021-01-15,26.51646
2021-01-16,13.51819
2021-01-17,15.42461
2021-01-18,25.64991
2021-01-19,33.9688
2021-01-20,29.80935
2021-01-21,30.84922
2021-01-22,22.35701
2021-01-23,15.42461
2021-01-24,15.59792
2021-01-25,30.84922
2021-01-26,36.39514
2021-01-27,28.59618
2021-01-28,30.15597
2021-01-29,27.03639
2021-01-30,13.51819
2021-01-31,19.58405
2021-02-01,32.58232
2021-02-02,32.58232
2021-02-03,28.42287
2021-02-04,29.46273
2021-02-05,24.09012
2021-02-06,13.6915
2021-02-07,15.42461
2021-02-08,30.84922
2021-02-09,30.84922
2021-02-10,23.91681
2021-02-11,15.77123
2021-02-12,11.26516
2021-02-13,13.17157
2021-02-14,21.66377
2021-02-15,37.08838
2021-02-16,39.68804
2021-02-17,29.63604
2021-02-18,31.02253
2021-02-19,28.59618
2021-02-20,18.7175
2021-02-21,15.07798
2021-02-22,35.52859
2021-02-23,31.36915
2021-02-24,31.19584
2021-02-25,30.32928
2021-02-26,27.90294
2021-02-27,14.21143
2021-02-28,12.47833
2021-03-01,19.58405
2021-03-02,33.10225
2021-03-03,35.35528
2021-03-04,35.18197
2021-03-05,30.50259
2021-03-06,16.63778
2021-03-07,16.9844
2021-03-08,29.80935
2021-03-09,44.54072
2021-03-10,38.12824
2021-03-11,37.435
2021-03-12,33.27556
2021-03-13,14.03812
2021-03-14,18.54419
2021-03-15,35.00866
2021-03-16,35.52859
2021-03-17,35.7019
2021-03-18,34.66204
2021-03-19,30.32928
2021-03-20,21.49046
2021-03-21,16.29116
2021-03-22,33.10225
2021-03-23,33.9688
2021-03-24,31.54246
2021-03-25,29.98266
2021-03-26,24.26343
2021-03-27,14.90467
2021-03-28,16.81109
2021-03-29,39.51473
2021-03-30,31.71577
2021-03-31,34.48873
2021-04-01,31.71577
2021-04-02,26.51646
2021-04-03,15.59792
2021-04-04,19.93067
2021-04-05,38.64818
2021-04-06,38.64818
2021-04-07,36.74176
2021-04-08,38.12824
2021-04-09,29.80935
2021-04-10,19.23743
2021-04-11,29.63604
2021-04-12,35.87521
2021-04-13,41.59445
2021-04-14,39.34142
2021-04-15,38.64818
2021-04-16,33.27556
2021-04-17,20.62391
2021-04-18,20.97053
2021-04-19,34.66204
2021-04-20,37.95493
2021-04-21,38.47487
2021-04-22,33.10225
2021-04-23,33.9688
2021-04-24,17.33102
2021-04-25,18.19757
2021-04-26,37.78162
2021-04-27,34.66204
2021-04-28,31.36915
2021-04-29,37.435
2021-04-30,30.15597
2021-05-01,20.4506
2021-05-02,16.46447
2021-05-03,35.52859
2021-05-04,29.63604
2021-05-05,17.67764
2021-05-06,29.98266
2021-05-07,25.99653
2021-05-08,16.46447
2021-05-09,20.4506
2021-05-10,38.82149
2021-05-11,37.26169
2021-05-12,35.7019
2021-05-13,35.87521
2021-05-14,29.63604
2021-05-15,13.6915
2021-05-16,14.73136
2021-05-17,35.00866
2021-05-18,29.63604
2021-05-19,18.02426
2021-05-20,33.62218
2021-05-21,29.28942
2021-05-22,15.59792
2021-05-23,17.50433
2021-05-24,36.74176
2021-05-25,38.64818
2021-05-26,33.9688
2021-05-27,32.92894
2021-05-28,28.42287
2021-05-29,17.50433
2021-05-30,18.37088
2021-05-31,38.30155
2021-06-01,33.9688
2021-06-02,37.08838
2021-06-03,33.62218
2021-06-04,28.42287
2021-06-05,18.89081
2021-06-06,19.75736
2021-06-07,41.07452
2021-06-08,53.03292
2021-06-09,44.1941
2021-06-10,35.87521
2021-06-11,34.48873
2021-06-12,20.97053
2021-06-13,23.91681
2021-06-14,48.87348
2021-06-15,41.24783
2021-06-16,35.87521
2021-06-17,36.56845
2021-06-18,33.10225
2021-06-19,20.27729
2021-06-20,19.58405
2021-06-21,45.23396
2021-06-22,32.58232
2021-06-23,32.92894
2021-06-24,27.90294
2021-06-25,30.15597
2021-06-26,15.94454
2021-06-27,20.4506
2021-06-28,32.40901
2021-06-29,38.12824
2021-06-30,26.51646
2021-07-01,26.16984
2021-07-02,24.61005
2021-07-03,15.94454
2021-07-04,21.66377
2021-07-05,38.82149
2021-07-06,28.07625
2021-07-07,24.78336
2021-07-08,29.98266
2021-07-09,28.42287
2021-07-10,15.25129
2021-07-11,13.51819
2021-07-12,28.42287
2021-07-13,32.75563
2021-07-14,31.88908
2021-07-15,33.9688
2021-07-16,30.50259
2021-07-17,14.38474
2021-07-18,18.19757
2021-07-19,37.26169
2021-07-20,34.66204
2021-07-21,31.19584
2021-07-22,31.54246
2021-07-23,26.51646
2021-07-24,14.38474
2021-07-25,15.59792
2021-07-26,36.39514
2021-07-27,38.64818
2021-07-28,34.48873
2021-07-29,29.11611
2021-07-30,30.84922
2021-07-31,15.94454
2021-08-01,15.07798
2021-08-02,38.64818
2021-08-03,33.44887
2021-08-04,33.9688
2021-08-05,33.27556
2021-08-06,29.28942
2021-08-07,19.23743
2021-08-08,17.15771
2021-08-09,40.55459
2021-08-10,33.27556
2021-08-11,35.52859
2021-08-12,37.435
2021-08-13,32.58232
2021-08-14,21.31715
2021-08-15,17.85095
2021-08-16,22.1837
2021-08-17,41.76776
2021-08-18,37.08838
2021-08-19,40.7279
2021-08-20,27.90294
2021-08-21,19.93067
2021-08-22,24.61005
2021-08-23,37.78162
2021-08-24,32.40901
2021-08-25,34.66204
2021-08-26,37.08838
2021-08-27,30.6759
2021-08-28,18.54419
2021-08-29,21.49046
2021-08-30,36.74176
2021-08-31,31.71577
2021-09-01,30.84922
2021-09-02,29.80935
2021-09-03,27.72963
2021-09-04,19.23743
2021-09-05,22.1837
2021-09-06,33.10225
2021-09-07,43.32755
2021-09-08,32.58232
2021-09-09,35.52859
2021-09-10,28.07625
2021-09-11,23.22357
2021-09-12,22.53032
2021-09-13,38.82149
2021-09-14,38.12824
2021-09-15,36.74176
2021-09-16,33.44887
2021-09-17,28.59618
2021-09-18,16.81109
2021-09-19,16.29116
2021-09-20,16.29116
2021-09-21,19.93067
2021-09-22,23.22357
2021-09-23,50.9532
2021-09-24,40.38128
2021-09-25,32.92894
2021-09-26,24.43674
2021-09-27,44.36741
