date,직장인투잡
2020-11-07,25.85365
2020-11-08,36.26016
2020-11-09,59.83739
2020-11-10,58.86178
2020-11-11,60.6504
2020-11-12,49.10569
2020-11-13,40.813
2020-11-14,28.13008
2020-11-15,49.75609
2020-11-16,62.60162
2020-11-17,68.61788
2020-11-18,59.18699
2020-11-19,51.38211
2020-11-20,41.13821
2020-11-21,33.49593
2020-11-22,51.21951
2020-11-23,56.91056
2020-11-24,54.63414
2020-11-25,57.72357
2020-11-26,49.91869
2020-11-27,40.3252
2020-11-28,30.2439
2020-11-29,45.20325
2020-11-30,54.63414
2020-12-01,45.52845
2020-12-02,47.31707
2020-12-03,45.36585
2020-12-04,33.65853
2020-12-05,29.43089
2020-12-06,36.74796
2020-12-07,49.26829
2020-12-08,51.21951
2020-12-09,49.59349
2020-12-10,47.47967
2020-12-11,33.82113
2020-12-12,28.61788
2020-12-13,38.53658
2020-12-14,58.37398
2020-12-15,46.99186
2020-12-16,44.22764
2020-12-17,41.78861
2020-12-18,35.28455
2020-12-19,28.29268
2020-12-20,40.4878
2020-12-21,53.00813
2020-12-22,49.91869
2020-12-23,50.4065
2020-12-24,37.72357
2020-12-25,30.2439
2020-12-26,37.23577
2020-12-27,51.05691
2020-12-28,62.92682
2020-12-29,64.39024
2020-12-30,46.66666
2020-12-31,35.12195
2021-01-01,38.53658
2021-01-02,48.13008
2021-01-03,62.11382
2021-01-04,62.76422
2021-01-05,58.86178
2021-01-06,56.26016
2021-01-07,44.22764
2021-01-08,38.37398
2021-01-09,36.58536
2021-01-10,46.82926
2021-01-11,50.8943
2021-01-12,47.80487
2021-01-13,49.75609
2021-01-14,42.11382
2021-01-15,36.09756
2021-01-16,29.10569
2021-01-17,36.74796
2021-01-18,51.21951
2021-01-19,48.94308
2021-01-20,50.0813
2021-01-21,40.813
2021-01-22,40.0
2021-01-23,27.96747
2021-01-24,41.78861
2021-01-25,49.43089
2021-01-26,53.33333
2021-01-27,44.22764
2021-01-28,45.36585
2021-01-29,35.60975
2021-01-30,31.86991
2021-01-31,39.18699
2021-02-01,44.55284
2021-02-02,51.38211
2021-02-03,40.4878
2021-02-04,40.9756
2021-02-05,38.53658
2021-02-06,28.45528
2021-02-07,30.7317
2021-02-08,39.51219
2021-02-09,39.02439
2021-02-10,31.86991
2021-02-11,21.46341
2021-02-12,25.36585
2021-02-13,34.63414
2021-02-14,44.22764
2021-02-15,70.2439
2021-02-16,53.49593
2021-02-17,44.55284
2021-02-18,44.06504
2021-02-19,40.6504
2021-02-20,29.59349
2021-02-21,42.11382
2021-02-22,54.30894
2021-02-23,49.91869
2021-02-24,52.52032
2021-02-25,42.76422
2021-02-26,37.56097
2021-02-27,24.06504
2021-02-28,33.65853
2021-03-01,46.82926
2021-03-02,56.26016
2021-03-03,52.19512
2021-03-04,50.7317
2021-03-05,33.33333
2021-03-06,27.15447
2021-03-07,42.92682
2021-03-08,52.35772
2021-03-09,41.30081
2021-03-10,48.45528
2021-03-11,42.43902
2021-03-12,33.33333
2021-03-13,24.87804
2021-03-14,34.63414
2021-03-15,57.39837
2021-03-16,51.21951
2021-03-17,51.05691
2021-03-18,42.60162
2021-03-19,36.91056
2021-03-20,22.11382
2021-03-21,33.98373
2021-03-22,51.05691
2021-03-23,47.15447
2021-03-24,48.61788
2021-03-25,43.41463
2021-03-26,35.12195
2021-03-27,28.61788
2021-03-28,38.21138
2021-03-29,53.17073
2021-03-30,45.85365
2021-03-31,47.64227
2021-04-01,35.28455
2021-04-02,27.31707
2021-04-03,24.71544
2021-04-04,29.91869
2021-04-05,47.47967
2021-04-06,45.04065
2021-04-07,39.18699
2021-04-08,34.30894
2021-04-09,35.60975
2021-04-10,24.87804
2021-04-11,36.91056
2021-04-12,58.69918
2021-04-13,47.31707
2021-04-14,43.57723
2021-04-15,44.87804
2021-04-16,33.82113
2021-04-17,19.51219
2021-04-18,33.49593
2021-04-19,51.05691
2021-04-20,51.54471
2021-04-21,45.85365
2021-04-22,41.78861
2021-04-23,39.67479
2021-04-24,30.4065
2021-04-25,31.38211
2021-04-26,53.65853
2021-04-27,48.78048
2021-04-28,41.13821
2021-04-29,45.04065
2021-04-30,27.47967
2021-05-01,23.57723
2021-05-02,36.26016
2021-05-03,43.57723
2021-05-04,39.02439
2021-05-05,28.78048
2021-05-06,46.17886
2021-05-07,39.34959
2021-05-08,26.17886
2021-05-09,34.63414
2021-05-10,55.77235
2021-05-11,63.41463
2021-05-12,48.78048
2021-05-13,44.22764
2021-05-14,35.12195
2021-05-15,28.61788
2021-05-16,40.3252
2021-05-17,58.21138
2021-05-18,43.25203
2021-05-19,39.18699
2021-05-20,51.86991
2021-05-21,43.73983
2021-05-22,33.33333
2021-05-23,40.1626
2021-05-24,63.41463
2021-05-25,58.21138
2021-05-26,46.34146
2021-05-27,40.9756
2021-05-28,33.33333
2021-05-29,25.52845
2021-05-30,33.82113
2021-05-31,56.09756
2021-06-01,48.29268
2021-06-02,49.59349
2021-06-03,47.80487
2021-06-04,35.93495
2021-06-05,27.15447
2021-06-06,35.28455
2021-06-07,53.98373
2021-06-08,47.80487
2021-06-09,49.75609
2021-06-10,47.64227
2021-06-11,38.21138
2021-06-12,30.8943
2021-06-13,38.53658
2021-06-14,59.34959
2021-06-15,54.30894
2021-06-16,49.75609
2021-06-17,41.78861
2021-06-18,36.26016
2021-06-19,27.15447
2021-06-20,38.21138
2021-06-21,50.5691
2021-06-22,52.03252
2021-06-23,47.15447
2021-06-24,49.75609
2021-06-25,40.0
2021-06-26,24.71544
2021-06-27,32.68292
2021-06-28,45.36585
2021-06-29,48.94308
2021-06-30,43.90243
2021-07-01,35.77235
2021-07-02,34.47154
2021-07-03,26.01626
2021-07-04,37.39837
2021-07-05,56.58536
2021-07-06,49.75609
2021-07-07,52.19512
2021-07-08,40.3252
2021-07-09,45.20325
2021-07-10,25.69105
2021-07-11,34.63414
2021-07-12,48.94308
2021-07-13,47.96747
2021-07-14,50.0813
2021-07-15,40.3252
2021-07-16,33.49593
2021-07-17,25.85365
2021-07-18,32.35772
2021-07-19,46.50406
2021-07-20,48.78048
2021-07-21,45.52845
2021-07-22,40.4878
2021-07-23,37.07317
2021-07-24,30.8943
2021-07-25,31.86991
2021-07-26,49.10569
2021-07-27,52.52032
2021-07-28,53.17073
2021-07-29,44.06504
2021-07-30,38.21138
2021-07-31,22.76422
2021-08-01,31.86991
2021-08-02,44.39024
2021-08-03,41.78861
2021-08-04,45.20325
2021-08-05,46.01626
2021-08-06,38.53658
2021-08-07,28.78048
2021-08-08,39.67479
2021-08-09,51.21951
2021-08-10,57.39837
2021-08-11,47.80487
2021-08-12,50.5691
2021-08-13,38.21138
2021-08-14,30.4065
2021-08-15,35.12195
2021-08-16,48.94308
2021-08-17,58.69918
2021-08-18,51.38211
2021-08-19,53.49593
2021-08-20,45.85365
2021-08-21,31.54471
2021-08-22,42.76422
2021-08-23,60.3252
2021-08-24,53.17073
2021-08-25,55.12195
2021-08-26,50.5691
2021-08-27,42.11382
2021-08-28,29.26829
2021-08-29,36.42276
2021-08-30,59.51219
2021-08-31,58.21138
2021-09-01,51.54471
2021-09-02,43.73983
2021-09-03,37.56097
2021-09-04,24.87804
2021-09-05,34.30894
2021-09-06,47.80487
2021-09-07,51.05691
2021-09-08,45.85365
2021-09-09,37.56097
2021-09-10,36.09756
2021-09-11,23.08943
2021-09-12,36.74796
2021-09-13,46.17886
2021-09-14,44.39024
2021-09-15,38.86178
2021-09-16,42.92682
2021-09-17,29.26829
2021-09-18,21.46341
2021-09-19,22.60162
2021-09-20,21.62601
2021-09-21,21.46341
2021-09-22,39.83739
2021-09-23,54.95934
2021-09-24,42.43902
2021-09-25,32.35772
2021-09-26,43.73983
2021-09-27,60.1626
2021-09-28,57.23577
2021-09-29,48.94308
2021-09-30,46.17886
2021-10-01,42.43902
2021-10-02,28.45528
2021-10-03,26.66666
2021-10-04,46.34146
2021-10-05,59.67479
2021-10-06,46.66666
2021-10-07,45.69105
2021-10-08,37.39837
2021-10-09,27.64227
2021-10-10,38.04878
2021-10-11,46.66666
2021-10-12,67.96747
2021-10-13,56.09756
2021-10-14,52.03252
2021-10-15,41.13821
2021-10-16,30.4065
2021-10-17,38.04878
2021-10-18,52.68292
2021-10-19,52.35772
2021-10-20,51.21951
2021-10-21,42.76422
2021-10-22,40.3252
2021-10-23,30.0813
2021-10-24,49.75609
2021-10-25,58.21138
2021-10-26,57.72357
2021-10-27,56.26016
2021-10-28,53.98373
2021-10-29,44.22764
2021-10-30,29.43089
2021-10-31,38.04878
2021-11-01,54.30894
2021-11-02,51.38211
2021-11-03,52.03252
2021-11-04,44.87804
2021-11-05,40.4878
2021-11-06,28.61788
2021-11-07,33.82113
2021-11-08,58.21138
2021-11-09,51.54471
2021-11-10,43.73983
2021-11-11,42.11382
2021-11-12,31.54471
2021-11-13,24.55284
2021-11-14,35.77235
2021-11-15,56.09756
2021-11-16,53.17073
2021-11-17,49.91869
2021-11-18,42.92682
2021-11-19,40.3252
2021-11-20,30.5691
2021-11-21,38.86178
2021-11-22,43.25203
2021-11-23,50.4065
2021-11-24,43.41463
2021-11-25,47.64227
2021-11-26,43.08943
2021-11-27,25.20325
2021-11-28,38.53658
2021-11-29,63.90243
2021-11-30,47.96747
2021-12-01,49.91869
2021-12-02,42.43902
2021-12-03,34.30894
2021-12-04,29.75609
2021-12-05,39.83739
2021-12-06,62.11382
2021-12-07,52.84552
2021-12-08,44.71544
2021-12-09,49.10569
2021-12-10,40.813
2021-12-11,36.09756
2021-12-12,45.36585
2021-12-13,56.09756
2021-12-14,45.04065
2021-12-15,54.79674
2021-12-16,42.76422
2021-12-17,41.13821
2021-12-18,26.82926
2021-12-19,39.18699
2021-12-20,51.70731
2021-12-21,53.17073
2021-12-22,46.66666
2021-12-23,39.51219
2021-12-24,33.65853
2021-12-25,20.6504
2021-12-26,39.83739
2021-12-27,48.61788
2021-12-28,58.37398
2021-12-29,49.10569
2021-12-30,42.27642
2021-12-31,28.45528
2022-01-01,34.14634
2022-01-02,54.14634
2022-01-03,61.30081
2022-01-04,61.46341
2022-01-05,56.74796
2022-01-06,51.70731
2022-01-07,45.04065
2022-01-08,37.39837
2022-01-09,50.2439
2022-01-10,68.45528
2022-01-11,56.42276
2022-01-12,50.8943
2022-01-13,47.80487
2022-01-14,38.21138
2022-01-15,30.4065
2022-01-16,43.73983
2022-01-17,59.51219
2022-01-18,53.82113
2022-01-19,51.86991
2022-01-20,50.7317
2022-01-21,44.06504
2022-01-22,36.74796
2022-01-23,41.95121
2022-01-24,60.4878
2022-01-25,54.14634
2022-01-26,47.15447
2022-01-27,44.71544
2022-01-28,35.93495
2022-01-29,32.35772
2022-01-30,28.13008
2022-01-31,28.78048
2022-02-01,30.2439
2022-02-02,50.8943
2022-02-03,62.76422
2022-02-04,53.98373
2022-02-05,43.08943
2022-02-06,61.46341
2022-02-07,69.91869
2022-02-08,56.91056
2022-02-09,56.42276
2022-02-10,55.60975
2022-02-11,47.96747
2022-02-12,35.28455
2022-02-13,45.69105
2022-02-14,69.43089
2022-02-15,57.07317
2022-02-16,53.65853
2022-02-17,56.91056
2022-02-18,42.43902
2022-02-19,34.79674
2022-02-20,40.813
2022-02-21,66.17886
2022-02-22,60.9756
2022-02-23,52.03252
2022-02-24,52.19512
2022-02-25,46.01626
2022-02-26,30.0813
2022-02-27,36.58536
2022-02-28,49.26829
2022-03-01,42.92682
2022-03-02,58.04878
2022-03-03,44.71544
2022-03-04,34.47154
2022-03-05,36.74796
2022-03-06,46.50406
2022-03-07,55.12195
2022-03-08,51.21951
2022-03-09,32.68292
2022-03-10,46.34146
2022-03-11,41.78861
2022-03-12,34.14634
2022-03-13,45.20325
2022-03-14,63.90243
2022-03-15,67.47967
2022-03-16,55.44715
2022-03-17,48.94308
2022-03-18,44.06504
2022-03-19,40.9756
2022-03-20,46.99186
2022-03-21,61.78861
2022-03-22,52.35772
2022-03-23,46.82926
2022-03-24,46.50406
2022-03-25,43.73983
2022-03-26,32.35772
2022-03-27,40.3252
2022-03-28,57.88617
2022-03-29,50.2439
2022-03-30,48.78048
2022-03-31,43.25203
2022-04-01,39.18699
2022-04-02,30.5691
2022-04-03,37.56097
2022-04-04,51.54471
2022-04-05,52.68292
2022-04-06,41.62601
2022-04-07,48.45528
2022-04-08,38.69918
2022-04-09,29.59349
2022-04-10,32.03252
2022-04-11,55.44715
2022-04-12,56.74796
