date,IRP퇴직연금해지
2020-03-20,75.67861
2020-03-21,27.36156
2020-03-22,20.8469
2020-03-23,66.66666
2020-03-24,61.67209
2020-03-25,69.3811
2020-03-26,68.94679
2020-03-27,61.23778
2020-03-28,19.00108
2020-03-29,16.93811
2020-03-30,56.35179
2020-03-31,58.52334
2020-04-01,58.84907
2020-04-02,46.90553
2020-04-03,45.6026
2020-04-04,18.78393
2020-04-05,17.58957
2020-04-06,52.76872
2020-04-07,46.36264
2020-04-08,46.36264
2020-04-09,43.21389
2020-04-10,47.557
2020-04-11,16.93811
2020-04-12,18.13246
2020-04-13,54.61454
2020-04-14,58.08903
2020-04-15,32.35613
2020-04-16,57.98045
2020-04-17,55.15743
2020-04-18,18.45819
2020-04-19,17.48099
2020-04-20,55.91748
2020-04-21,52.66015
2020-04-22,53.42019
2020-04-23,47.23127
2020-04-24,42.34527
2020-04-25,16.93811
2020-04-26,11.83496
2020-04-27,49.40282
2020-04-28,48.64277
2020-04-29,52.00868
2020-04-30,18.67535
2020-05-01,14.98371
2020-05-02,14.11509
2020-05-03,14.33224
2020-05-04,50.27144
2020-05-05,20.95548
2020-05-06,47.557
2020-05-07,45.38545
2020-05-08,43.32247
2020-05-09,13.5722
2020-05-10,15.09229
2020-05-11,48.64277
2020-05-12,40.82519
2020-05-13,43.6482
2020-05-14,42.34527
2020-05-15,46.36264
2020-05-16,16.28664
2020-05-17,14.22366
2020-05-18,46.03691
2020-05-19,41.91096
2020-05-20,48.31704
2020-05-21,50.9229
2020-05-22,40.06514
2020-05-23,16.17806
2020-05-24,13.13789
2020-05-25,48.85993
2020-05-26,42.01954
2020-05-27,43.32247
2020-05-28,44.95114
2020-05-29,36.69923
2020-05-30,15.5266
2020-05-31,18.45819
2020-06-01,50.48859
2020-06-02,41.2595
2020-06-03,36.48208
2020-06-04,37.3507
2020-06-05,37.78501
2020-06-06,15.5266
2020-06-07,15.63517
2020-06-08,33.22475
2020-06-09,40.49945
2020-06-10,38.11074
2020-06-11,43.21389
2020-06-12,41.04234
2020-06-13,16.93811
2020-06-14,15.5266
2020-06-15,46.36264
2020-06-16,42.88816
2020-06-17,38.76221
2020-06-18,41.15092
2020-06-19,39.52225
2020-06-20,12.92073
2020-06-21,15.63517
2020-06-22,41.91096
2020-06-23,44.08251
2020-06-24,43.53963
2020-06-25,41.36807
2020-06-26,38.00217
2020-06-27,14.22366
2020-06-28,15.63517
2020-06-29,39.19652
2020-06-30,42.01954
2020-07-01,47.23127
2020-07-02,38.87079
2020-07-03,40.17372
2020-07-04,15.20086
2020-07-05,14.98371
2020-07-06,44.40825
2020-07-07,47.99131
2020-07-08,45.05971
2020-07-09,42.12812
2020-07-10,42.56243
2020-07-11,18.02388
2020-07-12,16.82953
2020-07-13,63.19218
2020-07-14,69.16395
2020-07-15,66.66666
2020-07-16,62.54071
2020-07-17,49.07709
2020-07-18,17.9153
2020-07-19,18.24104
2020-07-20,62.97502
2020-07-21,57.32899
2020-07-22,54.07166
2020-07-23,44.95114
2020-07-24,47.88273
2020-07-25,16.5038
2020-07-26,19.10966
2020-07-27,53.8545
2020-07-28,43.6482
2020-07-29,38.21932
2020-07-30,39.19652
2020-07-31,39.19652
2020-08-01,12.26927
2020-08-02,11.07491
2020-08-03,38.00217
2020-08-04,38.43648
2020-08-05,43.86536
2020-08-06,33.87622
2020-08-07,40.60803
2020-08-08,18.13246
2020-08-09,18.13246
2020-08-10,52.66015
2020-08-11,45.71118
2020-08-12,43.43105
2020-08-13,44.29967
2020-08-14,52.8773
2020-08-15,17.80673
2020-08-16,14.33224
