date,울산다운지구우미린
2022-02-14,2.26537
2022-02-15,2.37324
2022-02-16,1.72599
2022-02-17,2.48112
2022-02-19,0.86299
2022-02-20,0.53937
2022-02-21,0.86299
2022-02-22,2.04962
2022-02-23,1.72599
2022-02-24,2.91262
2022-02-25,1.07874
2022-02-26,0.53937
2022-02-27,2.58899
2022-02-28,10.46386
2022-03-01,9.92448
2022-03-02,23.40884
2022-03-03,17.5836
2022-03-04,21.25134
2022-03-05,16.7206
2022-03-06,19.84897
2022-03-07,24.91909
2022-03-08,22.33009
2022-03-09,31.28371
2022-03-10,72.70765
2022-03-11,100.0
2022-03-12,29.66558
2022-03-13,20.81984
2022-03-14,33.8727
2022-03-15,20.81984
2022-03-16,18.77022
2022-03-17,14.9946
2022-03-18,72.38403
2022-03-19,21.68284
2022-03-20,15.96548
2022-03-21,14.88673
2022-03-22,12.29773
2022-03-23,12.72923
2022-03-24,8.62998
2022-03-25,6.58036
2022-03-26,8.19848
2022-03-27,7.22761
2022-03-28,6.68824
2022-03-29,5.82524
2022-03-30,6.79611
2022-03-31,5.17799
2022-04-01,5.17799
2022-04-02,4.42286
2022-04-03,5.28586
2022-04-04,8.95361
2022-04-05,6.58036
2022-04-06,1.61812
2022-04-07,2.80474
2022-04-08,1.72599
2022-04-09,1.18662
2022-04-10,1.07874
2022-04-11,0.97087
2022-04-12,2.15749
2022-04-13,1.61812
2022-04-16,0.86299
2022-04-17,1.83387
2022-04-19,0.97087
2022-04-21,0.97087
2022-04-22,0.75512
2022-04-23,0.53937
2022-04-25,0.64724
2022-04-26,1.61812
2022-04-27,3.12837
2022-04-28,2.48112
2022-04-29,3.45199
2022-04-30,1.07874
2022-05-01,1.72599
2022-05-02,1.94174
2022-05-03,2.48112
2022-05-04,1.51024
2022-05-05,0.86299
2022-05-06,0.64724
2022-05-10,0.53937
2022-05-11,0.53937
2022-05-12,0.64724
2022-05-14,0.75512
2022-05-24,0.64724
2022-05-31,0.75512
2022-06-01,0.64724
2022-06-04,0.64724
2022-06-19,0.75512
2022-06-24,0.64724
2022-06-26,0.64724
2022-07-05,0.64724
2022-07-13,0.86299
2022-07-21,0.86299
2022-07-28,0.86299
2022-08-10,0.75512
2022-08-18,0.53937
2022-08-23,0.64724
2022-08-24,0.97087
2022-08-25,0.53937
2022-08-26,0.64724
2022-08-28,0.97087
2022-08-30,0.86299
2022-09-01,0.86299
2022-09-03,0.53937
2022-09-06,0.86299
2022-09-28,0.53937
2022-10-01,0.53937
2023-02-03,0.53937
2023-02-07,0.53937
2023-02-16,0.53937
2023-02-18,0.86299
2023-05-17,0.53937
2023-06-09,0.97087
2023-06-19,0.64724
2023-06-29,0.53937
2023-06-30,0.53937
2023-07-12,0.86299
2023-07-13,0.53937
2023-07-19,0.75512
2023-07-20,1.18662
2023-07-21,1.07874
2023-07-25,0.64724
2023-07-26,1.18662
2023-07-31,0.64724
2023-08-04,0.53937
2023-08-07,0.53937
2023-08-09,0.64724
2023-08-18,1.18662
2023-08-20,1.07874
2023-08-22,1.07874
2023-08-23,0.75512
2023-08-24,1.07874
2023-08-25,0.64724
2023-08-27,0.53937
2023-08-28,1.18662
2023-08-29,0.64724
2023-08-31,1.18662
2023-09-01,1.18662
2023-09-02,0.64724
2023-09-03,0.97087
2023-09-04,0.53937
2023-09-05,1.18662
2023-09-06,1.29449
2023-09-07,3.34412
2023-09-08,3.88349
2023-09-09,1.61812
2023-09-10,1.18662
2023-09-11,1.61812
2023-09-12,2.04962
2023-09-13,3.77562
2023-09-14,3.77562
2023-09-15,3.34412
2023-09-16,2.04962
2023-09-17,2.58899
2023-09-18,4.42286
2023-09-19,3.23624
2023-09-20,3.45199
2023-09-21,3.45199
2023-09-22,5.39374
2023-09-23,2.91262
2023-09-24,3.55987
2023-09-25,3.88349
2023-09-26,4.20711
2023-09-27,6.58036
2023-09-28,3.88349
2023-09-29,2.48112
2023-09-30,3.66774
2023-10-01,3.88349
2023-10-02,5.17799
2023-10-03,5.39374
2023-10-04,4.85436
2023-10-05,4.63861
2023-10-06,2.48112
2023-10-07,2.58899
2023-10-08,3.45199
2023-10-09,3.66774
2023-10-10,6.04099
2023-10-11,3.55987
2023-10-12,4.31499
2023-10-13,3.02049
2023-10-14,13.48435
2023-10-15,16.50485
2023-10-16,14.67098
2023-10-17,10.89536
2023-10-18,8.41423
2023-10-19,8.62998
2023-10-20,14.02373
2023-10-21,4.96224
2023-10-22,3.23624
2023-10-23,7.22761
2023-10-24,7.87486
2023-10-25,6.79611
2023-10-26,5.71736
2023-10-27,8.73786
2023-10-28,9.06148
2023-10-29,11.11111
2023-10-30,11.00323
2023-10-31,11.65048
2023-11-01,17.04422
2023-11-02,14.9946
2023-11-03,13.05285
2023-11-04,7.98274
2023-11-05,8.41423
2023-11-06,6.68824
2023-11-07,7.87486
2023-11-08,7.55124
2023-11-09,21.46709
2023-11-10,14.02373
2023-11-11,10.89536
2023-11-12,15.8576
2023-11-13,16.07335
2023-11-14,15.8576
2023-11-15,17.04422
2023-11-16,13.48435
2023-11-17,12.8371
2023-11-18,15.21035
2023-11-19,14.45523
2023-11-20,15.10248
2023-11-21,15.4261
2023-11-22,14.02373
2023-11-23,14.9946
2023-11-24,13.05285
2023-11-25,15.8576
2023-11-26,17.5836
2023-11-27,18.0151
2023-11-28,23.62459
2023-11-29,21.14347
2023-11-30,31.71521
2023-12-01,38.29557
2023-12-02,47.68069
2023-12-03,39.37432
2023-12-04,38.6192
2023-12-05,57.71305
2023-12-06,69.57928
2023-12-07,61.92017
2023-12-08,59.43905
2023-12-09,55.3398
2023-12-10,61.05717
2023-12-11,59.6548
2023-12-12,58.7918
2023-12-13,51.56418
2023-12-14,55.98705
2023-12-15,55.66343
2023-12-16,57.60517
2023-12-17,53.6138
2023-12-18,55.01618
2023-12-19,51.77993
2023-12-20,45.52319
2023-12-21,46.60194
2023-12-22,51.67206
2023-12-23,44.76806
2023-12-24,33.65695
2023-12-25,35.5987
2023-12-26,32.68608
2023-12-27,30.85221
2023-12-28,35.49083
2023-12-29,32.68608
2023-12-30,28.26321
2023-12-31,28.37108
2024-01-01,36.13807
2024-01-02,30.42071
2024-01-03,31.49946
2024-01-04,37.3247
2024-01-05,34.62783
2024-01-06,36.35382
2024-01-07,38.40345
2024-01-08,36.4617
2024-01-09,42.61057
2024-01-10,39.37432
2024-01-11,38.1877
2024-01-12,39.4822
2024-01-13,39.4822
2024-01-14,35.49083
2024-01-15,37.3247
2024-01-16,35.49083
2024-01-17,39.26645
2024-01-18,39.69795
2024-01-19,40.77669
