date,판결문
2020-03-20,10.65006
2020-03-21,8.29875
2020-03-22,7.33056
2020-03-23,10.23513
2020-03-24,12.03319
2020-03-25,13.96957
2020-03-26,15.07607
2020-03-27,18.25726
2020-03-28,6.639
2020-03-29,6.22406
2020-03-30,13.55463
2020-03-31,16.45919
2020-04-01,13.13969
2020-04-02,14.79944
2020-04-03,11.34163
2020-04-04,4.97925
2020-04-05,5.25587
2020-04-06,12.44813
2020-04-07,17.01244
2020-04-08,17.98063
2020-04-09,18.25726
2020-04-10,15.07607
2020-04-11,8.29875
2020-04-12,9.12863
2020-04-13,15.76763
2020-04-14,15.07607
2020-04-15,9.40525
2020-04-16,16.32088
2020-04-17,14.3845
2020-04-18,7.60719
2020-04-19,8.29875
2020-04-20,13.13969
2020-04-21,17.70401
2020-04-22,17.01244
2020-04-23,23.65145
2020-04-24,17.98063
2020-04-25,7.88381
2020-04-26,6.50069
2020-04-27,21.02351
2020-04-28,18.25726
2020-04-29,16.73582
2020-04-30,8.43706
2020-05-01,11.61825
2020-05-02,7.7455
2020-05-03,11.065
2020-05-04,15.21438
2020-05-05,8.43706
2020-05-06,23.23651
2020-05-07,26.00276
2020-05-08,15.35269
2020-05-09,8.02213
2020-05-10,7.88381
2020-05-11,17.15076
2020-05-12,16.87413
2020-05-13,19.64038
2020-05-14,20.8852
2020-05-15,19.36376
2020-05-16,9.26694
2020-05-17,13.55463
2020-05-18,13.69294
2020-05-19,15.62932
2020-05-20,14.93775
2020-05-21,22.95988
2020-05-22,13.41632
2020-05-23,6.08575
2020-05-24,6.36237
2020-05-25,14.52282
2020-05-26,17.01244
2020-05-27,21.57676
2020-05-28,18.94882
2020-05-29,13.13969
2020-05-30,9.12863
2020-05-31,9.12863
2020-06-01,18.67219
2020-06-02,16.59751
2020-06-03,17.84232
2020-06-04,19.50207
2020-06-05,21.85338
2020-06-06,7.60719
2020-06-07,7.19225
2020-06-08,15.90594
2020-06-09,16.59751
2020-06-10,15.76763
2020-06-11,20.19363
2020-06-12,23.51313
2020-06-13,8.852
2020-06-14,9.68188
2020-06-15,16.45919
2020-06-16,16.73582
2020-06-17,21.30013
2020-06-18,21.43845
