date,일상생활배상책임보험누수
2020-03-20,18.72659
2020-03-21,12.73408
2020-03-22,7.49063
2020-03-23,20.59925
2020-03-24,24.7191
2020-03-25,22.65917
2020-03-26,28.27715
2020-03-27,24.53183
2020-03-28,14.794
2020-03-29,6.74157
2020-03-30,26.40449
2020-03-31,29.02621
2020-04-01,19.28838
2020-04-02,25.46816
2020-04-03,23.0337
2020-04-04,16.29213
2020-04-05,12.35955
2020-04-06,22.84644
2020-04-07,26.21722
2020-04-08,29.77528
2020-04-09,28.83895
2020-04-10,30.33707
2020-04-11,19.28838
2020-04-12,13.29588
2020-04-13,30.33707
2020-04-14,32.397
2020-04-15,26.02996
2020-04-16,35.39325
2020-04-17,29.77528
2020-04-18,26.77902
2020-04-19,23.40823
2020-04-20,45.13108
2020-04-21,37.26591
2020-04-22,37.07865
2020-04-23,30.33707
2020-04-24,28.65168
2020-04-25,15.73033
2020-04-26,19.47565
2020-04-27,37.64044
2020-04-28,35.58052
2020-04-29,41.76029
2020-04-30,20.59925
2020-05-01,18.91385
2020-05-02,18.53932
2020-05-03,17.22846
2020-05-04,35.76779
2020-05-05,25.09363
2020-05-06,41.76029
2020-05-07,29.96254
2020-05-08,14.41947
2020-05-09,15.73033
2020-05-10,11.79775
2020-05-11,26.21722
2020-05-12,30.52434
2020-05-13,30.14981
2020-05-14,21.72284
2020-05-15,17.97752
2020-05-16,13.10861
2020-05-17,11.61048
2020-05-18,29.77528
2020-05-19,29.77528
2020-05-20,26.21722
2020-05-21,27.71535
2020-05-22,24.1573
2020-05-23,17.41573
2020-05-24,14.41947
2020-05-25,27.34082
2020-05-26,25.46816
2020-05-27,23.22097
2020-05-28,22.47191
2020-05-29,18.91385
2020-05-30,14.2322
2020-05-31,11.23595
2020-06-01,18.72659
2020-06-02,20.78651
2020-06-03,21.91011
2020-06-04,22.47191
2020-06-05,21.72284
2020-06-06,13.85767
2020-06-07,8.98876
2020-06-08,27.34082
2020-06-09,27.34082
2020-06-10,30.14981
2020-06-11,26.96629
2020-06-12,21.91011
2020-06-13,16.66666
2020-06-14,17.04119
2020-06-15,29.96254
2020-06-16,30.71161
2020-06-17,21.53558
2020-06-18,22.28464
2020-06-19,19.85018
2020-06-20,14.60674
2020-06-21,11.42322
2020-06-22,20.22471
2020-06-23,17.60299
2020-06-24,11.23595
2020-06-25,13.67041
2020-06-26,11.04868
2020-06-27,10.29962
2020-06-28,5.43071
2020-06-29,11.04868
2020-06-30,14.98127
2020-07-01,14.41947
2020-07-02,9.55056
2020-07-03,14.60674
2020-07-04,10.48689
2020-07-05,6.5543
2020-07-06,15.54307
2020-07-07,13.10861
2020-07-08,17.79026
2020-07-09,11.61048
2020-07-10,8.05243
2020-07-11,7.30337
2020-07-12,4.86891
2020-07-13,15.3558
2020-07-14,20.59925
2020-07-15,16.85393
2020-07-16,10.11235
2020-07-17,12.35955
2020-07-18,9.55056
2020-07-19,7.30337
2020-07-20,16.29213
2020-07-21,15.73033
2020-07-22,16.66666
2020-07-23,17.60299
2020-07-24,19.10112
2020-07-25,15.3558
2020-07-26,11.04868
2020-07-27,26.59176
2020-07-28,21.34831
2020-07-29,24.53183
2020-07-30,23.40823
2020-07-31,20.97378
2020-08-01,11.79775
2020-08-02,11.61048
2020-08-03,25.84269
2020-08-04,23.97003
2020-08-05,24.90636
2020-08-06,31.64794
2020-08-07,26.59176
2020-08-08,21.91011
2020-08-09,24.90636
2020-08-10,45.31835
2020-08-11,42.88389
2020-08-12,37.26591
2020-08-13,26.21722
2020-08-14,23.5955
2020-08-15,17.04119
2020-08-16,13.85767
2020-08-17,14.794
2020-08-18,31.2734
2020-08-19,37.26591
2020-08-20,33.14606
2020-08-21,30.52434
2020-08-22,23.40823
2020-08-23,16.66666
2020-08-24,33.14606
2020-08-25,31.64794
2020-08-26,28.08988
2020-08-27,30.52434
2020-08-28,28.46441
2020-08-29,20.41198
2020-08-30,17.41573
2020-08-31,40.0749
2020-09-01,30.14981
2020-09-02,29.21348
2020-09-03,43.82022
2020-09-04,37.64044
2020-09-05,26.02996
2020-09-06,17.97752
2020-09-07,45.13108
2020-09-08,38.57677
2020-09-09,35.01872
2020-09-10,32.397
2020-09-11,30.14981
2020-09-12,33.89513
2020-09-13,29.58801
2020-09-14,34.08239
2020-09-15,31.2734
2020-09-16,30.52434
2020-09-17,27.15355
2020-09-18,20.22471
2020-09-19,18.35205
2020-09-20,14.60674
2020-09-21,29.77528
2020-09-22,27.15355
2020-09-23,23.5955
2020-09-24,18.72659
2020-09-25,15.16853
2020-09-26,11.79775
2020-09-27,9.55056
2020-09-28,19.85018
2020-09-29,15.16853
