date,코스피200
2020-11-08,2.59447
2020-11-09,36.04753
2020-11-10,36.37389
2020-11-11,37.22367
2020-11-12,35.32707
2020-11-13,34.5553
2020-11-14,3.95533
2020-11-15,2.77099
2020-11-16,39.42404
2020-11-17,38.39159
2020-11-18,33.80816
2020-11-19,31.38816
2020-11-20,30.32697
2020-11-21,4.95905
2020-11-22,3.75212
2020-11-23,41.14821
2020-11-24,38.50448
2020-11-25,63.54604
2020-11-26,41.48073
2020-11-27,35.16697
2020-11-28,4.55879
2020-11-29,3.80139
2020-11-30,32.49245
2020-12-01,33.14107
2020-12-02,37.16209
2020-12-03,38.72616
2020-12-04,37.91744
2020-12-05,4.97547
2020-12-06,4.0908
2020-12-07,37.70192
2020-12-08,39.35836
2020-12-09,39.7504
2020-12-10,44.82234
2020-12-11,36.52168
2020-12-12,4.11749
2020-12-13,3.28208
2020-12-14,33.69937
2020-12-15,33.6419
2020-12-16,31.68578
2020-12-17,31.71247
2020-12-18,30.31055
2020-12-19,3.66181
2020-12-20,2.89004
2020-12-21,30.25513
2020-12-22,30.7888
2020-12-23,32.51298
2020-12-24,35.25523
2020-12-25,4.05796
2020-12-26,2.52673
2020-12-27,2.87567
2020-12-28,33.67885
2020-12-29,33.38122
2020-12-30,34.38083
2020-12-31,8.57365
2021-01-01,3.0604
2021-01-02,2.68478
2021-01-03,2.63141
2021-01-04,37.39608
2021-01-05,39.24136
2021-01-06,42.26687
2021-01-07,42.12319
2021-01-08,49.30725
2021-01-09,6.14544
2021-01-10,4.58547
2021-01-11,61.71719
2021-01-12,56.99624
2021-01-13,50.75843
2021-01-14,43.70779
2021-01-15,43.50869
2021-01-16,4.4459
2021-01-17,3.0563
2021-01-18,44.15115
2021-01-19,44.72792
2021-01-20,41.06406
2021-01-21,39.56361
2021-01-22,39.9844
2021-01-23,4.13185
2021-01-24,3.46271
2021-01-25,40.88959
2021-01-26,40.8588
2021-01-27,41.05995
2021-01-28,40.75206
2021-01-29,45.49559
2021-01-30,4.97752
2021-01-31,3.42166
2021-02-01,42.10267
2021-02-02,44.47546
2021-02-03,100.0
2021-02-04,47.91354
2021-02-05,39.89408
2021-02-06,4.28374
2021-02-07,2.95983
2021-02-08,36.12964
2021-02-09,33.63369
2021-02-10,29.53262
2021-02-11,3.31698
2021-02-12,2.3071
2021-02-13,2.32147
2021-02-14,2.30505
2021-02-15,35.85869
2021-02-16,34.38904
2021-02-17,32.22151
2021-02-18,33.15133
2021-02-19,37.98107
2021-02-20,3.71723
2021-02-21,2.68683
2021-02-22,34.01958
2021-02-23,34.33568
2021-02-24,37.0533
2021-02-25,40.41749
2021-02-26,39.49177
2021-02-27,3.78702
2021-02-28,2.77099
2021-03-01,3.37855
2021-03-02,37.67113
2021-03-03,35.43997
2021-03-04,33.64395
2021-03-05,34.68461
2021-03-06,3.51608
2021-03-07,2.67041
2021-03-08,32.40624
2021-03-09,39.37888
2021-03-10,34.30694
2021-03-11,37.5685
2021-03-12,37.07177
2021-03-13,3.89375
2021-03-14,2.71967
2021-03-15,29.54494
2021-03-16,29.79946
2021-03-17,28.46117
2021-03-18,33.66448
2021-03-19,27.55187
2021-03-20,3.28208
2021-03-21,2.36663
2021-03-22,27.29941
2021-03-23,27.9706
2021-03-24,28.62538
2021-03-25,28.27233
2021-03-26,28.6808
2021-03-27,3.47708
2021-03-28,2.61294
2021-03-29,26.75752
2021-03-30,29.98214
2021-03-31,28.5638
2021-04-01,27.75919
2021-04-02,31.35121
2021-04-03,3.71107
2021-04-04,4.29196
2021-04-05,27.93571
2021-04-06,29.22473
2021-04-07,28.90658
2021-04-08,26.66516
2021-04-09,25.18319
2021-04-10,3.56534
2021-04-11,3.03372
2021-04-12,25.16061
2021-04-13,29.22473
2021-04-14,28.84911
2021-04-15,30.42139
2021-04-16,27.72224
2021-04-17,4.2858
2021-04-18,4.45
2021-04-19,28.884
2021-04-20,30.09092
2021-04-21,33.9621
2021-04-22,31.16032
2021-04-23,30.80933
2021-04-24,5.90529
2021-04-25,5.88476
2021-04-26,29.44641
2021-04-27,28.77111
2021-04-28,30.16687
2021-04-29,31.31016
2021-04-30,31.09669
2021-05-01,6.83922
2021-05-02,7.06295
2021-05-03,33.62753
2021-05-04,27.80845
2021-05-05,4.29196
2021-05-06,27.02231
2021-05-07,27.28914
2021-05-08,2.97419
2021-05-09,2.33173
2021-05-10,30.3085
2021-05-11,28.45296
2021-05-12,31.77405
2021-05-13,32.6895
2021-05-14,26.56868
2021-05-15,2.97625
2021-05-16,2.52057
2021-05-17,24.77267
2021-05-18,25.14829
2021-05-19,3.65565
2021-05-20,22.47583
2021-05-21,25.13393
2021-05-22,3.19177
2021-05-23,2.24142
2021-05-24,22.70161
2021-05-25,29.7543
2021-05-26,27.43488
2021-05-27,23.77101
2021-05-28,25.5506
2021-05-29,2.86541
2021-05-30,2.33584
2021-05-31,25.2345
2021-06-01,24.83835
2021-06-02,23.75664
2021-06-03,26.3819
2021-06-04,25.77639
2021-06-05,4.46642
2021-06-06,3.8137
2021-06-07,28.25386
2021-06-08,25.18729
2021-06-09,23.73201
2021-06-10,25.77844
2021-06-11,22.84119
2021-06-12,2.97214
2021-06-13,2.41179
2021-06-14,19.74794
2021-06-15,19.76436
2021-06-16,21.16012
2021-06-17,19.63094
2021-06-18,18.61286
2021-06-19,2.5411
2021-06-20,1.85553
2021-06-21,20.59155
2021-06-22,19.93267
2021-06-23,20.55666
2021-06-24,21.62605
2021-06-25,21.3859
2021-06-26,2.44052
2021-06-27,1.83501
2021-06-28,18.95564
2021-06-29,19.09727
2021-06-30,19.05416
2021-07-01,18.05045
2021-07-02,17.47572
2021-07-03,1.98895
2021-07-04,1.57843
2021-07-05,17.15347
2021-07-06,18.16129
2021-07-07,18.14076
2021-07-08,20.94665
2021-07-09,24.9964
2021-07-10,2.35842
2021-07-11,1.5928
2021-07-12,20.46634
2021-07-13,20.25903
2021-07-14,18.62517
2021-07-15,20.46224
2021-07-16,18.29265
2021-07-17,1.92943
2021-07-18,1.49838
2021-07-19,20.32882
2021-07-20,22.67493
2021-07-21,21.22785
2021-07-22,23.21065
2021-07-23,20.4294
2021-07-24,2.09158
2021-07-25,1.51891
2021-07-26,18.27418
2021-07-27,18.16745
2021-07-28,19.23069
2021-07-29,18.17771
2021-07-30,19.60015
2021-07-31,2.10184
2021-08-01,1.41423
2021-08-02,18.37681
2021-08-03,20.96102
2021-08-04,25.79896
2021-08-05,22.71393
2021-08-06,19.8403
2021-08-07,2.19832
2021-08-08,1.77343
2021-08-09,20.03735
2021-08-10,21.83337
2021-08-11,23.33586
2021-08-12,25.63886
2021-08-13,26.31211
2021-08-14,2.60473
2021-08-15,1.73648
2021-08-16,3.47708
2021-08-17,24.47094
2021-08-18,24.85067
2021-08-19,26.21769
2021-08-20,26.815
2021-08-21,2.94341
2021-08-22,2.36252
2021-08-23,25.32892
2021-08-24,26.44348
2021-08-25,24.22668
2021-08-26,22.40399
2021-08-27,20.46429
2021-08-28,2.35431
2021-08-29,1.68722
2021-08-30,19.57347
2021-08-31,23.19628
2021-09-01,25.15856
2021-09-02,21.41053
2021-09-03,21.09033
2021-09-04,2.20653
2021-09-05,1.81653
2021-09-06,21.35717
2021-09-07,19.19579
2021-09-08,19.83004
2021-09-09,21.71637
2021-09-10,19.73562
2021-09-11,2.23732
2021-09-12,1.78575
2021-09-13,18.48354
2021-09-14,20.09482
2021-09-15,18.89406
2021-09-16,17.60709
2021-09-17,17.01389
2021-09-18,1.73854
2021-09-19,1.16997
2021-09-20,1.40602
2021-09-21,1.77548
2021-09-22,1.76317
2021-09-23,18.47533
2021-09-24,16.5849
2021-09-25,1.73238
2021-09-26,1.38344
2021-09-27,16.97284
2021-09-28,16.98926
2021-09-29,22.42451
2021-09-30,19.477
2021-10-01,19.00285
2021-10-02,2.23937
2021-10-03,1.34033
2021-10-04,2.99267
2021-10-05,23.56164
2021-10-06,24.13637
2021-10-07,23.34407
2021-10-08,19.69046
2021-10-09,1.93969
2021-10-10,1.65438
2021-10-11,2.62525
2021-10-12,19.68636
2021-10-13,18.48354
2021-10-14,18.93306
2021-10-15,18.60054
2021-10-16,2.05874
2021-10-17,1.48607
2021-10-18,17.07342
2021-10-19,16.94821
2021-10-20,16.84968
2021-10-21,16.51922
2021-10-22,14.78683
2021-10-23,1.66875
2021-10-24,1.37112
2021-10-25,16.74911
2021-10-26,17.43878
2021-10-27,15.72897
2021-10-28,16.05944
2021-10-29,15.65713
2021-10-30,1.77548
2021-10-31,1.51275
2021-11-01,15.49498
2021-11-02,17.69124
2021-11-03,17.14526
2021-11-04,17.1042
2021-11-05,16.2647
2021-11-06,1.8699
2021-11-07,1.77959
2021-11-08,16.5418
2021-11-09,16.00197
2021-11-10,15.73102
2021-11-11,16.78605
2021-11-12,16.65879
2021-11-13,2.24553
2021-11-14,1.81448
2021-11-15,16.66085
2021-11-16,16.40222
2021-11-17,16.00607
2021-11-18,16.68137
2021-11-19,15.15425
2021-11-20,2.21679
2021-11-21,1.64206
2021-11-22,20.33498
2021-11-23,17.23968
2021-11-24,18.93717
2021-11-25,20.65313
2021-11-26,19.68225
2021-11-27,2.81204
2021-11-28,2.15521
2021-11-29,19.88341
2021-11-30,22.84734
2021-12-01,22.75293
2021-12-02,21.68968
2021-12-03,20.1913
2021-12-04,2.25579
2021-12-05,1.97253
2021-12-06,20.52382
2021-12-07,21.03286
2021-12-08,23.75869
2021-12-09,22.75703
2021-12-10,18.51228
2021-12-11,2.69915
2021-12-12,1.9479
2021-12-13,19.22042
2021-12-14,16.59927
2021-12-15,16.37554
2021-12-16,16.66906
2021-12-17,16.51511
2021-12-18,1.95406
2021-12-19,1.48607
2021-12-20,16.73269
2021-12-21,17.21094
2021-12-22,15.8316
2021-12-23,15.94449
2021-12-24,16.04507
2021-12-25,2.069
2021-12-26,1.65643
2021-12-27,14.94283
2021-12-28,15.97323
2021-12-29,16.08202
2021-12-30,14.82583
2021-12-31,5.02883
2022-01-01,1.69954
2022-01-02,1.64412
2022-01-03,14.82173
2022-01-04,14.79504
2022-01-05,16.54385
2022-01-06,17.35052
2022-01-07,16.34064
2022-01-08,2.0649
2022-01-09,1.5887
2022-01-10,15.85623
2022-01-11,17.12063
2022-01-12,17.79593
2022-01-13,17.82877
2022-01-14,15.59761
2022-01-15,2.11005
2022-01-16,1.65643
2022-01-17,16.37759
2022-01-18,17.15347
2022-01-19,17.45314
2022-01-20,18.10997
2022-01-21,17.59067
2022-01-22,2.75662
2022-01-23,1.96022
2022-01-24,18.92895
2022-01-25,23.7628
2022-01-26,21.4598
2022-01-27,28.67053
2022-01-28,25.87902
2022-01-29,3.18766
2022-01-30,2.08542
2022-01-31,1.96637
2022-02-01,2.28452
2022-02-02,2.67452
2022-02-03,22.27262
2022-02-04,20.50534
2022-02-05,2.84488
2022-02-06,1.96432
2022-02-07,20.73934
2022-02-08,19.91009
2022-02-09,19.46673
2022-02-10,22.42862
2022-02-11,19.28611
2022-02-12,2.45078
2022-02-13,1.85143
2022-02-14,19.38258
2022-02-15,19.46058
2022-02-16,19.9573
2022-02-17,22.01194
2022-02-18,18.6108
2022-02-19,2.23526
2022-02-20,1.64822
2022-02-21,18.83043
2022-02-22,19.5591
2022-02-23,19.126
2022-02-24,23.73611
2022-02-25,20.28366
2022-02-26,2.51236
2022-02-27,1.89453
2022-02-28,18.02787
2022-03-01,3.21435
2022-03-02,17.60914
2022-03-03,18.16334
2022-03-04,16.35912
2022-03-05,2.20242
2022-03-06,1.6277
2022-03-07,19.49547
2022-03-08,19.06648
2022-03-09,3.02756
2022-03-10,20.34729
2022-03-11,18.18387
2022-03-12,2.89414
2022-03-13,2.23732
2022-03-14,17.95192
2022-03-15,16.80453
2022-03-16,17.84519
2022-03-17,21.33664
2022-03-18,18.98027
2022-03-19,2.87156
2022-03-20,1.82269
2022-03-21,16.49459
2022-03-22,16.706
2022-03-23,17.75077
2022-03-24,15.7536
2022-03-25,16.01633
2022-03-26,2.23321
2022-03-27,1.68312
2022-03-28,16.33448
2022-03-29,16.20517
2022-03-30,17.76103
2022-03-31,16.76758
2022-04-01,14.83404
2022-04-02,1.9438
2022-04-03,1.46144
2022-04-04,16.07586
2022-04-05,15.44982
2022-04-06,15.21788
2022-04-07,16.58901
2022-04-08,15.52987
2022-04-09,1.96432
2022-04-10,1.46759
2022-04-11,15.03109
2022-04-12,15.58324
2022-04-13,17.22531
2022-04-14,17.23147
2022-04-15,14.19158
2022-04-16,1.59691
2022-04-17,1.34033
2022-04-18,14.82378
2022-04-19,15.60992
2022-04-20,15.20146
2022-04-21,15.71871
2022-04-22,14.03353
2022-04-23,2.04232
2022-04-24,1.54354
2022-04-25,16.13744
2022-04-26,15.88702
2022-04-27,17.88008
2022-04-28,16.95026
2022-04-29,17.04057
2022-04-30,2.06285
2022-05-01,1.54765
2022-05-02,14.85662
2022-05-03,15.15219
2022-05-04,14.22442
2022-05-05,2.69709
2022-05-06,14.8012
2022-05-07,1.85964
2022-05-08,1.3116
2022-05-09,16.61774
2022-05-10,19.282
2022-05-11,17.96219
2022-05-12,19.14448
2022-05-13,18.01145
2022-05-14,2.45489
2022-05-15,1.5107
2022-05-16,16.84763
2022-05-17,16.49459
2022-05-18,17.06521
2022-05-19,17.07752
2022-05-20,17.43262
2022-05-21,2.22089
2022-05-22,1.44296
2022-05-23,16.24828
2022-05-24,15.86649
2022-05-25,16.24007
2022-05-26,16.46585
2022-05-27,15.59761
2022-05-28,2.08132
2022-05-29,1.6708
2022-05-30,17.17399
2022-05-31,17.6153
2022-06-01,3.20819
2022-06-02,15.01467
2022-06-03,14.26548
2022-06-04,1.78575
2022-06-05,1.2767
2022-06-06,2.16958
2022-06-07,14.41532
2022-06-08,15.73102
2022-06-09,16.56848
2022-06-10,14.75605
2022-06-11,2.20037
2022-06-12,1.2767
2022-06-13,20.00862
2022-06-14,21.50495
2022-06-15,20.72702
2022-06-16,20.07635
2022-06-17,19.43594
2022-06-18,2.38921
2022-06-19,1.67901
2022-06-20,20.40271
2022-06-21,18.89817
2022-06-22,20.96307
2022-06-23,22.17204
2022-06-24,20.54024
2022-06-25,2.60678
2022-06-26,1.68722
2022-06-27,19.10753
2022-06-28,17.73024
2022-06-29,16.29959
2022-06-30,16.42275
2022-07-01,18.15102
2022-07-02,2.40768
2022-07-03,1.56201
2022-07-04,18.27623
2022-07-05,17.28689
2022-07-06,17.35257
2022-07-07,17.94782
2022-07-08,16.90921
2022-07-09,2.02795
2022-07-10,1.3506
2022-07-11,15.92602
2022-07-12,15.18914
2022-07-13,15.70845
2022-07-14,15.82134
2022-07-15,16.61364
2022-07-16,2.13674
2022-07-17,1.33623
2022-07-18,17.2561
2022-07-19,15.61813
2022-07-20,17.00363
2022-07-21,16.87637
2022-07-22,15.04135
2022-07-23,1.84117
2022-07-24,1.34239
2022-07-25,15.31435
2022-07-26,15.23635
2022-07-27,15.16862
2022-07-28,17.09394
2022-07-29,15.94039
2022-07-30,2.24553
2022-07-31,1.54559
2022-08-01,15.32872
2022-08-02,14.02122
2022-08-03,15.2343
2022-08-04,16.34269
2022-08-05,15.60171
2022-08-06,2.05258
2022-08-07,1.37112
2022-08-08,15.01672
2022-08-09,15.92191
2022-08-10,14.13001
2022-08-11,17.02415
2022-08-12,15.87471
2022-08-13,2.19421
2022-08-14,1.31365
2022-08-15,2.01769
2022-08-16,15.93012
2022-08-17,15.28356
2022-08-18,13.96375
2022-08-19,12.92308
2022-08-20,1.83296
2022-08-21,1.18434
2022-08-22,13.61481
2022-08-23,13.31308
2022-08-24,13.77696
2022-08-25,14.69447
2022-08-26,13.85085
2022-08-27,1.8309
2022-08-28,1.20897
2022-08-29,14.60621
2022-08-30,14.27779
2022-08-31,15.15835
2022-09-01,14.62673
2022-09-02,14.77862
2022-09-03,1.82885
2022-09-04,1.19665
2022-09-05,13.63738
2022-09-06,13.08524
2022-09-07,14.4851
2022-09-08,14.10743
2022-09-09,2.15316
2022-09-10,1.40807
2022-09-11,1.24592
2022-09-12,2.01769
2022-09-13,18.35628
2022-09-14,16.86405
2022-09-15,13.5286
2022-09-16,12.81635
2022-09-17,1.7057
2022-09-18,1.22334
2022-09-19,13.66407
2022-09-20,12.58646
2022-09-21,12.62956
2022-09-22,15.02288
2022-09-23,15.56887
2022-09-24,2.22295
2022-09-25,1.48402
2022-09-26,18.50817
2022-09-27,17.71998
2022-09-28,20.27956
2022-09-29,18.57796
2022-09-30,17.27252
2022-10-01,2.38305
2022-10-02,1.63796
2022-10-03,2.30095
2022-10-04,16.33038
2022-10-05,17.86161
2022-10-06,15.72076
2022-10-07,13.67638
2022-10-08,2.11416
2022-10-09,1.50454
2022-10-10,2.17574
2022-10-11,14.88536
2022-10-12,15.60787
2022-10-13,15.28972
2022-10-14,14.54873
2022-10-15,2.42821
2022-10-16,1.64206
2022-10-17,16.07996
2022-10-18,16.00607
2022-10-19,15.52166
2022-10-20,12.57414
2022-10-21,13.56144
2022-10-22,1.8268
2022-10-23,1.31981
2022-10-24,13.29871
2022-10-25,13.07498
2022-10-26,14.12385
2022-10-27,14.89152
2022-10-28,13.46702
2022-10-29,2.03206
2022-10-30,1.22949
2022-10-31,14.17311
2022-11-01,15.51345
2022-11-02,15.31024
2022-11-03,14.70268
2022-11-04,14.40095
2022-11-05,2.01153
2022-11-06,1.58459
2022-11-07,14.84841
2022-11-08,15.7105
2022-11-09,16.34475
2022-11-10,14.82378
2022-11-11,20.12972
2022-11-12,2.66425
2022-11-13,1.58459
2022-11-14,15.96502
2022-11-15,14.55079
2022-11-16,14.6801
2022-11-17,13.45265
2022-11-18,12.80609
2022-11-19,1.69954
2022-11-20,1.24181
2022-11-21,11.5068
2022-11-22,11.75516
2022-11-23,11.3857
2022-11-24,11.60738
2022-11-25,10.78018
2022-11-26,1.67696
2022-11-27,1.04476
2022-11-28,10.48461
2022-11-29,11.26254
2022-11-30,12.8184
2022-12-01,14.34142
2022-12-02,11.5848
2022-12-03,1.56201
2022-12-04,1.20692
2022-12-05,12.07742
2022-12-06,10.88897
2022-12-07,11.81469
2022-12-08,12.13284
2022-12-09,12.63162
2022-12-10,1.74675
2022-12-11,1.28902
2022-12-12,10.43535
2022-12-13,11.28101
2022-12-14,11.57453
2022-12-15,11.02649
2022-12-16,11.28101
2022-12-17,1.43475
2022-12-18,0.9955
2022-12-19,10.11104
2022-12-20,10.2342
2022-12-21,9.89141
2022-12-22,10.68371
2022-12-23,10.56261
2022-12-24,1.4327
2022-12-25,1.03039
2022-12-26,10.01662
2022-12-27,10.0002
2022-12-28,11.51706
2022-12-29,10.74324
2022-12-30,4.8441
2022-12-31,1.32391
2023-01-01,0.98934
2023-01-02,11.06755
2023-01-03,13.23097
2023-01-04,13.94322
2023-01-05,13.1694
2023-01-06,13.74822
2023-01-07,2.20242
2023-01-08,1.32802
2023-01-09,15.49703
2023-01-10,15.00851
2023-01-11,14.57952
2023-01-12,14.95515
2023-01-13,14.90794
2023-01-14,2.43436
2023-01-15,1.60512
2023-01-16,13.66817
2023-01-17,12.12052
2023-01-18,12.022
2023-01-19,12.24573
2023-01-20,11.68127
2023-01-21,1.91711
2023-01-22,1.20281
2023-01-23,1.52712
2023-01-24,2.00127
2023-01-25,14.56105
2023-01-26,16.08817
2023-01-27,16.99131
2023-01-28,2.49184
2023-01-29,1.5928
2023-01-30,14.21621
2023-01-31,13.59018
2023-02-01,14.36195
2023-02-02,15.7146
2023-02-03,14.71294
2023-02-04,1.99922
2023-02-05,1.33418
2023-02-06,13.27408
2023-02-07,13.6928
2023-02-08,15.03314
2023-02-09,14.57747
2023-02-10,11.76543
2023-02-11,1.69133
2023-02-12,1.21513
2023-02-13,11.69564
2023-02-14,12.27241
2023-02-15,12.15542
2023-02-16,14.7581
2023-02-17,11.91321
2023-02-18,1.90685
2023-02-19,1.22334
2023-02-20,12.64599
2023-02-21,12.19852
2023-02-22,11.70385
2023-02-23,12.7363
2023-02-24,11.56838
2023-02-25,1.78164
2023-02-26,1.3116
2023-02-27,11.71206
2023-02-28,11.6628
2023-03-01,2.42615
2023-03-02,11.87832
2023-03-03,11.3467
