date,SKC주가
2020-03-20,3.503
2020-03-21,0.34151
2020-03-22,0.26345
2020-03-23,2.64433
2020-03-24,2.72889
2020-03-25,3.23955
2020-03-26,3.28833
2020-03-27,3.25256
2020-03-28,0.40006
2020-03-29,0.3903
2020-03-30,3.31436
2020-03-31,3.62985
2020-04-01,4.34542
2020-04-02,3.79573
2020-04-03,3.66238
2020-04-04,0.92372
2020-04-05,0.5204
2020-04-06,4.35517
2020-04-07,4.2576
2020-04-08,4.78777
2020-04-09,5.31143
2020-04-10,4.75524
2020-04-11,0.69604
2020-04-12,0.37079
2020-04-13,4.3259
2020-04-14,3.96161
2020-04-15,1.50593
2020-04-16,7.46137
2020-04-17,9.68938
2020-04-18,1.58724
2020-04-19,1.18718
2020-04-20,10.45047
2020-04-21,11.21157
2020-04-22,10.70417
2020-04-23,8.95755
2020-04-24,7.42234
2020-04-25,1.36282
2020-04-26,1.20344
2020-04-27,6.53439
2020-04-28,5.99121
2020-04-29,5.87087
2020-04-30,1.25223
2020-05-01,1.23272
2020-05-02,0.68954
2020-05-03,0.73833
2020-05-04,4.52106
2020-05-05,1.07659
2020-05-06,4.79102
2020-05-07,5.51634
2020-05-08,5.0805
2020-05-09,0.92697
2020-05-10,0.68629
2020-05-11,4.56009
2020-05-12,4.39421
2020-05-13,6.20263
2020-05-14,5.76028
2020-05-15,5.32119
2020-05-16,0.78711
2020-05-17,0.44234
2020-05-18,5.96519
2020-05-19,7.36705
2020-05-20,6.6157
2020-05-21,6.90193
2020-05-22,6.16685
2020-05-23,0.79362
2020-05-24,0.67653
2020-05-25,7.65978
2020-05-26,10.48951
2020-05-27,10.59033
2020-05-28,15.06261
2020-05-29,9.97885
2020-05-30,1.21971
2020-05-31,1.1514
2020-06-01,9.39014
2020-06-02,9.22751
2020-06-03,9.20474
2020-06-04,9.23076
2020-06-05,8.43389
2020-06-06,1.07659
2020-06-07,1.04407
2020-06-08,7.38331
2020-06-09,9.87477
2020-06-10,8.93153
2020-06-11,9.11367
2020-06-12,8.45015
2020-06-13,1.31728
2020-06-14,1.00504
2020-06-15,8.60302
2020-06-16,9.80972
2020-06-17,9.73491
2020-06-18,7.85168
2020-06-19,9.59505
2020-06-20,1.19043
2020-06-21,0.87168
2020-06-22,11.93364
2020-06-23,14.17791
2020-06-24,12.85737
2020-06-25,12.48333
2020-06-26,12.20035
2020-06-27,1.63603
2020-06-28,1.09936
2020-06-29,9.70239
2020-06-30,9.64059
2020-07-01,8.4534
2020-07-02,9.15596
2020-07-03,8.72662
2020-07-04,1.06033
2020-07-05,0.81639
2020-07-06,11.45877
2020-07-07,12.09952
2020-07-08,9.28931
2020-07-09,13.13059
2020-07-10,13.44608
2020-07-11,1.76614
2020-07-12,1.38884
2020-07-13,11.40673
2020-07-14,10.02764
2020-07-15,9.81297
2020-07-16,8.42413
2020-07-17,8.41437
2020-07-18,1.85721
2020-07-19,1.43437
2020-07-20,9.08765
2020-07-21,8.82094
2020-07-22,9.55602
2020-07-23,9.77719
2020-07-24,10.63912
2020-07-25,0.90421
2020-07-26,0.85217
2020-07-27,9.13644
2020-07-28,9.50398
2020-07-29,8.29403
2020-07-30,7.89396
2020-07-31,8.8925
2020-08-01,0.94649
2020-08-02,0.88144
2020-08-03,13.20214
2020-08-04,13.14685
2020-08-05,13.93072
2020-08-06,15.83997
2020-08-07,18.1005
2020-08-08,2.71914
2020-08-09,2.52073
2020-08-10,18.07773
2020-08-11,18.3542
2020-08-12,29.48121
2020-08-13,22.14343
2020-08-14,16.78646
2020-08-15,1.71409
2020-08-16,1.41811
2020-08-17,2.36786
2020-08-18,17.42722
2020-08-19,13.92746
2020-08-20,12.77606
2020-08-21,18.46479
2020-08-22,3.21678
2020-08-23,2.44917
2020-08-24,24.03317
2020-08-25,20.27972
2020-08-26,18.38022
2020-08-27,17.9151
2020-08-28,16.32785
2020-08-29,1.71084
2020-08-30,1.57098
2020-08-31,16.21727
2020-09-01,14.97479
2020-09-02,14.36656
2020-09-03,13.77459
2020-09-04,15.32281
2020-09-05,2.10765
2020-09-06,1.9743
2020-09-07,15.79443
2020-09-08,15.58952
2020-09-09,13.7811
2020-09-10,15.23174
2020-09-11,13.18263
2020-09-12,1.5287
2020-09-13,1.73036
2020-09-14,13.71605
2020-09-15,12.09952
2020-09-16,13.62172
2020-09-17,13.03626
2020-09-18,15.02683
2020-09-19,2.13693
2020-09-20,1.41161
2020-09-21,16.10017
2020-09-22,13.52089
2020-09-23,16.89055
2020-09-24,15.47243
2020-09-25,14.28524
2020-09-26,1.44738
2020-09-27,1.11888
2020-09-28,12.35322
2020-09-29,11.94015
2020-09-30,0.98552
2020-10-01,0.69279
2020-10-02,0.6375
2020-10-03,0.83916
2020-10-04,1.26849
2020-10-05,12.15807
2020-10-06,10.8668
2020-10-07,9.70889
2020-10-08,10.88632
2020-10-09,1.22296
2020-10-10,0.83265
2020-10-11,0.85217
2020-10-12,9.6601
2020-10-13,9.92356
2020-10-14,10.24556
2020-10-15,8.81444
2020-10-16,9.00634
2020-10-17,0.91396
2020-10-18,0.72206
2020-10-19,11.12375
2020-10-20,10.87006
2020-10-21,10.26833
2020-10-22,10.99691
2020-10-23,10.23255
2020-10-24,2.01008
2020-10-25,1.16116
2020-10-26,12.84111
2020-10-27,13.59245
2020-10-28,12.78581
2020-10-29,11.89136
2020-10-30,10.6684
2020-10-31,1.43112
2020-11-01,1.21971
2020-11-02,10.28785
2020-11-03,19.03073
2020-11-04,16.59456
2020-11-05,15.90177
2020-11-06,14.90323
2020-11-07,1.9808
2020-11-08,1.92876
2020-11-09,16.23353
2020-11-10,13.89494
2020-11-11,12.98097
2020-11-12,12.39225
2020-11-13,11.82306
2020-11-14,1.53195
2020-11-15,1.24247
2020-11-16,13.06553
2020-11-17,13.04277
2020-11-18,13.83964
2020-11-19,13.49487
2020-11-20,11.19206
2020-11-21,1.86697
2020-11-22,1.8507
2020-11-23,15.03333
2020-11-24,14.30801
2020-11-25,14.44462
2020-11-26,13.3355
2020-11-27,26.02699
2020-11-28,5.83509
2020-11-29,4.76825
2020-11-30,25.07399
2020-12-01,19.9447
2020-12-02,16.80273
2020-12-03,16.21076
2020-12-04,15.52772
2020-12-05,2.0361
2020-12-06,1.69458
2020-12-07,14.36656
2020-12-08,15.15368
2020-12-09,18.12001
2020-12-10,16.80923
2020-12-11,16.05789
2020-12-12,1.96779
2020-12-13,1.87347
2020-12-14,13.63148
2020-12-15,12.55488
2020-12-16,17.07919
2020-12-17,24.93738
2020-12-18,22.7419
2020-12-19,4.69995
2020-12-20,3.57131
2020-12-21,21.73361
2020-12-22,19.5674
2020-12-23,20.00325
2020-12-24,17.41421
2020-12-25,2.82647
2020-12-26,2.11416
2020-12-27,2.77443
2020-12-28,17.55407
2020-12-29,18.2924
2020-12-30,18.55911
2020-12-31,3.79899
2021-01-01,4.00065
2021-01-02,3.65262
2021-01-03,3.5648
2021-01-04,32.79232
2021-01-05,36.75069
2021-01-06,33.37127
2021-01-07,30.6131
2021-01-08,34.7341
2021-01-09,6.43031
2021-01-10,6.8629
2021-01-11,35.29679
2021-01-12,28.96731
2021-01-13,26.46934
2021-01-14,29.00634
2021-01-15,27.29224
2021-01-16,4.93088
2021-01-17,4.28037
2021-01-18,23.82826
2021-01-19,39.55439
2021-01-20,36.60107
2021-01-21,39.369
2021-01-22,48.63555
2021-01-23,12.02797
2021-01-24,9.41291
2021-01-25,55.8107
2021-01-26,50.66189
2021-01-27,51.02943
2021-01-28,42.35485
2021-01-29,40.0
2021-01-30,8.15417
2021-01-31,6.46934
2021-02-01,42.6671
2021-02-02,53.23141
2021-02-03,48.39811
2021-02-04,40.06505
2021-02-05,35.27728
2021-02-06,5.56187
2021-02-07,4.82354
2021-02-08,33.43633
2021-02-09,33.44608
2021-02-10,42.11741
2021-02-11,11.88485
2021-02-12,7.302
2021-02-13,10.77248
2021-02-14,7.90047
2021-02-15,51.40348
2021-02-16,44.1958
2021-02-17,38.21434
2021-02-18,42.38738
2021-02-19,39.59342
2021-02-20,6.7328
2021-02-21,6.56692
2021-02-22,37.32639
2021-02-23,37.88583
2021-02-24,39.08928
2021-02-25,39.76906
2021-02-26,30.46023
2021-02-27,5.41551
2021-02-28,5.24312
2021-03-01,5.82208
2021-03-02,33.61196
2021-03-03,32.40852
2021-03-04,29.57554
2021-03-05,39.81135
2021-03-06,11.99219
2021-03-07,7.85493
2021-03-08,24.60562
2021-03-09,14.64953
2021-03-10,11.55635
2021-03-11,10.97088
2021-03-12,9.34786
2021-03-13,2.8037
2021-03-14,2.58578
2021-03-15,8.99983
2021-03-16,7.91022
2021-03-17,7.53618
2021-03-18,7.54268
2021-03-19,6.18962
2021-03-20,2.2898
2021-03-21,1.83444
2021-03-22,7.44186
2021-03-23,25.07724
2021-03-24,27.11335
2021-03-25,32.64595
2021-03-26,30.49276
2021-03-27,4.05919
2021-03-28,3.64286
2021-03-29,28.3851
2021-03-30,34.09009
2021-03-31,30.45047
2021-04-01,34.4869
2021-04-02,33.15661
2021-04-03,4.88534
2021-04-04,4.21857
2021-04-05,28.74288
2021-04-06,26.64498
2021-04-07,25.50333
2021-04-08,31.22133
2021-04-09,29.26004
2021-04-10,3.79899
2021-04-11,4.73898
2021-04-12,54.44137
2021-04-13,41.11237
2021-04-14,40.42933
2021-04-15,36.95234
2021-04-16,34.82842
2021-04-17,7.42559
2021-04-18,5.88063
2021-04-19,34.23971
2021-04-20,33.50463
2021-04-21,29.13644
2021-04-22,35.57326
2021-04-23,30.15124
2021-04-24,4.27061
2021-04-25,4.33891
2021-04-26,29.1527
2021-04-27,26.83688
2021-04-28,26.88892
2021-04-29,29.96584
2021-04-30,29.03236
2021-05-01,4.82029
2021-05-02,3.43795
2021-05-03,28.00455
2021-05-04,25.74402
2021-05-05,4.45926
2021-05-06,25.17807
2021-05-07,26.62546
2021-05-08,5.2171
2021-05-09,5.54561
2021-05-10,33.98276
2021-05-11,26.71328
2021-05-12,30.17075
2021-05-13,29.95609
2021-05-14,26.5474
2021-05-15,4.03642
2021-05-16,3.37615
2021-05-17,24.25109
2021-05-18,23.06066
2021-05-19,3.77947
2021-05-20,22.16295
2021-05-21,21.43437
2021-05-22,2.83948
2021-05-23,3.06066
2021-05-24,19.8146
2021-05-25,20.79687
2021-05-26,23.53878
2021-05-27,25.75052
2021-05-28,24.35517
2021-05-29,3.74695
2021-05-30,2.9273
2021-05-31,23.95186
