date,용돈벌이
2020-03-20,65.82278
2020-03-21,54.43037
2020-03-22,64.55696
2020-03-23,74.68354
2020-03-24,74.68354
2020-03-25,83.5443
2020-03-26,77.21518
2020-03-27,92.40506
2020-03-28,58.22784
2020-03-29,65.82278
2020-03-30,70.88607
2020-03-31,75.94936
2020-04-01,49.36708
2020-04-02,73.41772
2020-04-03,54.43037
2020-04-04,56.96202
2020-04-05,64.55696
2020-04-06,100.0
2020-04-07,79.74683
2020-04-08,64.55696
2020-04-09,49.36708
2020-04-10,63.29113
2020-04-11,44.30379
2020-04-12,53.16455
2020-04-13,74.68354
2020-04-14,54.43037
2020-04-15,40.50632
2020-04-16,48.10126
2020-04-17,65.82278
2020-04-18,43.03797
2020-04-19,60.75949
2020-04-20,68.35443
2020-04-21,64.55696
2020-04-22,68.35443
2020-04-23,70.88607
2020-04-24,45.56962
2020-04-25,44.30379
2020-04-26,46.83544
2020-04-27,51.89873
2020-04-28,56.96202
2020-04-29,72.15189
2020-04-30,41.77215
2020-05-01,27.8481
2020-05-02,31.64556
2020-05-03,50.63291
2020-05-04,54.43037
2020-05-05,32.91139
2020-05-06,69.62025
2020-05-07,54.43037
2020-05-08,41.77215
2020-05-09,34.17721
2020-05-10,65.82278
2020-05-11,49.36708
2020-05-12,59.49367
2020-05-13,59.49367
2020-05-14,74.68354
2020-05-15,26.58227
2020-05-16,39.2405
2020-05-17,46.83544
2020-05-18,48.10126
2020-05-19,63.29113
2020-05-20,45.56962
2020-05-21,56.96202
2020-05-22,40.50632
2020-05-23,27.8481
2020-05-24,53.16455
2020-05-25,50.63291
2020-05-26,48.10126
2020-05-27,49.36708
2020-05-28,30.37974
2020-05-29,37.97468
2020-05-30,30.37974
2020-05-31,20.25316
2020-06-01,48.10126
2020-06-02,40.50632
2020-06-03,31.64556
2020-06-04,37.97468
2020-06-05,25.31645
2020-06-06,36.70886
2020-06-07,37.97468
2020-06-08,60.75949
2020-06-09,43.03797
2020-06-10,58.22784
2020-06-11,35.44303
2020-06-12,30.37974
2020-06-13,35.44303
2020-06-14,37.97468
2020-06-15,56.96202
2020-06-16,46.83544
2020-06-17,43.03797
2020-06-18,73.41772
2020-06-19,56.96202
2020-06-20,32.91139
2020-06-21,37.97468
2020-06-22,59.49367
2020-06-23,63.29113
2020-06-24,48.10126
2020-06-25,44.30379
2020-06-26,41.77215
2020-06-27,22.78481
2020-06-28,56.96202
2020-06-29,44.30379
2020-06-30,59.49367
2020-07-01,35.44303
2020-07-02,49.36708
2020-07-03,46.83544
2020-07-04,36.70886
2020-07-05,39.2405
2020-07-06,56.96202
2020-07-07,43.03797
2020-07-08,63.29113
2020-07-09,36.70886
2020-07-10,43.03797
2020-07-11,43.03797
2020-07-12,40.50632
2020-07-13,77.21518
2020-07-14,46.83544
2020-07-15,51.89873
2020-07-16,35.44303
2020-07-17,34.17721
2020-07-18,37.97468
2020-07-19,49.36708
2020-07-20,48.10126
2020-07-21,64.55696
2020-07-22,54.43037
2020-07-23,60.75949
2020-07-24,48.10126
2020-07-25,21.51898
2020-07-26,59.49367
2020-07-27,40.50632
2020-07-28,41.77215
2020-07-29,54.43037
2020-07-30,31.64556
2020-07-31,41.77215
2020-08-01,35.44303
2020-08-02,48.10126
2020-08-03,49.36708
2020-08-04,40.50632
2020-08-05,41.77215
2020-08-06,36.70886
2020-08-07,45.56962
2020-08-08,18.98734
2020-08-09,43.03797
2020-08-10,55.6962
2020-08-11,63.29113
2020-08-12,54.43037
2020-08-13,51.89873
2020-08-14,55.6962
2020-08-15,32.91139
2020-08-16,31.64556
2020-08-17,43.03797
2020-08-18,51.89873
2020-08-19,48.10126
2020-08-20,56.96202
2020-08-21,49.36708
2020-08-22,37.97468
2020-08-23,46.83544
2020-08-24,54.43037
2020-08-25,41.77215
2020-08-26,46.83544
2020-08-27,45.56962
2020-08-28,30.37974
2020-08-29,41.77215
2020-08-30,59.49367
2020-08-31,45.56962
2020-09-01,86.07594
2020-09-02,65.82278
2020-09-03,43.03797
2020-09-04,53.16455
2020-09-05,35.44303
2020-09-06,48.10126
2020-09-07,45.56962
2020-09-08,48.10126
2020-09-09,46.83544
2020-09-10,69.62025
2020-09-11,35.44303
2020-09-12,30.37974
2020-09-13,51.89873
2020-09-14,58.22784
2020-09-15,39.2405
2020-09-16,65.82278
2020-09-17,30.37974
2020-09-18,41.77215
2020-09-19,29.11392
2020-09-20,22.78481
2020-09-21,48.10126
2020-09-22,50.63291
2020-09-23,36.70886
2020-09-24,26.58227
2020-09-25,39.2405
2020-09-26,27.8481
2020-09-27,17.72151
2020-09-28,41.77215
2020-09-29,20.25316
2020-09-30,27.8481
2020-10-01,24.05063
2020-10-02,46.83544
2020-10-03,39.2405
2020-10-04,51.89873
2020-10-05,54.43037
2020-10-06,53.16455
2020-10-07,45.56962
2020-10-08,31.64556
2020-10-09,40.50632
2020-10-10,37.97468
2020-10-11,35.44303
2020-10-12,29.11392
2020-10-13,45.56962
2020-10-14,26.58227
2020-10-15,51.89873
2020-10-16,39.2405
2020-10-17,20.25316
2020-10-18,43.03797
