date,케이뱅크주택담보대출
2020-05-19,0.19792
2020-05-20,0.1237
2020-05-21,0.3711
2020-05-23,0.1237
2020-05-24,0.32162
2020-05-25,0.14844
2020-05-26,0.2474
2020-05-27,0.32162
2020-05-28,0.2474
2020-05-31,0.22266
2020-06-01,0.14844
2020-06-02,0.19792
2020-06-03,0.17318
2020-06-04,0.17318
2020-06-07,0.1237
2020-06-10,0.1237
2020-06-13,0.1237
2020-06-14,0.1237
2020-06-16,0.1237
2020-06-23,0.1237
2020-06-29,0.1237
2020-06-30,0.1237
2020-07-02,0.17318
2020-07-05,0.14844
2020-07-07,0.1237
2020-07-10,0.1237
2020-07-11,0.1237
2020-07-13,0.1237
2020-07-14,0.39584
2020-07-15,0.14844
2020-07-16,0.2474
2020-07-17,0.17318
2020-07-20,0.1237
2020-07-21,0.14844
2020-07-23,0.44532
2020-07-24,0.34636
2020-07-25,0.14844
2020-07-26,0.14844
2020-07-27,0.91538
2020-07-28,0.91538
2020-07-29,0.94012
2020-07-30,0.34636
2020-07-31,0.69272
2020-08-01,0.27214
2020-08-02,0.27214
2020-08-03,0.6185
2020-08-04,17.88718
2020-08-05,70.93023
2020-08-06,50.84116
2020-08-07,47.52597
2020-08-08,23.20633
2020-08-09,21.64769
2020-08-10,45.24987
2020-08-11,39.16378
2020-08-12,34.98268
2020-08-13,30.00989
2020-08-14,25.48243
2020-08-15,16.1801
2020-08-16,14.34933
2020-08-17,29.51509
2020-08-18,42.77585
2020-08-19,38.66897
2020-08-20,55.51707
2020-08-21,48.24344
2020-08-22,21.72191
2020-08-23,22.48886
2020-08-24,44.68085
2020-08-25,58.80752
2020-08-26,44.1613
2020-08-27,100.0
2020-08-28,40.40079
2020-08-29,17.66452
2020-08-30,13.23602
2020-08-31,28.8471
2020-09-01,34.58683
2020-09-02,28.32756
2020-09-03,27.31321
2020-09-04,21.10341
2020-09-05,9.3518
2020-09-06,13.97822
2020-09-07,44.55714
2020-09-08,54.70064
2020-09-09,30.85106
2020-09-10,27.36269
2020-09-11,24.19594
2020-09-12,14.57199
2020-09-13,17.24393
2020-09-14,51.43493
2020-09-15,29.29242
2020-09-16,17.91192
2020-09-17,13.85452
2020-09-18,9.45076
2020-09-19,4.89856
2020-09-20,5.36862
2020-09-21,12.64225
