date,오늘의증권
2020-03-20,41.97189
2020-03-21,13.45826
2020-03-22,7.87904
2020-03-23,41.60988
2020-03-24,41.1201
2020-03-25,38.52214
2020-03-26,36.24361
2020-03-27,33.49659
2020-03-28,11.64821
2020-03-29,6.96337
2020-03-30,33.96507
2020-03-31,27.98126
2020-04-01,29.21635
2020-04-02,29.91908
2020-04-03,23.25383
2020-04-04,7.15502
2020-04-05,5.06814
2020-04-06,23.25383
2020-04-07,24.21209
2020-04-08,23.08347
2020-04-09,22.06132
2020-04-10,23.80749
2020-04-11,7.09114
2020-04-12,4.77001
2020-04-13,23.80749
2020-04-14,20.16609
2020-04-15,13.90545
2020-04-16,21.01788
2020-04-17,20.31516
2020-04-18,6.431
2020-04-19,4.68483
2020-04-20,21.50766
2020-04-21,24.93611
2020-04-22,21.52896
2020-04-23,19.01618
2020-04-24,18.82453
2020-04-25,5.96252
2020-04-26,4.08858
2020-04-27,17.90885
2020-04-28,18.65417
2020-04-29,15.75809
2020-04-30,9.19931
2020-05-01,23.12606
2020-05-02,3.85434
2020-05-03,4.08858
2020-05-04,21.40119
2020-05-05,6.23935
2020-05-06,19.29301
2020-05-07,17.54684
2020-05-08,16.01362
2020-05-09,4.91908
2020-05-10,3.76916
2020-05-11,15.88586
2020-05-12,16.60988
2020-05-13,16.14139
2020-05-14,18.50511
2020-05-15,15.09795
2020-05-16,4.74872
2020-05-17,3.17291
2020-05-18,15.45996
2020-05-19,17.09965
2020-05-20,16.63117
2020-05-21,17.20613
2020-05-22,17.05706
2020-05-23,4.408
2020-05-24,2.72572
2020-05-25,17.05706
2020-05-26,17.69591
2020-05-27,16.24787
2020-05-28,21.14565
2020-05-29,17.18483
2020-05-30,3.27938
2020-05-31,3.55621
2020-06-01,16.78023
2020-06-02,17.52555
2020-06-03,19.03747
2020-06-04,20.05962
2020-06-05,16.43952
2020-06-06,5.28109
2020-06-07,3.98211
2020-06-08,17.29131
2020-06-09,17.99403
2020-06-10,17.90885
2020-06-11,18.59028
2020-06-12,23.61584
2020-06-13,5.19591
2020-06-14,3.32197
2020-06-15,33.19846
2020-06-16,24.02044
2020-06-17,21.69931
2020-06-18,20.05962
2020-06-19,18.61158
2020-06-20,4.28023
2020-06-21,3.91822
2020-06-22,16.20528
2020-06-23,14.18228
2020-06-24,14.35264
2020-06-25,17.65332
2020-06-26,14.05451
2020-06-27,4.36541
2020-06-28,3.13032
2020-06-29,16.26916
2020-06-30,14.18228
2020-07-01,13.88415
2020-07-02,14.37393
2020-07-03,12.45741
2020-07-04,3.85434
2020-07-05,3.30068
2020-07-06,12.73424
2020-07-07,15.05536
2020-07-08,13.62862
2020-07-09,12.94718
2020-07-10,12.58517
2020-07-11,4.36541
2020-07-12,3.30068
2020-07-13,15.01277
2020-07-14,17.01448
2020-07-15,15.52385
2020-07-16,15.09795
2020-07-17,13.22402
2020-07-18,3.66269
2020-07-19,3.27938
2020-07-20,13.79897
2020-07-21,14.33134
2020-07-22,15.09795
2020-07-23,14.60817
2020-07-24,15.07666
2020-07-25,5.08943
2020-07-26,4.28023
2020-07-27,13.56473
2020-07-28,15.7155
2020-07-29,14.92759
2020-07-30,15.82197
2020-07-31,14.01192
2020-08-01,4.15247
2020-08-02,3.89693
2020-08-03,14.9063
2020-08-04,14.13969
2020-08-05,16.58858
2020-08-06,16.95059
2020-08-07,18.78194
2020-08-08,5.36626
2020-08-09,4.51448
2020-08-10,17.07836
2020-08-11,17.75979
2020-08-12,18.27086
2020-08-13,15.35349
2020-08-14,18.33475
2020-08-15,4.32282
2020-08-16,3.36456
2020-08-17,24.23339
2020-08-18,21.89097
2020-08-19,15.03407
2020-08-20,23.57325
2020-08-21,16.05621
2020-08-22,4.19505
2020-08-23,3.2155
2020-08-24,15.2896
2020-08-25,14.86371
2020-08-26,14.45911
2020-08-27,14.97018
2020-08-28,14.5017
2020-08-29,5.06814
2020-08-30,4.15247
2020-08-31,15.50255
2020-09-01,14.54429
2020-09-02,14.75724
2020-09-03,14.56558
2020-09-04,19.78279
2020-09-05,5.19591
2020-09-06,4.64224
2020-09-07,16.1201
2020-09-08,17.46166
2020-09-09,17.86626
2020-09-10,14.84241
2020-09-11,14.24616
2020-09-12,5.04684
2020-09-13,4.45059
2020-09-14,14.94889
2020-09-15,15.2896
2020-09-16,14.5017
2020-09-17,15.35349
2020-09-18,12.5
2020-09-19,4.51448
2020-09-20,3.51362
2020-09-21,15.09795
2020-09-22,20.82623
2020-09-23,16.22657
2020-09-24,21.16695
2020-09-25,13.60732
2020-09-26,4.28023
2020-09-27,2.89608
2020-09-28,12.30834
2020-09-29,11.41396
2020-09-30,4.04599
2020-10-01,3.34327
2020-10-02,3.66269
2020-10-03,3.57751
2020-10-04,3.6201
2020-10-05,11.73339
2020-10-06,11.22231
2020-10-07,11.71209
2020-10-08,11.24361
2020-10-09,5.06814
2020-10-10,3.79045
2020-10-11,2.32112
2020-10-12,11.56303
2020-10-13,11.86115
2020-10-14,12.26575
2020-10-15,13.90545
2020-10-16,11.86115
2020-10-17,3.42844
2020-10-18,2.42759
