date,오늘의금값시세
2020-03-20,80.79381
2020-03-21,41.13157
2020-03-22,31.00849
2020-03-23,54.32687
2020-03-24,53.58267
2020-03-25,55.66262
2020-03-26,51.88436
2020-03-27,42.72493
2020-03-28,27.74544
2020-03-29,21.54374
2020-03-30,38.49823
2020-03-31,38.29787
2020-04-01,37.05753
2020-04-02,34.74859
2020-04-03,33.16477
2020-04-04,22.42152
2020-04-05,18.34748
2020-04-06,37.24835
2020-04-07,39.51912
2020-04-08,41.71357
2020-04-09,37.13386
2020-04-10,47.56225
2020-04-11,27.77406
2020-04-12,47.97252
2020-04-13,65.61396
2020-04-14,66.95925
2020-04-15,38.9562
2020-04-16,56.30187
2020-04-17,60.31867
2020-04-18,34.15704
2020-04-19,25.96126
2020-04-20,46.44594
2020-04-21,52.51407
2020-04-22,53.41093
2020-04-23,53.25827
2020-04-24,59.20236
2020-04-25,34.63409
2020-04-26,32.32515
2020-04-27,69.8502
2020-04-28,52.50453
2020-04-29,46.50319
2020-04-30,32.57322
2020-05-01,32.12479
2020-05-02,29.3865
2020-05-03,24.55872
2020-05-04,39.85306
2020-05-05,30.59822
2020-05-06,48.07747
2020-05-07,40.96937
2020-05-08,38.08796
2020-05-09,25.31247
2020-05-10,20.48468
2020-05-11,38.87987
2020-05-12,35.5882
2020-05-13,33.10752
2020-05-14,36.95258
2020-05-15,38.19292
2020-05-16,25.10256
2020-05-17,20.21753
2020-05-18,54.57494
2020-05-19,51.34052
2020-05-20,40.80717
2020-05-21,38.66043
2020-05-22,30.83675
2020-05-23,16.91632
2020-05-24,13.66281
2020-05-25,26.58143
2020-05-26,24.71138
2020-05-27,23.28976
2020-05-28,24.37744
2020-05-29,21.66777
2020-05-30,12.8709
2020-05-31,11.63056
2020-06-01,22.8127
2020-06-02,22.11621
2020-06-03,23.58553
2020-06-04,21.82043
2020-06-05,19.94084
2020-06-06,11.95496
2020-06-07,10.90544
2020-06-08,21.43879
2020-06-09,22.69821
2020-06-10,22.05896
2020-06-11,21.24797
2020-06-12,21.70594
2020-06-13,12.58467
2020-06-14,10.22803
2020-06-15,23.05123
2020-06-16,20.40835
2020-06-17,21.75364
2020-06-18,19.66415
2020-06-19,17.02127
2020-06-20,11.22984
2020-06-21,9.52199
2020-06-22,23.78589
2020-06-23,21.86814
2020-06-24,20.58963
2020-06-25,19.71185
2020-06-26,17.3075
2020-06-27,11.64011
2020-06-28,9.89409
2020-06-29,19.35883
2020-06-30,18.09941
2020-07-01,22.74592
2020-07-02,21.63915
2020-07-03,17.77502
2020-07-04,10.67646
2020-07-05,11.00085
2020-07-06,22.52647
2020-07-07,21.06669
2020-07-08,21.83951
2020-07-09,24.02442
2020-07-10,19.53057
2020-07-11,12.57513
2020-07-12,10.69554
2020-07-13,26.78179
2020-07-14,35.2161
2020-07-15,28.6423
2020-07-16,26.43831
2020-07-17,24.37744
2020-07-18,15.25617
2020-07-19,13.45291
2020-07-20,23.48058
2020-07-21,23.347
2020-07-22,33.03119
2020-07-23,38.9562
2020-07-24,42.02843
2020-07-25,45.81623
2020-07-26,23.02261
2020-07-27,52.11334
2020-07-28,73.01784
2020-07-29,79.40082
