date,거실그림
2020-03-20,63.63636
2020-03-21,63.63636
2020-03-22,64.4628
2020-03-23,50.0
2020-03-24,57.43801
2020-03-25,48.76033
2020-03-26,61.98347
2020-03-27,61.57024
2020-03-28,57.85123
2020-03-29,72.72727
2020-03-30,48.3471
2020-03-31,54.13223
2020-04-01,57.43801
2020-04-02,57.85123
2020-04-03,43.38842
2020-04-04,66.52892
2020-04-05,78.92561
2020-04-06,73.55371
2020-04-07,56.61157
2020-04-08,50.82644
2020-04-09,47.52066
2020-04-10,48.3471
2020-04-11,62.80991
2020-04-12,96.69421
2020-04-13,49.17355
2020-04-14,58.67768
2020-04-15,55.3719
2020-04-16,52.89256
2020-04-17,71.4876
2020-04-18,71.4876
2020-04-19,85.12396
2020-04-20,64.4628
2020-04-21,67.35537
2020-04-22,56.61157
2020-04-23,66.94214
2020-04-24,59.91735
2020-04-25,64.04958
2020-04-26,65.70247
2020-04-27,69.00826
2020-04-28,44.62809
2020-04-29,45.04132
2020-04-30,62.80991
2020-05-01,56.19834
2020-05-02,52.06611
2020-05-03,48.3471
2020-05-04,54.95867
2020-05-05,65.70247
2020-05-06,54.54545
2020-05-07,36.36363
2020-05-08,38.84297
2020-05-09,58.26446
2020-05-10,64.4628
2020-05-11,57.43801
2020-05-12,59.0909
2020-05-13,54.13223
2020-05-14,46.69421
2020-05-15,44.21487
2020-05-16,47.52066
2020-05-17,62.39669
2020-05-18,59.0909
2020-05-19,55.78512
2020-05-20,60.33057
2020-05-21,55.3719
2020-05-22,40.49586
2020-05-23,63.63636
2020-05-24,69.00826
2020-05-25,45.04132
2020-05-26,49.58677
2020-05-27,48.3471
2020-05-28,56.19834
2020-05-29,39.25619
2020-05-30,42.14876
2020-05-31,64.4628
2020-06-01,54.95867
2020-06-02,46.69421
2020-06-03,37.6033
2020-06-04,38.42975
2020-06-05,45.86776
2020-06-06,49.58677
2020-06-07,69.00826
2020-06-08,56.61157
2020-06-09,46.28099
2020-06-10,42.56198
2020-06-11,33.88429
2020-06-12,43.38842
2020-06-13,45.86776
2020-06-14,62.39669
2020-06-15,47.10743
2020-06-16,57.02479
2020-06-17,55.3719
2020-06-18,53.30578
2020-06-19,47.10743
2020-06-20,48.3471
2020-06-21,54.95867
2020-06-22,62.80991
2020-06-23,51.23966
2020-06-24,56.61157
2020-06-25,57.43801
2020-06-26,37.6033
2020-06-27,47.52066
2020-06-28,55.3719
2020-06-29,38.42975
2020-06-30,52.89256
