date,경제지표
2020-03-20,2.79423
2020-03-21,1.76409
2020-03-22,1.8156
2020-03-23,2.88436
2020-03-24,3.46381
2020-03-25,4.08189
2020-03-26,3.5797
2020-03-27,2.92299
2020-03-28,1.55807
2020-03-29,1.71259
2020-03-30,4.94463
2020-03-31,8.44707
2020-04-01,5.48544
2020-04-02,3.27066
2020-04-03,2.60108
2020-04-04,1.72546
2020-04-05,1.71259
2020-04-06,3.48956
2020-04-07,2.94875
2020-04-08,2.88436
2020-04-09,4.69997
2020-04-10,3.86299
2020-04-11,1.68684
2020-04-12,1.71259
2020-04-13,5.07339
2020-04-14,4.23641
2020-04-15,3.46381
2020-04-16,5.16353
2020-04-17,4.91887
2020-04-18,2.79423
2020-04-19,2.91012
2020-04-20,5.11202
2020-04-21,4.27504
2020-04-22,4.22353
2020-04-23,3.86299
2020-04-24,1.68684
2020-04-25,0.93999
2020-04-26,1.10739
2020-04-27,2.17615
2020-04-28,2.25341
2020-04-29,2.17615
2020-04-30,0.97862
2020-05-01,1.39067
2020-05-02,1.06876
2020-05-03,1.18465
2020-05-04,1.8156
2020-05-05,1.48081
2020-05-06,1.58382
2020-05-07,1.55807
2020-05-08,1.36492
2020-05-09,0.69533
2020-05-10,1.00437
2020-05-11,2.02163
2020-05-12,1.8156
2020-05-13,1.60958
2020-05-14,1.91861
2020-05-15,1.30054
2020-05-16,0.75972
2020-05-17,0.66958
2020-05-18,1.53232
2020-05-19,1.45506
2020-05-20,1.15889
2020-05-21,1.39067
2020-05-22,0.88848
2020-05-23,0.75972
2020-05-24,0.9915
2020-05-25,1.67396
2020-05-26,1.69971
2020-05-27,1.4293
2020-05-28,1.49369
2020-05-29,1.3778
2020-05-30,0.72109
2020-05-31,1.12026
2020-06-01,1.53232
2020-06-02,1.31341
2020-06-03,1.44218
2020-06-04,1.4293
2020-06-05,1.72546
2020-06-06,0.87561
2020-06-07,1.03013
2020-06-08,1.49369
2020-06-09,1.60958
2020-06-10,1.50656
2020-06-11,1.50656
2020-06-12,1.18465
2020-06-13,1.09451
2020-06-14,1.33917
2020-06-15,1.57095
2020-06-16,1.08163
2020-06-17,1.19752
2020-06-18,1.00437
2020-06-19,0.88848
2020-06-20,0.84985
2020-06-21,0.93999
2020-06-22,1.22328
2020-06-23,1.68684
2020-06-24,1.48081
2020-06-25,1.50656
2020-06-26,1.45506
2020-06-27,0.97862
2020-06-28,0.91424
2020-06-29,1.49369
2020-06-30,1.86711
2020-07-01,1.68684
2020-07-02,1.84135
2020-07-03,1.51944
2020-07-04,0.72109
2020-07-05,1.13314
