date,핀테크
2020-03-20,8.66606
2020-03-21,6.20462
2020-03-22,6.82849
2020-03-23,9.85707
2020-03-24,10.98003
2020-03-25,9.18784
2020-03-26,9.27858
2020-03-27,9.39201
2020-03-28,5.36524
2020-03-29,5.88702
2020-03-30,8.07622
2020-03-31,26.50862
2020-04-01,93.29627
2020-04-02,100.0
2020-04-03,47.25499
2020-04-04,38.65698
2020-04-05,36.22958
2020-04-06,25.44237
2020-04-07,21.35889
2020-04-08,19.4646
2020-04-09,91.54945
2020-04-10,21.05263
2020-04-11,13.98593
2020-04-12,16.48139
2020-04-13,17.87658
2020-04-14,14.82531
2020-04-15,13.03312
2020-04-16,17.75181
2020-04-17,17.18466
2020-04-18,10.17468
2020-04-19,12.99909
2020-04-20,17.196
2020-04-21,16.9578
2020-04-22,16.69691
2020-04-23,21.4156
2020-04-24,13.14655
2020-04-25,8.42785
2020-04-26,10.15199
2020-04-27,14.22413
2020-04-28,12.99909
2020-04-29,14.33756
2020-04-30,14.06533
2020-05-01,12.70417
2020-05-02,8.30308
2020-05-03,10.58303
2020-05-04,10.53765
2020-05-05,9.43738
2020-05-06,14.22413
2020-05-07,13.5549
2020-05-08,11.28629
2020-05-09,9.77767
2020-05-10,10.37885
2020-05-11,42.94464
2020-05-12,15.41515
2020-05-13,13.7931
2020-05-14,14.0313
2020-05-15,13.06715
2020-05-16,8.63203
2020-05-17,9.39201
2020-05-18,15.21098
2020-05-19,15.6647
2020-05-20,19.36252
2020-05-21,14.58711
2020-05-22,12.09165
2020-05-23,8.62068
2020-05-24,10.35617
2020-05-25,23.43466
2020-05-26,18.79537
2020-05-27,16.23185
2020-05-28,18.51179
2020-05-29,13.50952
2020-05-30,46.495
2020-05-31,18.20553
2020-06-01,16.18647
2020-06-02,16.20916
2020-06-03,17.12794
2020-06-04,17.17332
2020-06-05,14.33756
2020-06-06,9.18784
2020-06-07,8.79083
2020-06-08,20.08847
2020-06-09,21.82395
2020-06-10,17.02586
2020-06-11,13.97459
2020-06-12,13.1352
2020-06-13,9.05172
2020-06-14,10.7078
2020-06-15,12.48865
2020-06-16,12.8176
2020-06-17,15.63067
2020-06-18,13.61161
2020-06-19,15.68738
2020-06-20,9.21052
2020-06-21,9.52813
2020-06-22,13.44147
2020-06-23,14.14473
2020-06-24,13.10117
2020-06-25,13.33938
2020-06-26,12.48865
2020-06-27,7.24818
2020-06-28,7.81533
2020-06-29,13.82713
2020-06-30,12.88566
2020-07-01,11.69464
2020-07-02,11.55852
2020-07-03,10.35617
2020-07-04,6.51088
2020-07-05,7.08938
2020-07-06,13.52087
2020-07-07,15.99364
2020-07-08,13.02177
2020-07-09,13.52087
2020-07-10,10.87794
2020-07-11,6.95326
2020-07-12,7.19147
2020-07-13,11.78539
2020-07-14,14.65517
2020-07-15,11.54718
2020-07-16,12.02359
2020-07-17,9.98185
2020-07-18,6.19328
2020-07-19,9.32395
2020-07-20,11.66061
2020-07-21,10.79854
2020-07-22,10.85526
2020-07-23,10.43557
2020-07-24,9.66424
2020-07-25,6.4088
2020-07-26,7.83802
2020-07-27,12.27313
2020-07-28,10.17468
2020-07-29,10.22005
2020-07-30,10.33348
2020-07-31,9.35798
2020-08-01,5.41061
2020-08-02,5.95508
2020-08-03,10.08393
2020-08-04,9.46007
2020-08-05,11.29764
2020-08-06,12.28448
2020-08-07,8.90426
2020-08-08,7.31624
2020-08-09,6.73774
2020-08-10,11.42241
2020-08-11,11.00272
2020-08-12,10.43557
2020-08-13,12.56805
2020-08-14,12.31851
2020-08-15,5.34255
2020-08-16,4.91152
2020-08-17,7.12341
2020-08-18,12.30716
2020-08-19,10.07259
2020-08-20,8.14428
2020-08-21,8.995
2020-08-22,5.94373
2020-08-23,5.69419
2020-08-24,8.8362
