date,클라우드펀딩
2020-03-20,22.14484
2020-03-21,16.85236
2020-03-22,16.57381
2020-03-23,27.99442
2020-03-24,33.98328
2020-03-25,28.1337
2020-03-26,32.1727
2020-03-27,27.71587
2020-03-28,16.29526
2020-03-29,17.96657
2020-03-30,24.93036
2020-03-31,36.7688
2020-04-01,29.80501
2020-04-02,27.85515
2020-04-03,27.5766
2020-04-04,17.13091
2020-04-05,22.00557
2020-04-06,28.55153
2020-04-07,31.89415
2020-04-08,30.64066
2020-04-09,26.74094
2020-04-10,29.94428
2020-04-11,19.4986
2020-04-12,19.08077
2020-04-13,28.6908
2020-04-14,28.96935
2020-04-15,22.9805
2020-04-16,29.52646
2020-04-17,24.79108
2020-04-18,17.96657
2020-04-19,25.48746
2020-04-20,26.32311
2020-04-21,30.08356
2020-04-22,40.80779
2020-04-23,28.27298
2020-04-24,22.9805
2020-04-25,17.40947
2020-04-26,16.71309
2020-04-27,32.1727
2020-04-28,28.55153
2020-04-29,27.99442
2020-04-30,19.22005
2020-05-01,33.70473
2020-05-02,13.7883
2020-05-03,15.04178
2020-05-04,26.88022
2020-05-05,27.15877
2020-05-06,31.61559
2020-05-07,25.34818
2020-05-08,24.23398
2020-05-09,12.11699
2020-05-10,19.22005
2020-05-11,25.20891
2020-05-12,30.91922
2020-05-13,23.25905
2020-05-14,29.24791
2020-05-15,25.48746
2020-05-16,15.59888
2020-05-17,18.24512
2020-05-18,27.43732
2020-05-19,32.45125
2020-05-20,24.93036
2020-05-21,28.1337
2020-05-22,26.18384
2020-05-23,15.87743
2020-05-24,14.9025
2020-05-25,19.77715
2020-05-26,27.71587
2020-05-27,28.1337
2020-05-28,24.51253
2020-05-29,21.03064
2020-05-30,11.83844
2020-05-31,13.92757
2020-06-01,21.72701
2020-06-02,55.57103
2020-06-03,31.61559
2020-06-04,26.60167
2020-06-05,25.90529
2020-06-06,13.09192
2020-06-07,16.29526
2020-06-08,23.95543
2020-06-09,29.66573
2020-06-10,24.93036
2020-06-11,28.83008
2020-06-12,24.23398
2020-06-13,14.9025
2020-06-14,14.62395
2020-06-15,22.56267
2020-06-16,29.80501
2020-06-17,26.60167
2020-06-18,26.74094
2020-06-19,24.65181
2020-06-20,13.50974
2020-06-21,16.15598
2020-06-22,23.39832
2020-06-23,27.29805
2020-06-24,27.01949
2020-06-25,29.80501
2020-06-26,22.28412
2020-06-27,16.71309
2020-06-28,20.05571
2020-06-29,24.65181
2020-06-30,31.05849
2020-07-01,29.52646
2020-07-02,21.86629
2020-07-03,20.05571
2020-07-04,18.24512
2020-07-05,15.87743
2020-07-06,26.74094
2020-07-07,25.34818
2020-07-08,23.11977
2020-07-09,20.89136
2020-07-10,25.20891
2020-07-11,14.48467
2020-07-12,16.01671
2020-07-13,25.06963
2020-07-14,26.04456
2020-07-15,33.98328
2020-07-16,30.64066
2020-07-17,21.86629
2020-07-18,16.01671
2020-07-19,18.52367
2020-07-20,27.5766
2020-07-21,26.04456
2020-07-22,30.36211
2020-07-23,24.51253
2020-07-24,25.48746
2020-07-25,12.67409
2020-07-26,15.32033
2020-07-27,27.01949
2020-07-28,28.96935
2020-07-29,23.5376
2020-07-30,22.70194
2020-07-31,21.86629
2020-08-01,14.06685
2020-08-02,16.43454
2020-08-03,24.37325
2020-08-04,22.9805
2020-08-05,29.24791
2020-08-06,26.88022
2020-08-07,30.22284
2020-08-08,18.66295
2020-08-09,19.77715
2020-08-10,28.83008
2020-08-11,35.65459
2020-08-12,33.2869
2020-08-13,33.2869
2020-08-14,29.24791
2020-08-15,16.57381
2020-08-16,15.04178
2020-08-17,18.52367
2020-08-18,21.58774
2020-08-19,22.28412
2020-08-20,25.62674
2020-08-21,25.06963
2020-08-22,18.24512
2020-08-23,16.01671
2020-08-24,28.83008
2020-08-25,33.70473
2020-08-26,27.01949
2020-08-27,25.06963
2020-08-28,26.32311
2020-08-29,19.77715
2020-08-30,16.99164
2020-08-31,30.08356
2020-09-01,31.33704
2020-09-02,30.22284
2020-09-03,26.74094
2020-09-04,22.84122
2020-09-05,19.63788
2020-09-06,16.85236
2020-09-07,32.59052
2020-09-08,29.10863
2020-09-09,44.84679
2020-09-10,31.89415
2020-09-11,28.1337
2020-09-12,16.43454
2020-09-13,16.57381
2020-09-14,26.60167
2020-09-15,100.0
2020-09-16,80.64066
2020-09-17,38.30083
2020-09-18,25.90529
2020-09-19,42.75766
2020-09-20,24.79108
2020-09-21,34.81894
2020-09-22,27.71587
2020-09-23,28.1337
2020-09-24,24.51253
2020-09-25,24.65181
2020-09-26,15.87743
2020-09-27,13.92757
2020-09-28,26.18384
2020-09-29,21.30919
2020-09-30,10.02785
2020-10-01,12.25626
2020-10-02,14.06685
2020-10-03,15.87743
2020-10-04,23.81615
2020-10-05,28.83008
2020-10-06,32.1727
2020-10-07,27.43732
2020-10-08,32.45125
2020-10-09,25.90529
2020-10-10,15.18105
2020-10-11,20.19498
2020-10-12,30.22284
2020-10-13,24.79108
2020-10-14,29.38718
2020-10-15,24.0947
2020-10-16,19.08077
2020-10-17,22.70194
2020-10-18,17.54874
2020-10-19,29.66573
2020-10-20,29.80501
2020-10-21,34.12256
2020-10-22,29.38718
2020-10-23,20.61281
2020-10-24,15.87743
2020-10-25,18.3844
2020-10-26,29.80501
2020-10-27,27.01949
2020-10-28,28.96935
2020-10-29,30.64066
2020-10-30,22.56267
2020-10-31,14.3454
2020-11-01,19.35933
2020-11-02,27.15877
2020-11-03,25.34818
2020-11-04,30.91922
2020-11-05,27.85515
2020-11-06,22.84122
2020-11-07,14.06685
2020-11-08,14.62395
2020-11-09,26.18384
2020-11-10,29.24791
2020-11-11,29.52646
2020-11-12,27.15877
2020-11-13,28.1337
2020-11-14,16.71309
2020-11-15,19.08077
2020-11-16,26.88022
2020-11-17,26.88022
2020-11-18,27.5766
2020-11-19,24.93036
2020-11-20,25.76601
2020-11-21,16.29526
2020-11-22,21.30919
2020-11-23,31.47632
2020-11-24,32.03342
2020-11-25,26.32311
2020-11-26,27.43732
2020-11-27,22.42339
2020-11-28,16.29526
2020-11-29,21.03064
2020-11-30,25.20891
2020-12-01,26.32311
2020-12-02,25.90529
2020-12-03,29.94428
2020-12-04,25.62674
2020-12-05,21.30919
2020-12-06,19.77715
2020-12-07,25.90529
2020-12-08,29.38718
2020-12-09,27.5766
2020-12-10,24.93036
2020-12-11,25.34818
2020-12-12,19.4986
2020-12-13,21.16991
2020-12-14,27.43732
2020-12-15,28.1337
2020-12-16,29.80501
2020-12-17,23.95543
2020-12-18,22.9805
2020-12-19,21.30919
2020-12-20,14.62395
2020-12-21,27.43732
2020-12-22,27.85515
2020-12-23,19.91643
2020-12-24,18.52367
2020-12-25,14.20612
2020-12-26,15.04178
2020-12-27,14.76323
2020-12-28,26.88022
2020-12-29,24.23398
2020-12-30,25.90529
2020-12-31,17.40947
2021-01-01,13.37047
2021-01-02,14.06685
2021-01-03,16.57381
2021-01-04,23.81615
2021-01-05,25.62674
2021-01-06,25.34818
2021-01-07,24.65181
2021-01-08,23.81615
2021-01-09,15.87743
2021-01-10,19.4986
2021-01-11,25.62674
2021-01-12,23.39832
2021-01-13,23.5376
2021-01-14,26.88022
2021-01-15,22.00557
2021-01-16,17.40947
2021-01-17,15.04178
2021-01-18,24.93036
2021-01-19,28.55153
2021-01-20,21.30919
2021-01-21,24.51253
2021-01-22,24.79108
2021-01-23,14.3454
2021-01-24,14.76323
2021-01-25,23.25905
2021-01-26,29.10863
2021-01-27,23.5376
2021-01-28,25.76601
2021-01-29,17.96657
2021-01-30,11.55988
2021-01-31,12.11699
2021-02-01,23.11977
2021-02-02,26.18384
2021-02-03,21.30919
2021-02-04,24.23398
2021-02-05,21.44846
2021-02-06,13.09192
2021-02-07,11.69916
2021-02-08,27.29805
2021-02-09,20.61281
2021-02-10,18.9415
2021-02-11,11.42061
2021-02-12,11.14206
2021-02-13,12.11699
2021-02-14,15.59888
2021-02-15,24.79108
2021-02-16,22.14484
2021-02-17,22.56267
2021-02-18,19.08077
2021-02-19,22.00557
2021-02-20,13.37047
2021-02-21,17.27019
2021-02-22,21.86629
2021-02-23,23.5376
2021-02-24,24.0947
2021-02-25,23.67688
2021-02-26,18.10584
