date,손해평가사
2020-03-20,13.68848
2020-03-21,11.3354
2020-03-22,13.22264
2020-03-23,16.8299
2020-03-24,16.71046
2020-03-25,16.01767
2020-03-26,16.2924
2020-03-27,15.81462
2020-03-28,11.03678
2020-03-29,12.30291
2020-03-30,18.04825
2020-03-31,18.74104
2020-04-01,16.84185
2020-04-02,18.72909
2020-04-03,15.46822
2020-04-04,10.0215
2020-04-05,11.62207
2020-04-06,19.92355
2020-04-07,20.688
2020-04-08,19.98327
2020-04-09,19.81605
2020-04-10,15.24128
2020-04-11,11.57429
2020-04-12,13.93932
2020-04-13,20.74773
2020-04-14,17.46297
2020-04-15,15.45628
2020-04-16,18.37075
2020-04-17,17.85714
2020-04-18,12.30291
2020-04-19,14.89488
2020-04-20,20.73578
2020-04-21,18.04825
2020-04-22,17.61825
2020-04-23,16.10129
2020-04-24,15.46822
2020-04-25,12.41041
2020-04-26,12.3268
2020-04-27,17.88103
2020-04-28,16.31629
2020-04-29,14.6321
2020-04-30,11.68179
2020-05-01,12.20735
2020-05-02,10.344
2020-05-03,12.84042
2020-05-04,17.12852
2020-05-05,15.93406
2020-05-06,19.6966
2020-05-07,16.45962
2020-05-08,12.41041
2020-05-09,11.02484
2020-05-10,12.38652
2020-05-11,34.62732
2020-05-12,26.76779
2020-05-13,22.61108
2020-05-14,23.22025
2020-05-15,21.34495
2020-05-16,12.1118
2020-05-17,10.05733
2020-05-18,17.30769
2020-05-19,17.58241
2020-05-20,15.52795
2020-05-21,13.44959
2020-05-22,12.14763
2020-05-23,9.65121
2020-05-24,11.38318
2020-05-25,16.01767
2020-05-26,16.0774
2020-05-27,14.91877
2020-05-28,12.99569
2020-05-29,11.75346
2020-05-30,9.12565
2020-05-31,9.49593
2020-06-01,14.66794
2020-06-02,14.50071
2020-06-03,14.66794
2020-06-04,13.7482
2020-06-05,11.92068
2020-06-06,9.86622
2020-06-07,11.20401
2020-06-08,14.64405
2020-06-09,14.94266
2020-06-10,13.87959
2020-06-11,14.19015
2020-06-12,12.1118
2020-06-13,10.33205
2020-06-14,11.14429
