date,4월이벤트
2020-03-20,19.49152
2020-03-21,7.06214
2020-03-22,8.19209
2020-03-23,24.29378
2020-03-24,25.70621
2020-03-25,31.07344
2020-03-26,24.01129
2020-03-27,24.57627
2020-03-28,12.42937
2020-03-29,11.29943
2020-03-30,38.98305
2020-03-31,48.02259
2020-04-01,81.9209
2020-04-02,44.35028
2020-04-03,27.68361
2020-04-04,13.27683
2020-04-05,13.8418
2020-04-06,23.16384
2020-04-07,26.55367
2020-04-08,29.37853
2020-04-09,19.20903
2020-04-10,18.64406
2020-04-11,12.71186
2020-04-12,14.12429
2020-04-13,20.90395
2020-04-14,16.66666
2020-04-15,7.34463
2020-04-16,16.10169
2020-04-17,15.25423
2020-04-18,4.23728
2020-04-19,9.32203
2020-04-20,12.14689
2020-04-21,8.75706
2020-04-22,9.60451
2020-04-23,6.21468
2020-04-24,6.21468
2020-04-25,4.80225
2020-04-26,4.23728
2020-04-27,5.08474
2020-04-28,3.10734
2020-04-29,1.69491
2020-12-04,1.41242
2020-12-17,1.41242
2021-01-11,3.10734
2021-01-12,2.25988
2021-01-14,3.38983
2021-01-18,1.69491
2021-01-19,1.9774
2021-01-21,1.41242
2021-01-25,1.41242
2021-02-01,3.10734
2021-02-02,4.51977
2021-02-03,2.54237
2021-02-06,1.41242
2021-02-08,2.54237
2021-02-09,5.36723
2021-02-10,1.41242
2021-02-15,1.9774
2021-02-16,5.08474
2021-02-17,1.69491
2021-02-18,3.38983
2021-02-19,1.69491
2021-02-22,4.23728
2021-02-23,5.64971
2021-02-24,3.67231
2021-02-25,5.36723
2021-02-26,6.21468
2021-03-02,5.64971
2021-03-03,11.8644
2021-03-04,12.71186
2021-03-05,10.73446
2021-03-06,4.51977
2021-03-07,3.10734
2021-03-08,15.53672
2021-03-09,16.10169
2021-03-10,17.23163
2021-03-11,22.88135
2021-03-12,21.18644
2021-03-13,3.67231
2021-03-14,8.19209
2021-03-15,28.53107
2021-03-16,29.9435
2021-03-17,36.44067
2021-03-18,28.53107
2021-03-19,28.24858
2021-03-20,11.01694
2021-03-21,10.73446
2021-03-22,35.8757
2021-03-23,46.61016
2021-03-24,41.8079
2021-03-25,41.24293
2021-03-26,36.44067
2021-03-27,12.99435
2021-03-28,14.68926
2021-03-29,52.54237
2021-03-30,46.61016
2021-03-31,60.16949
2021-04-01,90.96045
2021-04-02,50.84745
2021-04-03,19.77401
2021-04-04,20.90395
2021-04-05,34.74576
2021-04-06,33.05084
2021-04-07,26.55367
2021-04-08,28.24858
2021-04-09,22.31638
2021-04-10,11.58192
2021-04-11,11.8644
2021-04-12,22.59887
2021-04-13,16.66666
2021-04-14,16.66666
2021-04-15,16.94915
2021-04-16,14.68926
2021-04-17,9.32203
2021-04-18,4.23728
2021-04-19,12.71186
2021-04-20,9.60451
2021-04-21,9.03954
2021-04-22,5.08474
2021-04-23,5.08474
2021-04-24,4.23728
2021-04-25,4.23728
2021-04-26,7.62711
2021-04-27,5.36723
2021-04-28,1.9774
2021-04-29,3.9548
2021-04-30,1.69491
2021-11-04,1.41242
2021-12-10,1.41242
2021-12-30,1.69491
2022-01-04,1.69491
2022-01-05,1.69491
2022-01-06,1.41242
2022-01-07,1.41242
2022-01-10,2.25988
2022-01-11,2.54237
2022-01-12,2.54237
2022-01-17,2.54237
2022-01-24,1.41242
2022-02-03,1.69491
2022-02-04,1.41242
2022-02-07,2.25988
2022-02-08,3.38983
2022-02-09,7.34463
2022-02-10,3.38983
2022-02-11,1.69491
2022-02-14,4.80225
2022-02-15,5.9322
2022-02-16,6.49717
2022-02-17,4.80225
2022-02-18,1.41242
2022-02-19,2.25988
2022-02-20,1.9774
2022-02-21,6.77966
2022-02-22,3.38983
2022-02-23,5.08474
2022-02-24,6.77966
2022-02-25,3.9548
2022-02-26,4.80225
2022-02-28,10.16949
2022-03-01,4.51977
2022-03-02,12.42937
2022-03-03,16.66666
2022-03-04,12.42937
