date,금1돈가격
2020-03-20,13.36557
2020-03-21,6.80851
2020-03-22,4.89361
2020-03-23,7.02127
2020-03-24,6.86653
2020-03-25,7.0793
2020-03-26,6.92456
2020-03-27,6.03481
2020-03-28,3.98452
2020-03-29,3.2882
2020-03-30,4.89361
2020-03-31,4.68085
2020-04-01,4.39071
2020-04-02,4.97098
2020-04-03,4.4294
2020-04-04,3.32688
2020-04-05,2.80464
2020-04-06,4.10058
2020-04-07,4.91295
2020-04-08,5.51257
2020-04-09,4.08123
2020-04-10,6.49903
2020-04-11,3.6557
2020-04-12,9.53578
2020-04-13,9.53578
2020-04-14,9.7292
2020-04-15,5.24177
2020-04-16,6.40232
2020-04-17,7.93036
2020-04-18,5.31914
2020-04-19,4.13926
2020-04-20,5.51257
2020-04-21,5.76402
2020-04-22,7.33075
2020-04-23,5.95744
2020-04-24,7.69825
2020-04-25,4.95164
2020-04-26,5.41586
2020-04-27,9.65183
2020-04-28,6.11218
2020-04-29,5.22243
2020-04-30,4.6615
2020-05-01,4.1586
2020-05-02,4.81624
2020-05-03,4.33268
2020-05-04,4.54545
2020-05-05,3.84912
2020-05-06,6.11218
2020-05-07,4.68085
2020-05-08,3.94584
2020-05-09,3.84912
2020-05-10,3.63636
2020-05-11,4.52611
2020-05-12,3.96518
2020-05-13,3.40425
2020-05-14,3.88781
2020-05-15,3.90715
2020-05-16,3.40425
2020-05-17,3.05609
2020-05-18,6.78916
2020-05-19,6.26692
2020-05-20,4.81624
2020-05-21,4.10058
2020-05-22,4.62282
2020-05-23,3.71373
2020-05-24,3.73307
2020-05-25,4.87427
2020-05-26,13.7911
2020-05-27,18.51063
2020-05-28,18.52998
2020-05-29,19.41972
2020-05-30,16.34429
2020-05-31,17.7176
2020-06-01,19.41972
2020-06-02,20.11605
2020-06-03,20.17408
2020-06-04,16.98259
2020-06-05,17.93036
2020-06-06,16.51837
2020-06-07,14.39071
2020-06-08,16.34429
2020-06-09,16.55705
2020-06-10,15.57059
2020-06-11,13.6557
2020-06-12,17.46615
2020-06-13,14.294
2020-06-14,16.09284
2020-06-15,20.48355
2020-06-16,16.63442
2020-06-17,15.39651
2020-06-18,14.97098
2020-06-19,14.08123
2020-06-20,15.12572
2020-06-21,12.47582
2020-06-22,22.55319
2020-06-23,22.22437
2020-06-24,18.89748
2020-06-25,20.92843
2020-06-26,18.16247
2020-06-27,16.42166
2020-06-28,13.07543
2020-06-29,16.73114
2020-06-30,17.36943
2020-07-01,24.19729
2020-07-02,21.68278
2020-07-03,18.29787
2020-07-04,15.06769
2020-07-05,23.84912
2020-07-06,28.66537
2020-07-07,21.47001
2020-07-08,22.20502
2020-07-09,23.5203
2020-07-10,21.54738
2020-07-11,17.91102
2020-07-12,18.02707
2020-07-13,31.93423
2020-07-14,63.81044
2020-07-15,39.20696
2020-07-16,27.4468
2020-07-17,27.56286
2020-07-18,24.44874
2020-07-19,21.14119
2020-07-20,22.43713
2020-07-21,19.74854
2020-07-22,38.31721
2020-07-23,43.67504
2020-07-24,56.59574
2020-07-25,83.6557
2020-07-26,35.97678
2020-07-27,66.86653
2020-07-28,85.51257
2020-07-29,78.83945
2020-07-30,41.23791
2020-07-31,38.49129
2020-08-01,34.77756
2020-08-02,30.40618
2020-08-03,27.62088
2020-08-04,25.91876
2020-08-05,100.0
2020-08-06,50.735
2020-08-07,42.35976
2020-08-08,34.25531
2020-08-09,28.70406
2020-08-10,32.41779
2020-08-11,32.84332
2020-08-12,69.7292
2020-08-13,41.70212
2020-08-14,27.33075
2020-08-15,24.9323
2020-08-16,22.80464
2020-08-17,19.82591
2020-08-18,28.87814
2020-08-19,25.86073
2020-08-20,23.53965
2020-08-21,20.15473
2020-08-22,16.28626
2020-08-23,14.23597
2020-08-24,19.07156
2020-08-25,18.00773
2020-08-26,16.84719
2020-08-27,18.95551
2020-08-28,19.34235
2020-08-29,15.78336
2020-08-30,16.15087
2020-08-31,15.62862
2020-09-01,16.42166
2020-09-02,15.55125
2020-09-03,16.53771
2020-09-04,21.39264
2020-09-05,15.20309
2020-09-06,16.90522
2020-09-07,19.57446
2020-09-08,16.65377
2020-09-09,16.5764
2020-09-10,16.11218
2020-09-11,18.10444
2020-09-12,15.04835
2020-09-13,15.72533
2020-09-14,16.90522
2020-09-15,17.93036
2020-09-16,16.24758
2020-09-17,16.38297
2020-09-18,16.40232
2020-09-19,14.7969
2020-09-20,12.63056
2020-09-21,13.7911
2020-09-22,15.99613
2020-09-23,15.2998
2020-09-24,17.38878
2020-09-25,19.03288
2020-09-26,13.09477
2020-09-27,11.12185
2020-09-28,13.36557
2020-09-29,14.60348
2020-09-30,13.24951
2020-10-01,18.60735
2020-10-02,14.64216
2020-10-03,12.74661
2020-10-04,13.42359
2020-10-05,16.05415
2020-10-06,12.90135
2020-10-07,14.08123
2020-10-08,15.45454
2020-10-09,13.36557
2020-10-10,12.94003
2020-10-11,12.32108
2020-10-12,15.86073
2020-10-13,14.37137
2020-10-14,15.70599
2020-10-15,14.4294
2020-10-16,15.60928
2020-10-17,13.03675
2020-10-18,12.12765
