date,DGB생명
2020-03-20,56.61861
2020-03-21,22.93577
2020-03-22,21.27566
2020-03-23,74.0498
2020-03-24,66.62297
2020-03-25,72.38968
2020-03-26,68.45784
2020-03-27,65.57448
2020-03-28,25.38226
2020-03-29,25.07645
2020-03-30,76.84578
2020-03-31,73.00131
2020-04-01,60.55045
2020-04-02,50.1529
2020-04-03,43.86194
2020-04-04,13.76146
2020-04-05,14.94102
2020-04-06,56.18173
2020-04-07,51.07033
2020-04-08,46.61424
2020-04-09,45.47837
2020-04-10,44.56094
2020-04-11,15.72739
2020-04-12,17.47487
2020-04-13,54.12844
2020-04-14,46.26474
2020-04-15,18.56705
2020-04-16,51.24508
2020-04-17,41.98339
2020-04-18,15.50895
2020-04-19,14.54783
2020-04-20,50.67715
2020-04-21,45.91524
2020-04-22,45.17256
2020-04-23,44.08038
2020-04-24,48.92966
2020-04-25,15.07208
2020-04-26,16.38269
2020-04-27,59.41459
2020-04-28,58.97771
2020-04-29,51.59458
2020-04-30,14.11096
2020-05-01,18.7418
2020-05-02,12.66928
2020-05-03,13.54303
2020-05-04,55.65749
2020-05-05,18.30493
2020-05-06,52.16251
2020-05-07,43.07557
2020-05-08,40.5854
2020-05-09,13.32459
2020-05-10,12.14504
2020-05-11,48.62385
2020-05-12,44.42988
2020-05-13,40.84753
2020-05-14,42.42027
2020-05-15,43.59982
2020-05-16,15.55264
2020-05-17,15.11577
2020-05-18,50.93927
2020-05-19,48.62385
2020-05-20,43.77457
2020-05-21,47.96854
2020-05-22,38.75054
2020-05-23,15.15945
2020-05-24,15.94582
2020-05-25,63.17169
2020-05-26,56.66229
2020-05-27,48.84228
2020-05-28,42.81345
2020-05-29,41.98339
2020-05-30,14.63521
2020-05-31,16.0332
2020-06-01,52.07514
2020-06-02,44.56094
2020-06-03,40.97859
2020-06-04,40.45434
2020-06-05,39.75535
2020-06-06,14.24202
2020-06-07,14.85364
2020-06-08,42.07077
2020-06-09,42.50764
2020-06-10,44.03669
2020-06-11,40.27959
2020-06-12,42.07077
2020-06-13,14.94102
2020-06-14,14.41677
2020-06-15,49.71603
2020-06-16,48.49279
2020-06-17,46.35211
2020-06-18,45.43468
2020-06-19,44.47356
2020-06-20,15.20314
2020-06-21,14.06727
2020-06-22,51.98776
2020-06-23,46.61424
2020-06-24,49.49759
2020-06-25,55.87592
2020-06-26,50.63346
2020-06-27,16.55744
2020-06-28,15.94582
2020-06-29,57.01179
2020-06-30,57.23023
2020-07-01,49.71603
2020-07-02,45.74049
2020-07-03,44.25513
2020-07-04,15.81476
2020-07-05,16.16426
2020-07-06,56.48754
2020-07-07,47.79379
2020-07-08,46.13368
2020-07-09,46.78899
2020-07-10,48.4491
2020-07-11,15.77107
2020-07-12,16.29532
2020-07-13,57.3176
2020-07-14,52.24989
2020-07-15,51.81301
2020-07-16,50.02184
2020-07-17,43.64351
2020-07-18,16.47007
2020-07-19,17.99912
2020-07-20,53.99737
2020-07-21,57.01179
2020-07-22,55.83224
2020-07-23,49.23547
2020-07-24,47.57536
2020-07-25,17.30013
2020-07-26,16.95063
2020-07-27,63.56487
2020-07-28,56.13805
2020-07-29,55.52643
2020-07-30,57.09916
2020-07-31,50.54608
2020-08-01,17.34381
2020-08-02,14.59152
2020-08-03,50.02184
2020-08-04,46.65792
2020-08-05,50.45871
2020-08-06,48.01223
2020-08-07,40.80384
2020-08-08,18.34862
2020-08-09,16.77588
2020-08-10,57.49235
2020-08-11,56.61861
2020-08-12,50.06553
2020-08-13,51.11402
2020-08-14,43.81826
2020-08-15,14.94102
2020-08-16,14.63521
2020-08-17,22.89209
2020-08-18,57.05548
2020-08-19,47.96854
2020-08-20,51.68195
2020-08-21,49.54128
2020-08-22,18.47968
2020-08-23,17.12538
2020-08-24,63.56487
2020-08-25,71.69069
2020-08-26,70.6422
2020-08-27,100.0
2020-08-28,83.31148
2020-08-29,22.14941
2020-08-30,22.67365
2020-08-31,69.41896
2020-09-01,61.4242
2020-09-02,56.44386
2020-09-03,51.63826
2020-09-04,48.05591
2020-09-05,17.038
2020-09-06,17.69331
2020-09-07,51.41983
2020-09-08,49.54128
2020-09-09,51.41983
2020-09-10,63.52118
2020-09-11,55.08955
2020-09-12,21.93097
2020-09-13,20.57667
2020-09-14,56.74967
2020-09-15,51.11402
2020-09-16,48.75491
2020-09-17,55.9633
2020-09-18,50.76452
2020-09-19,21.88728
2020-09-20,20.66404
2020-09-21,67.80253
2020-09-22,65.57448
2020-09-23,59.80777
2020-09-24,51.94408
2020-09-25,57.84185
2020-09-26,20.35823
2020-09-27,17.56225
2020-09-28,65.48711
2020-09-29,56.22542
2020-09-30,13.71778
2020-10-01,13.10615
2020-10-02,12.14504
2020-10-03,11.18392
2020-10-04,15.64001
2020-10-05,71.90913
2020-10-06,58.0166
2020-10-07,51.46352
2020-10-08,51.63826
2020-10-09,22.4989
2020-10-10,16.77588
2020-10-11,18.17387
2020-10-12,56.18173
2020-10-13,58.93403
2020-10-14,53.29838
2020-10-15,50.41502
2020-10-16,42.59501
2020-10-17,14.02359
2020-10-18,13.01878
2020-10-19,49.62865
2020-10-20,48.88597
2020-10-21,47.0948
2020-10-22,41.50283
2020-10-23,38.13892
2020-10-24,14.02359
2020-10-25,14.28571
2020-10-26,59.63302
2020-10-27,53.38575
2020-10-28,45.34731
2020-10-29,39.5806
2020-10-30,37.30886
2020-10-31,13.76146
2020-11-01,13.49934
2020-11-02,48.88597
2020-11-03,41.6339
2020-11-04,34.81869
2020-11-05,37.96417
2020-11-06,35.1245
2020-11-07,11.88291
2020-11-08,11.70816
2020-11-09,45.95893
2020-11-10,45.0415
2020-11-11,41.41546
2020-11-12,36.87199
2020-11-13,36.56618
2020-11-14,13.76146
2020-11-15,11.79554
2020-11-16,45.0415
2020-11-17,41.32809
2020-11-18,38.75054
2020-11-19,35.34294
2020-11-20,34.38182
2020-11-21,14.06727
2020-11-22,11.18392
2020-11-23,45.56574
2020-11-24,38.00786
2020-11-25,41.80865
2020-11-26,42.2892
2020-11-27,41.67758
2020-11-28,14.28571
2020-11-29,15.55264
2020-11-30,56.79335
2020-12-01,44.08038
2020-12-02,39.2311
2020-12-03,36.91568
2020-12-04,36.39143
2020-12-05,14.94102
2020-12-06,13.71778
2020-12-07,45.391
2020-12-08,43.3377
2020-12-09,43.3377
2020-12-10,45.391
2020-12-11,47.61904
2020-12-12,20.40192
2020-12-13,23.24159
2020-12-14,46.65792
2020-12-15,45.82787
2020-12-16,43.99301
2020-12-17,43.46876
2020-12-18,37.26518
2020-12-19,16.90694
2020-12-20,14.28571
2020-12-21,47.83748
2020-12-22,40.19222
