date,씨티리워드카드
2020-03-20,16.64932
2020-03-21,12.90322
2020-03-22,14.36004
2020-03-23,13.73569
2020-03-24,15.71279
2020-03-25,17.58584
2020-03-26,15.29656
2020-03-27,14.67221
2020-03-28,11.55046
2020-03-29,13.42351
2020-03-30,15.92091
2020-03-31,15.08844
2020-04-01,15.40062
2020-04-02,17.06555
2020-04-03,13.83975
2020-04-04,10.61394
2020-04-05,10.19771
2020-04-06,14.04786
2020-04-07,14.25598
2020-04-08,13.63163
2020-04-09,14.67221
2020-04-10,12.79916
2020-04-11,10.92611
2020-04-12,8.84495
2020-04-13,14.98439
2020-04-14,18.41831
2020-04-15,12.38293
2020-04-16,15.29656
2020-04-17,17.06555
2020-04-18,12.48699
2020-04-19,13.52757
2020-04-20,14.56815
2020-04-21,17.79396
2020-04-22,18.10613
2020-04-23,17.6899
2020-04-24,14.77627
2020-04-25,12.48699
2020-04-26,14.46409
2020-04-27,17.37773
2020-04-28,19.35483
2020-04-29,17.48178
2020-04-30,13.73569
2020-05-01,14.77627
2020-05-02,10.40582
2020-05-03,10.50988
2020-05-04,13.31945
2020-05-05,14.04786
2020-05-06,16.85744
2020-05-07,15.50468
2020-05-08,13.11134
2020-05-09,10.718
2020-05-10,12.07075
2020-05-11,16.33714
2020-05-12,17.27367
2020-05-13,15.40062
2020-05-14,16.33714
2020-05-15,13.63163
2020-05-16,10.82206
2020-05-17,9.36524
2020-05-18,14.88033
2020-05-19,15.1925
2020-05-20,15.71279
2020-05-21,14.88033
2020-05-22,12.17481
2020-05-23,10.718
2020-05-24,12.07075
2020-05-25,14.36004
2020-05-26,16.54526
2020-05-27,13.11134
2020-05-28,13.73569
2020-05-29,9.78147
2020-05-30,8.74089
2020-05-31,9.05306
2020-06-01,14.46409
2020-06-02,12.6951
2020-06-03,12.07075
2020-06-04,10.92611
2020-06-05,10.19771
2020-06-06,7.38813
2020-06-07,6.76378
2020-06-08,11.03017
2020-06-09,11.03017
2020-06-10,11.86264
2020-06-11,6.9719
2020-06-12,8.63683
2020-06-13,8.32466
2020-06-14,9.26118
2020-06-15,9.57336
2020-06-16,12.17481
2020-06-17,11.23829
2020-06-18,11.65452
2020-06-19,11.34235
2020-06-20,7.49219
2020-06-21,7.90842
2020-06-22,10.40582
2020-06-23,11.13423
2020-06-24,11.9667
2020-06-25,14.25598
2020-06-26,10.61394
2020-06-27,10.09365
2020-06-28,10.30176
2020-06-29,11.4464
2020-06-30,14.88033
2020-07-01,13.83975
2020-07-02,14.15192
2020-07-03,9.36524
2020-07-04,7.70031
2020-07-05,7.90842
2020-07-06,13.00728
2020-07-07,10.30176
2020-07-08,13.00728
2020-07-09,11.75858
2020-07-10,9.88553
2020-07-11,9.26118
2020-07-12,7.28407
2020-07-13,10.09365
2020-07-14,11.55046
2020-07-15,15.60874
2020-07-16,11.34235
2020-07-17,13.83975
2020-07-18,9.4693
2020-07-19,6.24349
2020-07-20,12.27887
2020-07-21,14.67221
2020-07-22,15.29656
2020-07-23,11.13423
2020-07-24,11.4464
2020-07-25,9.78147
2020-07-26,10.92611
2020-07-27,15.60874
2020-07-28,13.83975
2020-07-29,12.38293
2020-07-30,10.50988
2020-07-31,12.48699
2020-08-01,11.03017
2020-08-02,10.30176
2020-08-03,12.07075
2020-08-04,16.02497
2020-08-05,15.81685
2020-08-06,14.04786
2020-08-07,11.4464
2020-08-08,9.57336
2020-08-09,9.98959
2020-08-10,14.67221
2020-08-11,14.98439
2020-08-12,12.07075
2020-08-13,13.73569
2020-08-14,12.38293
2020-08-15,8.63683
2020-08-16,9.67741
2020-08-17,8.53277
2020-08-18,14.25598
2020-08-19,13.00728
2020-08-20,13.42351
2020-08-21,12.38293
2020-08-22,8.42872
2020-08-23,9.36524
2020-08-24,11.55046
2020-08-25,12.6951
2020-08-26,13.00728
2020-08-27,11.86264
2020-08-28,11.13423
2020-08-29,8.94901
2020-08-30,11.86264
2020-08-31,13.31945
2020-09-01,12.07075
2020-09-02,12.48699
2020-09-03,11.03017
2020-09-04,8.63683
2020-09-05,7.38813
2020-09-06,9.4693
2020-09-07,11.23829
2020-09-08,12.59105
2020-09-09,12.79916
2020-09-10,15.1925
2020-09-11,14.25598
2020-09-12,9.05306
2020-09-13,11.4464
2020-09-14,10.82206
2020-09-15,13.42351
2020-09-16,15.60874
2020-09-17,22.89281
2020-09-18,17.37773
2020-09-19,9.15712
2020-09-20,10.09365
2020-09-21,11.55046
2020-09-22,13.11134
2020-09-23,12.27887
2020-09-24,14.46409
2020-09-25,12.59105
2020-09-26,9.67741
2020-09-27,7.18002
2020-09-28,9.88553
2020-09-29,13.9438
2020-09-30,6.65972
2020-10-01,6.55567
2020-10-02,11.23829
2020-10-03,8.53277
2020-10-04,11.23829
2020-10-05,14.46409
2020-10-06,12.17481
2020-10-07,14.77627
2020-10-08,11.55046
2020-10-09,8.94901
2020-10-10,9.88553
2020-10-11,9.57336
2020-10-12,10.09365
2020-10-13,15.92091
2020-10-14,12.07075
2020-10-15,12.27887
2020-10-16,10.92611
2020-10-17,9.15712
2020-10-18,6.76378
2020-10-19,9.05306
2020-10-20,10.718
2020-10-21,10.30176
2020-10-22,12.79916
2020-10-23,13.52757
2020-10-24,12.38293
2020-10-25,8.63683
2020-10-26,13.42351
2020-10-27,12.38293
2020-10-28,13.00728
2020-10-29,13.42351
2020-10-30,10.82206
2020-10-31,11.55046
2020-11-01,15.1925
2020-11-02,12.48699
2020-11-03,12.27887
2020-11-04,11.13423
2020-11-05,13.11134
2020-11-06,13.11134
2020-11-07,9.88553
2020-11-08,8.63683
2020-11-09,12.38293
2020-11-10,14.25598
2020-11-11,10.30176
2020-11-12,12.79916
2020-11-13,11.86264
2020-11-14,9.67741
2020-11-15,11.03017
2020-11-16,11.4464
2020-11-17,14.56815
2020-11-18,15.08844
2020-11-19,14.04786
2020-11-20,12.79916
2020-11-21,8.63683
2020-11-22,10.61394
2020-11-23,17.6899
2020-11-24,13.11134
2020-11-25,12.6951
