date,현관액자
2020-03-20,57.36434
2020-03-21,56.58914
2020-03-22,76.74418
2020-03-23,46.51162
2020-03-24,63.56589
2020-03-25,57.36434
2020-03-26,63.56589
2020-03-27,58.13953
2020-03-28,64.34108
2020-03-29,81.39534
2020-03-30,55.03875
2020-03-31,45.73643
2020-04-01,51.16279
2020-04-02,53.48837
2020-04-03,32.55813
2020-04-04,65.11627
2020-04-05,56.58914
2020-04-06,54.26356
2020-04-07,62.0155
2020-04-08,72.09302
2020-04-09,52.71317
2020-04-10,44.18604
2020-04-11,44.18604
2020-04-12,70.54263
2020-04-13,67.44186
2020-04-14,38.75968
2020-04-15,63.56589
2020-04-16,64.34108
2020-04-17,66.66666
2020-04-18,55.03875
2020-04-19,64.34108
2020-04-20,63.56589
2020-04-21,56.58914
2020-04-22,62.0155
2020-04-23,72.86821
2020-04-24,75.19379
2020-04-25,62.0155
2020-04-26,78.29457
2020-04-27,66.66666
2020-04-28,63.56589
2020-04-29,43.41085
2020-04-30,44.18604
2020-05-01,55.81395
2020-05-02,53.48837
2020-05-03,53.48837
2020-05-04,55.03875
2020-05-05,65.11627
2020-05-06,44.18604
2020-05-07,31.78294
2020-05-08,47.28682
2020-05-09,48.8372
2020-05-10,55.81395
2020-05-11,44.18604
2020-05-12,68.21705
2020-05-13,34.10852
2020-05-14,49.6124
2020-05-15,56.58914
2020-05-16,68.99224
2020-05-17,61.24031
2020-05-18,61.24031
2020-05-19,68.21705
2020-05-20,52.71317
2020-05-21,45.73643
2020-05-22,27.90697
2020-05-23,49.6124
2020-05-24,78.29457
2020-05-25,58.13953
2020-05-26,60.46511
2020-05-27,41.08527
2020-05-28,46.51162
2020-05-29,37.2093
2020-05-30,30.23255
2020-05-31,50.38759
2020-06-01,50.38759
2020-06-02,34.88372
2020-06-03,43.41085
2020-06-04,55.03875
2020-06-05,42.63565
2020-06-06,37.2093
2020-06-07,45.73643
2020-06-08,40.31007
2020-06-09,44.96124
2020-06-10,30.23255
2020-06-11,33.33333
2020-06-12,37.2093
2020-06-13,45.73643
2020-06-14,62.0155
2020-06-15,34.88372
2020-06-16,42.63565
2020-06-17,35.65891
2020-06-18,43.41085
2020-06-19,41.08527
2020-06-20,24.8062
2020-06-21,34.88372
2020-06-22,35.65891
2020-06-23,42.63565
2020-06-24,72.09302
2020-06-25,31.78294
2020-06-26,43.41085
2020-06-27,37.98449
2020-06-28,58.13953
2020-06-29,40.31007
2020-06-30,61.24031
2020-07-01,37.98449
2020-07-02,37.2093
2020-07-03,32.55813
2020-07-04,44.18604
2020-07-05,50.38759
2020-07-06,35.65891
2020-07-07,31.00775
2020-07-08,34.10852
2020-07-09,34.88372
2020-07-10,32.55813
2020-07-11,37.98449
2020-07-12,57.36434
2020-07-13,50.38759
2020-07-14,33.33333
2020-07-15,50.38759
2020-07-16,37.98449
2020-07-17,31.00775
2020-07-18,31.00775
2020-07-19,51.16279
2020-07-20,72.09302
2020-07-21,54.26356
2020-07-22,43.41085
2020-07-23,64.34108
2020-07-24,43.41085
2020-07-25,43.41085
2020-07-26,54.26356
2020-07-27,57.36434
2020-07-28,43.41085
2020-07-29,48.06201
2020-07-30,37.2093
2020-07-31,19.37984
2020-08-01,34.88372
2020-08-02,44.18604
2020-08-03,44.18604
2020-08-04,48.06201
2020-08-05,64.34108
2020-08-06,51.16279
2020-08-07,38.75968
2020-08-08,46.51162
2020-08-09,50.38759
2020-08-10,57.36434
2020-08-11,43.41085
2020-08-12,47.28682
2020-08-13,51.16279
2020-08-14,51.16279
2020-08-15,37.2093
2020-08-16,33.33333
2020-08-17,41.08527
2020-08-18,50.38759
2020-08-19,55.81395
2020-08-20,35.65891
2020-08-21,52.71317
2020-08-22,71.31782
2020-08-23,72.86821
2020-08-24,79.06976
2020-08-25,68.99224
2020-08-26,71.31782
2020-08-27,83.72093
2020-08-28,56.58914
2020-08-29,56.58914
2020-08-30,79.06976
2020-08-31,86.04651
2020-09-01,62.79069
2020-09-02,77.51937
2020-09-03,61.24031
2020-09-04,63.56589
2020-09-05,44.18604
2020-09-06,70.54263
2020-09-07,71.31782
2020-09-08,50.38759
2020-09-09,77.51937
2020-09-10,65.11627
2020-09-11,63.56589
2020-09-12,75.19379
2020-09-13,64.34108
2020-09-14,66.66666
2020-09-15,48.06201
2020-09-16,53.48837
2020-09-17,55.81395
2020-09-18,69.76744
2020-09-19,65.11627
2020-09-20,65.89147
2020-09-21,52.71317
2020-09-22,44.18604
2020-09-23,55.03875
2020-09-24,51.93798
2020-09-25,52.71317
2020-09-26,55.81395
2020-09-27,72.09302
2020-09-28,55.81395
2020-09-29,48.06201
2020-09-30,33.33333
2020-10-01,30.23255
2020-10-02,43.41085
2020-10-03,51.16279
2020-10-04,80.62015
2020-10-05,47.28682
2020-10-06,37.2093
2020-10-07,36.4341
2020-10-08,46.51162
2020-10-09,62.79069
2020-10-10,80.62015
2020-10-11,74.4186
2020-10-12,43.41085
2020-10-13,48.8372
2020-10-14,48.8372
2020-10-15,46.51162
2020-10-16,48.8372
2020-10-17,27.90697
2020-10-18,54.26356
2020-10-19,58.91472
2020-10-20,48.06201
2020-10-21,42.63565
2020-10-22,46.51162
2020-10-23,48.06201
2020-10-24,39.53488
2020-10-25,60.46511
2020-10-26,65.11627
2020-10-27,41.08527
2020-10-28,43.41085
2020-10-29,53.48837
2020-10-30,34.10852
2020-10-31,46.51162
2020-11-01,66.66666
2020-11-02,58.13953
2020-11-03,31.78294
2020-11-04,42.63565
2020-11-05,48.06201
2020-11-06,45.73643
2020-11-07,46.51162
2020-11-08,62.79069
2020-11-09,42.63565
2020-11-10,65.89147
2020-11-11,65.11627
2020-11-12,51.16279
2020-11-13,49.6124
2020-11-14,45.73643
2020-11-15,42.63565
2020-11-16,55.81395
2020-11-17,50.38759
2020-11-18,51.16279
2020-11-19,41.86046
2020-11-20,47.28682
2020-11-21,54.26356
2020-11-22,89.14728
2020-11-23,49.6124
2020-11-24,59.68992
2020-11-25,62.79069
2020-11-26,67.44186
2020-11-27,44.18604
2020-11-28,50.38759
2020-11-29,76.74418
2020-11-30,53.48837
2020-12-01,54.26356
2020-12-02,49.6124
2020-12-03,49.6124
2020-12-04,52.71317
2020-12-05,71.31782
2020-12-06,79.84496
2020-12-07,65.89147
2020-12-08,55.81395
2020-12-09,64.34108
2020-12-10,46.51162
2020-12-11,58.13953
2020-12-12,92.24806
2020-12-13,55.03875
2020-12-14,62.79069
2020-12-15,62.79069
2020-12-16,62.79069
2020-12-17,50.38759
2020-12-18,53.48837
2020-12-19,54.26356
2020-12-20,80.62015
2020-12-21,76.74418
2020-12-22,81.39534
2020-12-23,58.13953
2020-12-24,44.18604
2020-12-25,58.13953
2020-12-26,69.76744
2020-12-27,73.64341
2020-12-28,62.79069
2020-12-29,46.51162
2020-12-30,62.79069
2020-12-31,40.31007
2021-01-01,70.54263
2021-01-02,67.44186
2021-01-03,87.59689
2021-01-04,41.86046
2021-01-05,51.16279
2021-01-06,56.58914
2021-01-07,62.79069
2021-01-08,57.36434
2021-01-09,58.91472
2021-01-10,89.14728
2021-01-11,69.76744
2021-01-12,58.91472
2021-01-13,36.4341
2021-01-14,40.31007
2021-01-15,50.38759
2021-01-16,53.48837
2021-01-17,76.74418
2021-01-18,60.46511
2021-01-19,54.26356
2021-01-20,68.21705
2021-01-21,65.11627
2021-01-22,51.93798
2021-01-23,60.46511
2021-01-24,89.92248
2021-01-25,40.31007
2021-01-26,41.86046
2021-01-27,72.09302
2021-01-28,61.24031
2021-01-29,45.73643
2021-01-30,62.0155
2021-01-31,100.0
2021-02-01,83.72093
2021-02-02,44.18604
2021-02-03,81.39534
2021-02-04,76.74418
2021-02-05,55.03875
2021-02-06,69.76744
2021-02-07,70.54263
2021-02-08,57.36434
2021-02-09,62.79069
2021-02-10,49.6124
2021-02-11,53.48837
2021-02-12,50.38759
2021-02-13,68.21705
2021-02-14,75.96899
2021-02-15,73.64341
2021-02-16,55.03875
2021-02-17,52.71317
2021-02-18,52.71317
2021-02-19,54.26356
2021-02-20,60.46511
2021-02-21,67.44186
2021-02-22,86.8217
2021-02-23,77.51937
2021-02-24,58.91472
2021-02-25,68.99224
2021-02-26,41.08527
2021-02-27,68.21705
2021-02-28,59.68992
2021-03-01,79.06976
2021-03-02,75.96899
2021-03-03,55.03875
2021-03-04,48.8372
2021-03-05,47.28682
2021-03-06,41.08527
2021-03-07,66.66666
2021-03-08,62.79069
2021-03-09,54.26356
2021-03-10,58.91472
2021-03-11,58.91472
2021-03-12,46.51162
2021-03-13,44.96124
2021-03-14,58.91472
2021-03-15,79.84496
2021-03-16,62.79069
2021-03-17,60.46511
2021-03-18,60.46511
2021-03-19,51.93798
2021-03-20,65.11627
2021-03-21,80.62015
2021-03-22,80.62015
2021-03-23,64.34108
2021-03-24,60.46511
2021-03-25,51.16279
2021-03-26,62.79069
2021-03-27,69.76744
2021-03-28,85.27131
2021-03-29,67.44186
2021-03-30,47.28682
2021-03-31,55.03875
2021-04-01,37.98449
2021-04-02,51.93798
2021-04-03,53.48837
2021-04-04,68.21705
2021-04-05,59.68992
2021-04-06,48.06201
2021-04-07,58.13953
2021-04-08,63.56589
2021-04-09,40.31007
2021-04-10,53.48837
2021-04-11,61.24031
2021-04-12,43.41085
2021-04-13,55.81395
2021-04-14,52.71317
2021-04-15,48.8372
2021-04-16,37.2093
2021-04-17,34.88372
2021-04-18,35.65891
2021-04-19,59.68992
2021-04-20,44.96124
2021-04-21,63.56589
2021-04-22,53.48837
2021-04-23,32.55813
2021-04-24,57.36434
2021-04-25,61.24031
2021-04-26,41.08527
2021-04-27,42.63565
2021-04-28,56.58914
2021-04-29,43.41085
2021-04-30,37.98449
2021-05-01,56.58914
2021-05-02,39.53488
2021-05-03,49.6124
2021-05-04,43.41085
2021-05-05,41.08527
2021-05-06,33.33333
2021-05-07,48.8372
2021-05-08,43.41085
2021-05-09,46.51162
2021-05-10,50.38759
2021-05-11,29.45736
2021-05-12,43.41085
2021-05-13,51.16279
2021-05-14,31.78294
2021-05-15,37.98449
2021-05-16,58.13953
2021-05-17,50.38759
2021-05-18,38.75968
2021-05-19,51.16279
2021-05-20,45.73643
2021-05-21,41.08527
2021-05-22,47.28682
2021-05-23,36.4341
2021-05-24,53.48837
2021-05-25,63.56589
2021-05-26,56.58914
2021-05-27,51.16279
2021-05-28,52.71317
2021-05-29,41.08527
2021-05-30,44.96124
2021-05-31,51.93798
2021-06-01,48.8372
2021-06-02,62.79069
2021-06-03,44.96124
2021-06-04,19.37984
2021-06-05,40.31007
2021-06-06,45.73643
2021-06-07,33.33333
2021-06-08,35.65891
2021-06-09,44.96124
2021-06-10,34.10852
2021-06-11,22.48062
2021-06-12,58.91472
2021-06-13,54.26356
2021-06-14,45.73643
2021-06-15,38.75968
2021-06-16,28.68217
2021-06-17,55.81395
2021-06-18,41.08527
2021-06-19,20.93023
2021-06-20,52.71317
2021-06-21,56.58914
2021-06-22,40.31007
2021-06-23,39.53488
2021-06-24,39.53488
2021-06-25,32.55813
2021-06-26,38.75968
2021-06-27,57.36434
2021-06-28,41.86046
2021-06-29,21.70542
2021-06-30,42.63565
2021-07-01,48.06201
2021-07-02,30.23255
2021-07-03,42.63565
2021-07-04,51.93798
2021-07-05,40.31007
