date,다원시스주가
2020-03-20,14.15166
2020-03-21,1.30749
2020-03-22,0.6922
2020-03-23,11.81356
2020-03-24,12.82879
2020-03-25,12.32118
2020-03-26,12.42885
2020-03-27,12.45962
2020-03-28,1.26134
2020-03-29,0.98446
2020-03-30,10.96754
2020-03-31,12.55191
2020-04-01,12.79803
2020-04-02,12.30579
2020-04-03,9.81387
2020-04-04,2.36886
2020-04-05,2.26119
2020-04-06,12.10582
2020-04-07,11.89047
2020-04-08,11.38286
2020-04-09,13.93631
2020-04-10,15.936
2020-04-11,1.46131
2020-04-12,0.99984
2020-04-13,10.29072
2020-04-14,10.19843
2020-04-15,1.35363
2020-04-16,11.36748
2020-04-17,11.29057
2020-04-18,1.23057
2020-04-19,1.36902
2020-04-20,17.16658
2020-04-21,17.1512
2020-04-22,13.67481
2020-04-23,13.4287
2020-04-24,12.49038
2020-04-25,1.18443
2020-04-26,0.90755
2020-04-27,11.70589
2020-04-28,10.69066
2020-04-29,11.38286
2020-04-30,1.83048
2020-05-01,1.89201
2020-05-02,0.79987
2020-05-03,0.99984
2020-05-04,9.42931
2020-05-05,1.66128
2020-05-06,13.96708
2020-05-07,18.45869
2020-05-08,23.53484
2020-05-09,4.13782
2020-05-10,2.55345
2020-05-11,15.58221
2020-05-12,13.1672
2020-05-13,13.87478
2020-05-14,12.2135
2020-05-15,11.2598
2020-05-16,1.86125
2020-05-17,1.23057
2020-05-18,12.72111
2020-05-19,12.59806
2020-05-20,12.33656
2020-05-21,11.87509
2020-05-22,10.61375
2020-05-23,1.03061
2020-05-24,0.98446
2020-05-25,12.89032
2020-05-26,12.18274
2020-05-27,11.7828
2020-05-28,10.95216
2020-05-29,10.52145
2020-05-30,1.07675
2020-05-31,0.6922
2020-06-01,13.25949
2020-06-02,13.01338
2020-06-03,13.24411
2020-06-04,13.6902
2020-06-05,16.22827
2020-06-06,1.73819
2020-06-07,2.26119
2020-06-08,14.02861
2020-06-09,13.49023
2020-06-10,12.18274
2020-06-11,13.30564
2020-06-12,11.92124
2020-06-13,1.58437
2020-06-14,1.19981
2020-06-15,12.95185
2020-06-16,14.79772
2020-06-17,11.41362
2020-06-18,10.07537
2020-06-19,10.02922
