date,한신기계주가
2021-01-25,0.12147
2021-01-26,0.17148
2021-01-27,0.11432
2021-01-28,0.13933
2021-01-29,0.17506
2021-02-01,0.12504
2021-02-02,0.07859
2021-02-03,0.16791
2021-02-04,0.12504
2021-02-05,0.06788
2021-02-08,0.10003
2021-02-09,0.17863
2021-02-10,0.47516
2021-02-11,0.04287
2021-02-12,0.03929
2021-02-13,0.01786
2021-02-14,0.03215
2021-02-15,0.18935
2021-02-16,0.29653
2021-02-17,0.32868
2021-02-18,0.28224
2021-02-19,0.52876
2021-02-22,0.46087
2021-02-23,0.35012
2021-02-24,0.31797
2021-02-25,0.28581
2021-02-26,0.19292
2021-02-28,0.03215
2021-03-01,0.01786
2021-03-02,0.18578
2021-03-03,0.17506
2021-03-04,0.11075
2021-03-05,0.12861
2021-03-06,0.02143
2021-03-08,0.15005
2021-03-09,0.11789
2021-03-10,0.13219
2021-03-11,0.1429
2021-03-12,0.1429
2021-03-15,0.11432
2021-03-16,0.19649
2021-03-17,0.23937
2021-03-18,0.13219
2021-03-19,0.11075
2021-03-21,0.03572
2021-03-22,0.12504
2021-03-23,0.10718
2021-03-24,0.06073
2021-03-25,0.08931
2021-03-26,0.10718
2021-03-29,0.11075
2021-03-30,1.18613
2021-03-31,0.6145
2021-04-01,0.50375
2021-04-02,0.67166
2021-04-03,0.08574
2021-04-04,0.1036
2021-04-05,0.77884
2021-04-06,0.49303
2021-04-07,0.28581
2021-04-08,0.37156
2021-04-09,0.34655
2021-04-10,0.0643
2021-04-11,0.03215
2021-04-12,0.33583
2021-04-13,0.3787
2021-04-14,0.30367
2021-04-15,0.30725
2021-04-16,0.3001
2021-04-17,0.0643
2021-04-18,0.07859
2021-04-19,0.34297
2021-04-20,0.33583
2021-04-21,0.38585
2021-04-22,1.29689
2021-04-23,1.80064
2021-04-24,0.28224
2021-04-25,0.22865
2021-04-26,0.95391
2021-04-27,0.62165
2021-04-28,0.65737
2021-04-29,0.56806
2021-04-30,0.52161
2021-05-01,0.12147
2021-05-02,0.06788
2021-05-03,0.52161
2021-05-04,0.58592
2021-05-05,0.15005
2021-05-06,0.57877
2021-05-07,0.55019
2021-05-08,0.06788
2021-05-09,0.05359
2021-05-10,0.47159
2021-05-11,0.48231
2021-05-12,0.37513
2021-05-13,0.48231
2021-05-14,0.26438
2021-05-15,0.02143
2021-05-16,0.02858
2021-05-17,0.36798
2021-05-18,0.2608
2021-05-19,0.03929
2021-05-20,0.17863
2021-05-21,0.18935
2021-05-24,0.25366
2021-05-25,0.24294
2021-05-26,0.23579
2021-05-27,1.45766
2021-05-28,2.11504
2021-05-29,0.40014
2021-05-30,0.4573
2021-05-31,1.73633
2021-06-01,2.50089
2021-06-02,2.14362
2021-06-03,2.87602
2021-06-04,3.1011
2021-06-05,0.50732
2021-06-06,0.55376
2021-06-07,5.46981
2021-06-08,3.34047
2021-06-09,2.19721
2021-06-10,1.52554
2021-06-11,1.60057
2021-06-12,0.25366
2021-06-13,0.34297
2021-06-14,2.04715
2021-06-15,1.58628
2021-06-16,2.7617
2021-06-17,2.12218
2021-06-18,1.48267
2021-06-19,0.22508
2021-06-20,0.18935
2021-06-21,1.31475
2021-06-22,1.23615
2021-06-23,1.07181
2021-06-24,1.15041
2021-06-25,1.2826
2021-06-26,0.08574
2021-06-27,0.03929
2021-06-28,0.84315
2021-06-29,1.48267
2021-06-30,1.17541
2021-07-01,0.96463
2021-07-02,1.12182
2021-07-03,0.20721
2021-07-04,0.20007
2021-07-05,1.43622
2021-07-06,3.44051
2021-07-07,2.6438
2021-07-08,1.94712
2021-07-09,1.45766
2021-07-10,0.45373
2021-07-11,0.25366
2021-07-12,1.60414
2021-07-13,4.21221
2021-07-14,4.06573
2021-07-15,14.64808
2021-07-16,16.36298
2021-07-17,2.83315
2021-07-18,3.99785
2021-07-19,11.87566
2021-07-20,18.04215
2021-07-21,10.76098
2021-07-22,12.408
2021-07-23,13.69417
2021-07-24,1.85066
2021-07-25,1.38263
2021-07-26,9.04608
2021-07-27,6.20936
2021-07-28,5.2876
2021-07-29,5.04108
2021-07-30,4.87316
2021-07-31,0.57877
2021-08-01,0.50375
2021-08-02,4.34083
2021-08-03,4.88388
2021-08-04,8.66738
2021-08-05,20.25366
2021-08-06,9.22472
2021-08-07,0.96105
2021-08-08,0.86102
2021-08-09,6.3344
2021-08-10,4.25509
2021-08-11,3.9657
2021-08-12,4.23008
2021-08-13,3.62272
2021-08-14,0.39299
2021-08-15,0.29296
2021-08-16,0.60021
2021-08-17,2.81886
2021-08-18,2.83672
2021-08-19,2.51518
2021-08-20,2.44372
2021-08-21,0.32154
2021-08-22,0.23579
2021-08-23,2.56162
2021-08-24,2.51161
2021-08-25,2.08645
2021-08-26,1.94712
2021-08-27,1.80064
2021-08-28,0.20007
2021-08-29,0.15719
2021-08-30,1.60771
2021-08-31,1.4255
2021-09-01,1.9364
2021-09-02,3.69774
2021-09-03,3.51911
2021-09-04,0.24294
2021-09-05,0.26438
2021-09-06,2.7224
2021-09-07,3.31904
2021-09-08,2.52947
2021-09-09,2.63308
2021-09-10,2.14719
2021-09-11,0.28581
2021-09-12,0.20364
2021-09-13,2.35798
2021-09-14,4.10146
2021-09-15,4.85173
2021-09-16,4.3444
2021-09-17,3.74776
2021-09-18,0.35369
2021-09-19,0.2608
2021-09-20,0.1822
2021-09-21,0.1429
2021-09-22,0.20721
2021-09-23,2.41872
2021-09-24,2.3294
2021-09-25,0.20364
2021-09-26,0.20364
2021-09-27,2.26866
2021-09-28,3.0225
2021-09-29,2.74026
2021-09-30,2.39013
2021-10-01,2.35798
