date,임금체불
2020-03-20,47.58324
2020-03-21,21.05263
2020-03-22,20.40816
2020-03-23,56.82062
2020-03-24,45.64983
2020-03-25,47.36842
2020-03-26,43.50161
2020-03-27,39.95703
2020-03-28,16.32653
2020-03-29,18.04511
2020-03-30,42.85714
2020-03-31,53.70569
2020-04-01,54.88721
2020-04-02,35.23093
2020-04-03,38.34586
2020-04-04,15.46723
2020-04-05,18.15252
2020-04-06,41.78302
2020-04-07,48.87218
2020-04-08,51.45005
2020-04-09,47.261
2020-04-10,54.56498
2020-04-11,27.06766
2020-04-12,28.3566
2020-04-13,54.35016
2020-04-14,45.3276
2020-04-15,24.16756
2020-04-16,52.8464
2020-04-17,49.62406
2020-04-18,13.64124
2020-04-19,22.6638
2020-04-20,45.22019
2020-04-21,48.1203
2020-04-22,42.85714
2020-04-23,44.79054
2020-04-24,49.62406
2020-04-25,20.94522
2020-04-26,21.26745
2020-04-27,54.24274
2020-04-28,53.27604
2020-04-29,48.76476
2020-04-30,24.27497
2020-05-01,27.17508
2020-05-02,15.145
2020-05-03,14.71535
2020-05-04,39.41997
2020-05-05,22.01933
2020-05-06,50.69817
2020-05-07,46.61654
2020-05-08,37.91621
2020-05-09,16.64876
2020-05-10,23.20085
2020-05-11,51.23523
2020-05-12,48.76476
2020-05-13,38.56068
2020-05-14,39.31256
2020-05-15,37.48657
2020-05-16,18.79699
2020-05-17,20.62298
2020-05-18,42.64232
2020-05-19,40.49409
2020-05-20,41.5682
2020-05-21,33.51235
2020-05-22,31.1493
2020-05-23,13.42642
2020-05-24,15.68206
2020-05-25,48.76476
2020-05-26,42.96455
2020-05-27,38.45327
2020-05-28,36.30504
2020-05-29,35.23093
2020-05-30,15.89688
2020-05-31,19.44146
2020-06-01,43.17937
2020-06-02,38.99033
2020-06-03,35.66058
2020-06-04,34.58646
2020-06-05,34.47905
2020-06-06,17.07841
2020-06-07,20.51557
2020-06-08,41.13856
2020-06-09,34.80128
2020-06-10,44.57572
2020-06-11,40.38668
2020-06-12,34.37164
2020-06-13,19.01181
2020-06-14,17.40064
2020-06-15,47.90547
2020-06-16,43.60902
2020-06-17,35.76799
2020-06-18,35.44575
2020-06-19,38.02363
2020-06-20,17.9377
2020-06-21,23.6305
2020-06-22,45.54242
2020-06-23,40.49409
2020-06-24,41.89044
2020-06-25,53.38345
2020-06-26,36.09022
2020-06-27,16.1117
2020-06-28,20.40816
2020-06-29,42.10526
2020-06-30,50.16111
2020-07-01,46.07948
2020-07-02,41.67561
2020-07-03,37.16433
2020-07-04,17.9377
2020-07-05,19.8711
2020-07-06,40.38668
2020-07-07,39.52738
2020-07-08,35.12352
2020-07-09,32.22341
2020-07-10,44.03866
2020-07-11,18.68958
2020-07-12,20.08592
2020-07-13,40.81632
2020-07-14,40.27926
2020-07-15,44.57572
2020-07-16,40.92373
2020-07-17,35.01611
2020-07-18,17.61546
2020-07-19,20.62298
2020-07-20,37.16433
2020-07-21,40.27926
2020-07-22,37.16433
2020-07-23,45.00537
2020-07-24,34.80128
2020-07-25,18.58216
2020-07-26,20.19334
2020-07-27,36.51987
2020-07-28,37.8088
2020-07-29,37.48657
2020-07-30,31.25671
2020-07-31,35.76799
2020-08-01,18.25993
2020-08-02,15.68206
2020-08-03,30.82706
2020-08-04,30.50483
