date,부가세
2020-03-20,23.64751
2020-03-21,9.61145
2020-03-22,7.38055
2020-03-23,19.03699
2020-03-24,19.12994
2020-03-25,18.92545
2020-03-26,17.90295
2020-03-27,16.45287
2020-03-28,8.79345
2020-03-29,7.51068
2020-03-30,21.71407
2020-03-31,20.76594
2020-04-01,20.41271
2020-04-02,26.12009
2020-04-03,25.13478
2020-04-04,10.29931
2020-04-05,9.76017
2020-04-06,22.90388
2020-04-07,24.35396
2020-04-08,26.80795
2020-04-09,25.93418
2020-04-10,20.74735
2020-04-11,8.86781
2020-04-12,8.27291
2020-04-13,25.02323
2020-04-14,20.97044
2020-04-15,10.83844
2020-04-16,19.6319
2020-04-17,20.2268
2020-04-18,12.30712
2020-04-19,8.96077
2020-04-20,25.2835
2020-04-21,25.65532
2020-04-22,25.87841
2020-04-23,24.44692
2020-04-24,25.65532
2020-04-25,10.05763
2020-04-26,8.23573
2020-04-27,27.34709
2020-04-28,20.0223
2020-04-29,18.33054
2020-04-30,8.68191
2020-05-01,9.53708
2020-05-02,7.10169
2020-05-03,6.76705
2020-05-04,100.0
2020-05-05,10.93139
2020-05-06,21.19353
2020-05-07,21.00762
2020-05-08,16.91764
2020-05-09,9.63004
2020-05-10,9.53708
2020-05-11,20.24539
2020-05-12,18.98122
2020-05-13,18.6094
2020-05-14,18.73954
2020-05-15,18.6094
2020-05-16,9.38836
2020-05-17,7.38055
2020-05-18,18.2004
2020-05-19,19.26008
2020-05-20,19.78062
2020-05-21,18.53504
2020-05-22,17.06636
2020-05-23,8.53318
2020-05-24,7.77096
2020-05-25,21.75125
2020-05-26,19.39022
2020-05-27,19.91076
2020-05-28,16.89905
2020-05-29,16.11823
2020-05-30,7.71518
2020-05-31,7.71518
2020-06-01,18.99981
2020-06-02,19.92935
2020-06-03,18.0145
2020-06-04,17.08496
2020-06-05,15.31883
2020-06-06,7.41773
2020-06-07,7.0831
2020-06-08,18.51645
2020-06-09,18.25618
2020-06-10,19.03699
2020-06-11,17.45677
2020-06-12,14.18479
2020-06-13,7.86391
2020-06-14,6.93437
2020-06-15,17.38241
2020-06-16,17.28945
2020-06-17,16.50864
2020-06-18,16.34132
2020-06-19,15.63487
2020-06-20,7.54787
2020-06-21,6.80423
2020-06-22,17.75422
2020-06-23,19.53894
2020-06-24,18.64658
2020-06-25,18.88826
2020-06-26,15.28165
2020-06-27,8.10559
2020-06-28,7.04591
2020-06-29,21.60252
2020-06-30,25.65532
2020-07-01,27.81186
2020-07-02,25.52519
2020-07-03,21.69548
2020-07-04,10.33649
2020-07-05,9.57427
2020-07-06,29.78248
2020-07-07,28.14649
2020-07-08,26.17586
2020-07-09,29.70812
2020-07-10,26.04573
2020-07-11,12.08403
2020-07-12,9.57427
2020-07-13,30.09853
2020-07-14,33.68655
2020-07-15,47.59248
2020-07-16,48.33612
2020-07-17,35.88027
2020-07-18,14.81688
2020-07-19,13.7572
2020-07-20,43.27941
2020-07-21,45.54749
2020-07-22,55.2519
2020-07-23,52.70496
2020-07-24,45.80777
2020-07-25,17.27086
2020-07-26,15.67205
2020-07-27,46.62576
2020-07-28,23.83342
2020-07-29,18.86967
2020-07-30,16.54582
2020-07-31,16.67596
2020-08-01,7.41773
2020-08-02,6.86001
2020-08-03,16.75032
2020-08-04,14.9656
2020-08-05,14.98419
2020-08-06,13.99888
2020-08-07,13.57129
2020-08-08,7.36196
2020-08-09,5.57724
2020-08-10,17.21509
2020-08-11,16.73173
2020-08-12,19.2229
2020-08-13,22.43911
2020-08-14,13.66424
2020-08-15,6.63692
2020-08-16,5.46569
2020-08-17,7.73377
2020-08-18,14.18479
2020-08-19,15.41178
2020-08-20,15.03997
2020-08-21,15.02137
2020-08-22,6.04201
2020-08-23,5.55865
2020-08-24,16.00669
2020-08-25,17.43818
2020-08-26,15.50474
2020-08-27,15.69064
2020-08-28,14.11042
2020-08-29,6.59973
2020-08-30,6.33946
2020-08-31,17.45677
2020-09-01,16.65737
2020-09-02,17.6055
2020-09-03,16.32273
2020-09-04,14.11042
2020-09-05,6.59973
2020-09-06,5.91187
2020-09-07,15.85796
2020-09-08,16.88046
2020-09-09,15.3746
2020-09-10,15.80219
2020-09-11,14.92842
2020-09-12,6.78564
2020-09-13,6.61833
2020-09-14,14.70533
2020-09-15,16.97341
2020-09-16,16.49005
2020-09-17,16.3785
2020-09-18,12.99498
2020-09-19,7.10169
2020-09-20,5.61442
2020-09-21,15.28165
2020-09-22,15.65346
2020-09-23,16.65737
2020-09-24,16.73173
2020-09-25,14.57519
2020-09-26,6.8786
2020-09-27,6.72987
2020-09-28,15.95092
2020-09-29,13.94311
2020-09-30,5.35415
2020-10-01,4.18293
2020-10-02,5.14965
2020-10-03,6.0606
2020-10-04,6.86001
2020-10-05,20.24539
2020-10-06,18.25618
2020-10-07,19.0184
2020-10-08,20.13385
2020-10-09,8.83063
2020-10-10,8.14277
2020-10-11,7.49209
2020-10-12,21.86279
2020-10-13,23.35006
2020-10-14,20.6358
2020-10-15,20.0223
2020-10-16,16.35991
2020-10-17,8.01264
2020-10-18,7.21323
2020-10-19,21.91857
2020-10-20,23.01543
2020-10-21,20.98903
2020-10-22,21.08198
2020-10-23,18.90686
2020-10-24,8.40304
2020-10-25,9.59286
2020-10-26,26.88232
2020-10-27,19.46458
2020-10-28,16.7875
2020-10-29,17.45677
2020-10-30,15.48614
2020-10-31,7.62223
2020-11-01,6.58114
2020-11-02,17.90295
2020-11-03,23.14556
2020-11-04,17.23368
2020-11-05,17.06636
2020-11-06,14.05465
2020-11-07,7.75237
2020-11-08,6.33946
2020-11-09,15.48614
2020-11-10,17.25227
2020-11-11,16.30414
2020-11-12,14.53801
2020-11-13,13.5527
2020-11-14,6.41383
2020-11-15,5.59583
2020-11-16,17.77282
2020-11-17,15.70923
2020-11-18,16.22978
2020-11-19,15.09574
2020-11-20,15.03997
2020-11-21,6.82282
2020-11-22,6.35805
2020-11-23,15.89514
2020-11-24,17.45677
2020-11-25,17.30804
2020-11-26,16.86187
2020-11-27,14.77969
2020-11-28,7.00873
2020-11-29,6.30228
2020-11-30,19.11135
2020-12-01,18.66517
2020-12-02,16.65737
2020-12-03,17.71704
2020-12-04,17.02918
2020-12-05,8.16136
2020-12-06,7.51068
2020-12-07,17.10355
2020-12-08,17.41959
2020-12-09,18.73954
2020-12-10,18.51645
2020-12-11,15.9881
2020-12-12,7.99405
2020-12-13,7.39914
2020-12-14,17.401
2020-12-15,19.27867
2020-12-16,19.37163
2020-12-17,19.91076
2020-12-18,15.76501
2020-12-19,8.03123
2020-12-20,7.49209
2020-12-21,16.17401
2020-12-22,18.6094
2020-12-23,19.87358
2020-12-24,15.20728
2020-12-25,6.09778
2020-12-26,7.36196
2020-12-27,7.78955
2020-12-28,22.08588
2020-12-29,29.05744
2020-12-30,22.23461
2020-12-31,17.92154
2021-01-01,8.496
2021-01-02,10.24353
2021-01-03,11.71221
2021-01-04,32.01338
2021-01-05,32.31083
2021-01-06,35.88027
2021-01-07,32.88715
2021-01-08,25.67391
2021-01-09,13.86874
2021-01-10,13.57129
2021-01-11,34.57891
2021-01-12,33.35192
2021-01-13,33.98401
2021-01-14,34.91355
2021-01-15,32.01338
