date,국제유가전망
2020-03-20,66.14629
2020-03-21,58.76449
2020-03-22,52.20785
2020-03-23,86.909
2020-03-24,67.97502
2020-03-25,70.42818
2020-03-26,76.33809
2020-03-27,88.11329
2020-03-28,63.2917
2020-03-29,54.28189
2020-03-30,89.94201
2020-03-31,97.32381
2020-04-01,75.0
2020-04-02,86.61909
2020-04-03,90.29884
2020-04-04,49.15254
2020-04-05,44.31311
2020-04-06,78.45673
2020-04-07,74.21944
2020-04-08,85.54861
2020-04-09,100.0
2020-04-10,66.34701
2020-04-11,32.80553
2020-04-12,32.29259
2020-04-13,39.09455
2020-04-14,29.95093
2020-04-15,29.05887
2020-04-16,43.71097
2020-04-17,48.70651
2020-04-18,37.17662
2020-04-19,33.78679
2020-04-20,53.21141
2020-04-21,65.20963
2020-04-22,73.43889
2020-04-23,46.03033
2020-04-24,32.4933
2020-04-25,22.05619
2020-04-26,22.92595
2020-04-27,45.98572
2020-04-28,37.71186
2020-04-29,25.60214
2020-04-30,16.70383
2020-05-01,16.07939
2020-05-02,14.65209
2020-05-03,16.16859
2020-05-04,25.64674
2020-05-05,17.81891
2020-05-06,32.4487
2020-05-07,22.19
2020-05-08,17.6628
2020-05-09,12.33273
2020-05-10,12.60035
2020-05-11,18.35414
2020-05-12,15.00892
2020-05-13,11.8421
2020-05-14,12.57805
2020-05-15,15.23193
2020-05-16,12.75646
2020-05-17,10.4148
2020-05-18,15.94558
2020-05-19,17.21677
2020-05-20,12.91257
2020-05-21,16.79304
2020-05-22,16.97145
2020-05-23,10.63782
2020-05-24,10.48171
2020-05-25,13.73773
2020-05-26,14.719
2020-05-27,13.11329
2020-05-28,12.95718
2020-05-29,10.05798
2020-05-30,7.93933
2020-05-31,8.00624
2020-06-01,11.19536
2020-06-02,11.21766
2020-06-03,14.16146
2020-06-04,11.909
2020-06-05,11.64139
2020-06-06,10.3702
2020-06-07,10.19179
2020-06-08,13.60392
2020-06-09,14.8082
2020-06-10,13.3809
2020-06-11,13.60392
2020-06-12,14.62979
2020-06-13,10.3702
2020-06-14,9.67885
2020-06-15,10.3702
2020-06-16,8.38537
2020-06-17,7.27029
2020-06-18,6.86886
