date,메타주가
2021-10-29,3.38649
2021-10-30,4.48169
2021-10-31,4.48169
2021-11-01,6.64328
2021-11-02,7.36381
2021-11-03,6.6673
2021-11-04,6.60005
2021-11-05,7.16687
2021-11-06,6.16293
2021-11-07,3.08386
2021-11-08,5.67297
2021-11-09,7.87299
2021-11-10,7.78172
2021-11-11,6.63848
2021-11-12,6.20616
2021-11-13,5.67777
2021-11-14,3.39609
2021-11-15,5.24546
2021-11-16,8.41099
2021-11-17,8.95378
2021-11-18,8.30531
2021-11-19,7.7481
2021-11-20,5.79786
2021-11-21,3.28561
2021-11-22,4.96205
2021-11-23,8.43981
2021-11-24,7.43587
2021-11-25,6.24459
2021-11-26,4.57296
2021-11-27,5.35594
2021-11-28,2.5843
2021-11-29,3.76597
2021-11-30,6.91709
2021-12-01,6.78739
2021-12-02,8.74243
2021-12-03,7.19569
2021-12-04,5.91795
2021-12-05,2.4546
2021-12-06,4.37121
2021-12-07,7.87779
2021-12-08,7.68565
2021-12-09,7.14285
2021-12-10,6.76337
2021-12-11,5.74983
2021-12-12,2.35853
2021-12-13,3.88125
2021-12-14,6.90748
2021-12-15,6.04765
2021-12-16,7.41185
2021-12-17,6.22538
2021-12-18,4.87558
2021-12-19,1.97905
2021-12-20,2.95417
2021-12-21,6.21097
2021-12-22,5.67777
2021-12-23,5.51926
2021-12-24,5.10135
2021-12-25,2.34412
2021-12-26,1.82534
2021-12-27,3.25679
2021-12-28,6.59525
2021-12-29,6.47036
2021-12-30,5.36554
2021-12-31,4.36641
2022-01-01,3.17513
2022-01-02,2.19521
2022-01-03,3.52099
2022-01-04,6.90268
2022-01-05,7.09482
2022-01-06,6.6673
2022-01-07,6.54721
2022-01-08,4.54894
2022-01-09,2.1856
2022-01-10,2.83888
2022-01-11,6.19175
2022-01-12,5.61533
2022-01-13,4.9044
2022-01-14,4.91401
2022-01-15,3.46815
2022-01-16,1.83975
2022-01-17,2.11355
2022-01-18,3.30963
2022-01-19,5.20222
2022-01-20,4.9044
2022-01-21,5.5769
2022-01-22,5.0293
2022-01-23,1.95503
2022-01-24,3.22317
2022-01-25,7.08521
2022-01-26,6.11009
2022-01-27,6.36468
2022-01-28,6.19175
2022-01-29,4.79873
2022-01-30,2.01268
2022-01-31,2.25285
2022-02-01,5.62493
2022-02-02,7.0708
2022-02-03,100.0
2022-02-04,96.08992
2022-02-05,34.98414
2022-02-06,11.43721
2022-02-07,14.63156
2022-02-08,31.69372
2022-02-09,28.07666
2022-02-10,22.29801
2022-02-11,16.01979
2022-02-12,12.94072
2022-02-13,7.0708
2022-02-14,8.99702
2022-02-15,13.49793
2022-02-16,14.65558
2022-02-17,14.39139
2022-02-18,13.50273
2022-02-19,9.60226
2022-02-20,4.75069
2022-02-21,6.47036
2022-02-22,9.26601
2022-02-23,12.70054
2022-02-24,15.41454
2022-02-25,12.48438
2022-02-26,8.435
2022-02-27,4.09741
2022-02-28,4.88039
2022-03-01,7.97386
2022-03-02,9.19396
2022-03-03,8.5599
2022-03-04,8.19002
2022-03-05,5.59611
2022-03-06,2.75722
2022-03-07,3.74195
2022-03-08,9.20837
2022-03-09,5.96599
2022-03-10,7.21491
2022-03-11,6.87866
2022-03-12,6.45114
2022-03-13,2.95417
2022-03-14,4.97165
2022-03-15,7.62801
2022-03-16,7.52713
2022-03-17,9.72235
2022-03-18,8.0171
