date,연금펀드
2020-03-20,34.65277
2020-03-21,21.52777
2020-03-22,22.01388
2020-03-23,23.40277
2020-03-24,25.20833
2020-03-25,26.11111
2020-03-26,27.84722
2020-03-27,22.98611
2020-03-28,16.94444
2020-03-29,20.83333
2020-03-30,24.86111
2020-03-31,63.47222
2020-04-01,28.54166
2020-04-02,25.06944
2020-04-03,24.65277
2020-04-04,18.40277
2020-04-05,22.29166
2020-04-06,25.76388
2020-04-07,23.05555
2020-04-08,23.75
2020-04-09,19.58333
2020-04-10,22.22222
2020-04-11,15.76388
2020-04-12,19.375
2020-04-13,21.875
2020-04-14,20.27777
2020-04-15,18.05555
2020-04-16,18.47222
2020-04-17,19.79166
2020-04-18,15.69444
2020-04-19,18.75
2020-04-20,21.45833
2020-04-21,18.61111
2020-04-22,22.91666
2020-04-23,21.66666
2020-04-24,17.70833
2020-04-25,13.81944
2020-04-26,14.375
2020-04-27,15.76388
2020-04-28,17.70833
2020-04-29,36.73611
2020-04-30,13.26388
2020-05-01,10.90277
2020-05-02,11.25
2020-05-03,13.88888
2020-05-04,18.125
2020-05-05,14.86111
2020-05-06,17.08333
2020-05-07,16.59722
2020-05-08,16.31944
2020-05-09,13.19444
2020-05-10,14.58333
2020-05-11,16.45833
2020-05-12,20.625
2020-05-13,18.26388
2020-05-14,16.11111
2020-05-15,14.58333
2020-05-16,12.29166
2020-05-17,13.33333
2020-05-18,16.94444
2020-05-19,21.11111
2020-05-20,17.29166
2020-05-21,19.09722
2020-05-22,16.59722
2020-05-23,10.06944
2020-05-24,12.43055
2020-05-25,26.73611
2020-05-26,19.86111
2020-05-27,19.30555
2020-05-28,15.48611
2020-05-29,14.02777
2020-05-30,11.52777
2020-05-31,12.5
2020-06-01,18.125
2020-06-02,19.86111
2020-06-03,21.38888
2020-06-04,21.11111
2020-06-05,19.375
2020-06-06,13.40277
2020-06-07,13.61111
2020-06-08,18.40277
2020-06-09,19.86111
2020-06-10,19.02777
2020-06-11,20.20833
2020-06-12,16.04166
2020-06-13,12.56944
2020-06-14,13.47222
2020-06-15,15.83333
2020-06-16,19.30555
2020-06-17,15.20833
2020-06-18,16.11111
2020-06-19,13.40277
2020-06-20,10.55555
2020-06-21,10.76388
2020-06-22,17.29166
2020-06-23,18.05555
2020-06-24,17.08333
2020-06-25,16.38888
2020-06-26,16.875
2020-06-27,9.93055
2020-06-28,9.375
2020-06-29,16.59722
2020-06-30,15.76388
2020-07-01,15.20833
2020-07-02,15.41666
2020-07-03,11.875
2020-07-04,10.0
2020-07-05,16.94444
2020-07-06,22.5
2020-07-07,20.76388
2020-07-08,17.84722
2020-07-09,20.625
2020-07-10,16.25
2020-07-11,12.36111
2020-07-12,16.80555
2020-07-13,21.31944
2020-07-14,19.30555
2020-07-15,18.54166
2020-07-16,17.43055
2020-07-17,16.04166
2020-07-18,11.66666
2020-07-19,13.19444
2020-07-20,19.375
2020-07-21,19.375
2020-07-22,17.84722
2020-07-23,20.625
2020-07-24,13.81944
2020-07-25,12.36111
2020-07-26,15.69444
2020-07-27,22.5
2020-07-28,22.08333
2020-07-29,19.86111
2020-07-30,20.27777
2020-07-31,16.59722
2020-08-01,13.88888
2020-08-02,11.80555
2020-08-03,19.93055
2020-08-04,19.58333
2020-08-05,19.86111
2020-08-06,23.125
2020-08-07,19.375
2020-08-08,13.68055
2020-08-09,17.01388
2020-08-10,24.02777
2020-08-11,26.80555
2020-08-12,19.58333
2020-08-13,17.91666
2020-08-14,16.94444
2020-08-15,12.15277
2020-08-16,10.48611
2020-08-17,15.83333
2020-08-18,19.51388
2020-08-19,21.11111
2020-08-20,20.13888
2020-08-21,25.27777
2020-08-22,14.16666
2020-08-23,13.47222
2020-08-24,19.02777
2020-08-25,23.88888
2020-08-26,24.23611
2020-08-27,21.875
2020-08-28,20.97222
2020-08-29,15.48611
2020-08-30,18.40277
2020-08-31,23.54166
2020-09-01,25.55555
2020-09-02,24.65277
2020-09-03,23.33333
2020-09-04,18.88888
2020-09-05,18.125
2020-09-06,16.73611
2020-09-07,22.91666
2020-09-08,19.23611
2020-09-09,21.59722
2020-09-10,20.97222
2020-09-11,17.5
2020-09-12,13.05555
2020-09-13,12.98611
2020-09-14,20.83333
2020-09-15,17.91666
2020-09-16,23.95833
2020-09-17,23.26388
2020-09-18,18.125
2020-09-19,14.86111
2020-09-20,13.95833
2020-09-21,16.80555
2020-09-22,16.04166
2020-09-23,15.48611
2020-09-24,14.51388
2020-09-25,16.31944
2020-09-26,11.18055
2020-09-27,10.55555
2020-09-28,13.26388
2020-09-29,12.22222
2020-09-30,10.83333
2020-10-01,9.44444
2020-10-02,8.68055
2020-10-03,11.875
2020-10-04,10.27777
2020-10-05,15.90277
2020-10-06,17.29166
2020-10-07,17.56944
2020-10-08,14.65277
2020-10-09,8.61111
2020-10-10,12.5
2020-10-11,13.61111
2020-10-12,18.75
2020-10-13,18.61111
2020-10-14,20.13888
2020-10-15,19.51388
2020-10-16,18.40277
2020-10-17,12.22222
2020-10-18,11.45833
2020-10-19,20.20833
2020-10-20,20.0
2020-10-21,19.44444
2020-10-22,16.25
2020-10-23,14.72222
2020-10-24,11.31944
2020-10-25,11.875
2020-10-26,16.18055
2020-10-27,14.65277
2020-10-28,17.29166
2020-10-29,16.94444
2020-10-30,15.27777
2020-10-31,9.16666
2020-11-01,13.33333
2020-11-02,14.72222
2020-11-03,16.25
2020-11-04,15.76388
2020-11-05,15.34722
2020-11-06,15.97222
2020-11-07,12.15277
2020-11-08,13.26388
2020-11-09,17.91666
2020-11-10,19.375
2020-11-11,19.65277
2020-11-12,16.59722
2020-11-13,17.43055
2020-11-14,11.11111
2020-11-15,14.86111
2020-11-16,17.15277
2020-11-17,21.52777
2020-11-18,22.91666
2020-11-19,17.43055
2020-11-20,17.77777
