date,포스코주가
2020-03-20,46.59498
2020-03-21,7.29482
2020-03-22,5.2247
2020-03-23,43.49094
2020-03-24,43.059
2020-03-25,46.22736
2020-03-26,46.84541
2020-03-27,42.34675
2020-03-28,6.30686
2020-03-29,4.44122
2020-03-30,36.63725
2020-03-31,34.01571
2020-04-01,35.15072
2020-04-02,35.39656
2020-04-03,30.29363
2020-04-04,5.1236
2020-04-05,3.51989
2020-04-06,31.69975
2020-04-07,34.04328
2020-04-08,33.02775
2020-04-09,32.9795
2020-04-10,51.90929
2020-04-11,10.56198
2020-04-12,7.83705
2020-04-13,54.19079
2020-04-14,43.61271
2020-04-15,7.01681
2020-04-16,38.26164
2020-04-17,40.8717
2020-04-18,5.891
2020-04-19,5.34417
2020-04-20,36.62117
2020-04-21,37.06231
2020-04-22,37.98823
2020-04-23,37.2622
2020-04-24,33.88245
2020-04-25,5.80369
2020-04-26,4.74221
2020-04-27,34.25006
2020-04-28,35.58726
2020-04-29,38.84063
2020-04-30,6.02196
2020-05-01,6.60095
2020-05-02,3.09943
2020-05-03,3.91048
2020-05-04,32.25117
2020-05-05,4.68017
2020-05-06,30.89559
2020-05-07,27.849
2020-05-08,25.80645
2020-05-09,3.57733
2020-05-10,2.87427
2020-05-11,26.93916
2020-05-12,28.25567
2020-05-13,29.00009
2020-05-14,27.92022
2020-05-15,27.21486
2020-05-16,3.19364
2020-05-17,2.61235
2020-05-18,25.69846
2020-05-19,33.71013
2020-05-20,29.82492
2020-05-21,29.23214
2020-05-22,26.95754
2020-05-23,3.19823
2020-05-24,2.61235
2020-05-25,25.98336
2020-05-26,29.05063
2020-05-27,33.53781
2020-05-28,35.63321
2020-05-29,29.30567
2020-05-30,3.25107
2020-05-31,2.49517
2020-06-01,28.8944
2020-06-02,33.74919
2020-06-03,50.67778
2020-06-04,45.31063
2020-06-05,36.82336
2020-06-06,4.53313
2020-06-07,3.43718
2020-06-08,36.41668
2020-06-09,37.55858
2020-06-10,31.56878
2020-06-11,31.67907
2020-06-12,31.32984
2020-06-13,5.15347
2020-06-14,3.16606
2020-06-15,33.27129
2020-06-16,35.18748
2020-06-17,32.27414
2020-06-18,27.68357
2020-06-19,25.56061
2020-06-20,2.96847
2020-06-21,2.18959
2020-06-22,25.24354
2020-06-23,24.68063
2020-06-24,25.68238
2020-06-25,23.70646
2020-06-26,22.75296
2020-06-27,2.76628
2020-06-28,1.95754
2020-06-29,23.04935
2020-06-30,24.29234
2020-07-01,26.85874
2020-07-02,24.43249
2020-07-03,23.34574
2020-07-04,2.54112
2020-07-05,1.98281
2020-07-06,24.48074
2020-07-07,25.96498
2020-07-08,28.97711
2020-07-09,26.40382
2020-07-10,23.04705
2020-07-11,2.68127
2020-07-12,2.25852
2020-07-13,25.82253
2020-07-14,22.67944
2020-07-15,26.78062
2020-07-16,22.67714
2020-07-17,22.19235
2020-07-18,2.44692
