date,의정부맛집
2020-03-20,49.1153
2020-03-21,61.51577
2020-03-22,60.80802
2020-03-23,40.96136
2020-03-24,39.51636
2020-03-25,40.99085
2020-03-26,42.14096
2020-03-27,47.61132
2020-03-28,54.335
2020-03-29,54.89531
2020-03-30,38.08611
2020-03-31,30.47773
2020-04-01,26.96844
2020-04-02,25.78885
2020-04-03,27.91212
2020-04-04,40.99085
2020-04-05,41.27101
2020-04-06,25.43497
2020-04-07,28.31023
2020-04-08,28.42819
2020-04-09,29.9764
2020-04-10,35.59421
2020-04-11,50.61928
2020-04-12,53.0227
2020-04-13,34.84222
2020-04-14,41.84606
2020-04-15,49.52816
2020-04-16,36.28723
2020-04-17,42.40636
2020-04-18,60.48363
2020-04-19,56.67944
2020-04-20,38.07136
2020-04-21,39.75228
2020-04-22,41.69861
2020-04-23,42.00825
2020-04-24,47.36066
2020-04-25,63.55057
2020-04-26,68.07726
2020-04-27,42.34739
2020-04-28,50.48658
2020-04-29,52.31495
2020-04-30,73.88675
2020-05-01,67.6644
2020-05-02,78.32497
2020-05-03,78.42819
2020-05-04,65.6296
2020-05-05,86.00707
2020-05-06,43.99882
2020-05-07,50.22117
2020-05-08,66.45532
2020-05-09,73.3117
2020-05-10,67.20731
2020-05-11,39.41315
2020-05-12,40.69595
2020-05-13,39.28044
2020-05-14,38.5432
2020-05-15,46.6529
2020-05-16,67.28103
2020-05-17,66.01297
2020-05-18,38.6759
2020-05-19,42.98142
2020-05-20,40.56325
2020-05-21,41.94927
2020-05-22,49.38071
2020-05-23,66.79445
2020-05-24,62.03184
2020-05-25,35.90386
2020-05-26,35.47626
2020-05-27,37.11294
2020-05-28,34.45886
2020-05-29,39.59009
2020-05-30,59.87909
2020-05-31,56.13388
2020-06-01,33.58891
2020-06-02,33.13181
2020-06-03,35.24034
2020-06-04,36.84753
2020-06-05,43.77764
2020-06-06,65.52639
2020-06-07,61.23562
2020-06-08,35.00442
2020-06-09,36.46416
2020-06-10,37.00973
2020-06-11,40.13565
2020-06-12,47.71453
2020-06-13,68.99144
2020-06-14,66.18991
2020-06-15,39.72279
2020-06-16,40.04718
2020-06-17,40.25361
2020-06-18,39.20672
2020-06-19,49.76408
2020-06-20,69.1094
2020-06-21,67.42848
2020-06-22,37.8207
2020-06-23,40.29784
2020-06-24,36.36095
2020-06-25,34.84222
2020-06-26,42.46534
2020-06-27,62.75434
2020-06-28,64.80389
2020-06-29,36.87702
2020-06-30,37.49631
2020-07-01,36.06605
2020-07-02,36.89177
2020-07-03,39.02978
2020-07-04,55.30816
2020-07-05,55.13122
2020-07-06,36.27248
2020-07-07,38.10085
2020-07-08,40.78442
2020-07-09,39.28044
2020-07-10,45.01621
2020-07-11,67.14833
2020-07-12,66.91241
2020-07-13,39.00029
2020-07-14,39.54585
2020-07-15,37.30462
2020-07-16,38.58743
2020-07-17,50.41285
2020-07-18,74.1964
2020-07-19,61.61899
2020-07-20,44.20524
2020-07-21,42.68652
2020-07-22,41.09407
2020-07-23,41.74284
2020-07-24,49.42494
2020-07-25,68.20996
2020-07-26,68.66705
2020-07-27,40.78442
2020-07-28,41.74284
2020-07-29,41.09407
2020-07-30,45.39958
2020-07-31,51.04688
2020-08-01,63.90445
2020-08-02,56.70893
2020-08-03,42.50958
2020-08-04,47.81775
2020-08-05,45.67974
2020-08-06,45.2079
2020-08-07,51.75464
2020-08-08,69.03568
2020-08-09,52.3002
2020-08-10,40.81391
2020-08-11,45.67974
2020-08-12,47.2427
2020-08-13,48.55499
2020-08-14,54.4677
2020-08-15,67.50221
2020-08-16,75.95104
2020-08-17,60.5721
2020-08-18,38.04187
2020-08-19,38.07136
2020-08-20,34.046
2020-08-21,34.37039
2020-08-22,42.76024
2020-08-23,41.84606
2020-08-24,28.79681
2020-08-25,30.34503
2020-08-26,27.42553
2020-08-27,29.15069
2020-08-28,30.16809
2020-08-29,34.4736
2020-08-30,33.24977
2020-08-31,21.32114
2020-09-01,22.83987
2020-09-02,21.23267
2020-09-03,25.39074
2020-09-04,25.65614
2020-09-05,38.69065
2020-09-06,37.54054
2020-09-07,25.42023
2020-09-08,26.43762
2020-09-09,25.90681
2020-09-10,26.86523
2020-09-11,32.05544
2020-09-12,41.97876
2020-09-13,51.13535
2020-09-14,31.99646
2020-09-15,30.92008
2020-09-16,31.25921
2020-09-17,38.36626
2020-09-18,44.45591
2020-09-19,62.40047
2020-09-20,58.77322
2020-09-21,38.58743
2020-09-22,32.65998
2020-09-23,33.24977
2020-09-24,33.3235
2020-09-25,38.04187
2020-09-26,57.03332
2020-09-27,55.29342
