date,엘앤에프주가
2020-03-20,1.77645
2020-03-21,0.30005
2020-03-22,0.30687
2020-03-23,1.71849
2020-03-24,1.56505
2020-03-25,1.79009
2020-03-26,1.63325
2020-03-27,1.24113
2020-03-28,0.12274
2020-03-29,0.13638
2020-03-30,1.32978
2020-03-31,1.07405
2020-04-01,1.11497
2020-04-02,1.02291
2020-04-03,1.13543
2020-04-04,0.09206
2020-04-05,0.09547
2020-04-06,0.96835
2020-04-07,1.10133
2020-04-08,1.15589
2020-04-09,1.08769
2020-04-10,1.13884
2020-04-11,0.16366
2020-04-12,0.13297
2020-04-13,0.83537
2020-04-14,1.11156
2020-04-15,0.26254
2020-04-16,1.50368
2020-04-17,1.76282
2020-04-18,0.26254
2020-04-19,0.20799
2020-04-20,1.55482
2020-04-21,1.00586
2020-04-22,0.93426
2020-04-23,0.89334
2020-04-24,0.93767
2020-04-25,0.16707
2020-04-26,0.06819
2020-04-27,0.93767
2020-04-28,0.774
2020-04-29,0.77059
2020-04-30,0.12274
2020-05-01,0.1057
2020-05-02,0.04091
2020-05-03,0.09206
2020-05-04,0.64443
2020-05-05,0.08865
2020-05-06,0.60351
2020-05-07,0.66489
2020-05-08,0.5626
2020-05-09,0.10229
2020-05-10,0.07842
2020-05-11,0.63761
2020-05-12,0.61715
2020-05-13,0.98881
2020-05-14,1.06723
2020-05-15,0.74331
2020-05-16,0.10911
2020-05-17,0.06478
2020-05-18,0.9138
2020-05-19,0.90698
2020-05-20,1.40821
2020-05-21,2.03218
2020-05-22,1.6537
2020-05-23,0.36142
2020-05-24,0.27277
2020-05-25,2.08674
2020-05-26,2.17198
2020-05-27,1.34342
2020-05-28,1.31955
2020-05-29,1.09792
2020-05-30,0.16025
2020-05-31,0.09888
2020-06-01,1.20021
2020-06-02,1.07405
2020-06-03,1.17635
2020-06-04,1.22408
2020-06-05,0.9854
2020-06-06,0.13638
2020-06-07,0.08865
2020-06-08,0.86265
2020-06-09,1.1252
2020-06-10,1.14907
2020-06-11,1.1968
2020-06-12,1.03314
2020-06-13,0.18412
2020-06-14,0.12615
2020-06-15,1.02973
2020-06-16,1.1593
2020-06-17,1.22749
2020-06-18,1.46958
2020-06-19,2.30837
2020-06-20,0.58306
2020-06-21,0.39893
2020-06-22,1.93671
2020-06-23,2.24358
2020-06-24,2.49249
2020-06-25,4.23827
2020-06-26,3.6518
2020-06-27,0.61033
2020-06-28,0.5626
2020-06-29,3.00054
2020-06-30,2.88802
2020-07-01,3.3006
2020-07-02,3.54609
2020-07-03,4.27236
2020-07-04,0.83196
2020-07-05,0.55919
2020-07-06,3.23922
2020-07-07,5.41462
2020-07-08,5.06342
2020-07-09,3.9689
2020-07-10,3.24263
2020-07-11,0.52168
2020-07-12,0.38529
2020-07-13,3.87684
2020-07-14,3.06873
2020-07-15,3.65861
2020-07-16,3.45403
2020-07-17,2.64252
2020-07-18,0.38188
2020-07-19,0.42621
2020-07-20,2.57433
2020-07-21,2.45499
2020-07-22,2.77891
2020-07-23,2.65957
2020-07-24,2.75845
2020-07-25,0.4569
2020-07-26,0.29664
2020-07-27,2.08333
2020-07-28,3.71317
2020-07-29,3.1983
2020-07-30,2.38338
2020-07-31,3.304
2020-08-01,0.94108
2020-08-02,0.71944
2020-08-03,5.67034
2020-08-04,5.79309
2020-08-05,5.81355
2020-08-06,6.02154
2020-08-07,9.44148
2020-08-08,2.26063
2020-08-09,2.13447
2020-08-10,8.68453
2020-08-11,7.82187
2020-08-12,7.96849
2020-08-13,6.84669
2020-08-14,5.77945
2020-08-15,1.06382
2020-08-16,0.81151
2020-08-17,1.1968
2020-08-18,5.41803
2020-08-19,5.24413
2020-08-20,5.13161
2020-08-21,5.64989
2020-08-22,0.73308
2020-08-23,0.50122
2020-08-24,5.35665
2020-08-25,4.63038
2020-08-26,4.12234
2020-08-27,5.34642
2020-08-28,4.65425
2020-08-29,0.77741
2020-08-30,0.86947
2020-08-31,4.49058
2020-09-01,4.20417
2020-09-02,3.45744
2020-09-03,3.68248
2020-09-04,3.6177
2020-09-05,0.67171
2020-09-06,0.58987
2020-09-07,4.07119
2020-09-08,4.06437
2020-09-09,3.24945
2020-09-10,3.64839
2020-09-11,3.24945
2020-09-12,0.83537
2020-09-13,0.86265
2020-09-14,4.97135
2020-09-15,4.20417
2020-09-16,3.98254
2020-09-17,3.67566
2020-09-18,7.20471
2020-09-19,1.14566
2020-09-20,1.28546
2020-09-21,6.32842
2020-09-22,5.39757
2020-09-23,6.66939
2020-09-24,5.53055
2020-09-25,4.73949
2020-09-26,0.89334
2020-09-27,0.63761
2020-09-28,4.49399
2020-09-29,4.3201
2020-09-30,0.59328
2020-10-01,0.6001
2020-10-02,0.52509
2020-10-03,0.40575
2020-10-04,0.51486
2020-10-05,3.795
2020-10-06,3.44721
2020-10-07,3.39948
2020-10-08,3.18807
2020-10-09,0.8081
2020-10-10,0.42962
2020-10-11,0.48758
2020-10-12,3.19148
2020-10-13,3.35856
2020-10-14,2.70731
2020-10-15,2.92894
2020-10-16,2.68003
2020-10-17,0.27959
2020-10-18,0.30346
2020-10-19,2.71412
2020-10-20,2.77891
2020-10-21,2.85392
2020-10-22,3.07555
2020-10-23,2.4243
2020-10-24,0.35801
2020-10-25,0.50463
2020-10-26,2.69708
2020-10-27,2.92894
2020-10-28,2.64934
2020-10-29,2.57092
2020-10-30,2.50613
2020-10-31,0.3171
2020-11-01,0.29323
2020-11-02,2.13106
2020-11-03,2.8471
2020-11-04,2.70731
2020-11-05,3.94844
2020-11-06,3.25627
2020-11-07,0.50122
2020-11-08,0.4569
2020-11-09,3.88366
2020-11-10,3.03805
2020-11-11,2.85733
2020-11-12,3.03805
2020-11-13,3.14375
