date,신협정기예금금리
2020-03-20,24.01987
2020-03-21,11.85326
2020-03-22,14.84142
2020-03-23,27.09973
2020-03-24,24.37141
2020-03-25,27.70347
2020-03-26,27.7264
2020-03-27,24.82995
2020-03-28,14.658
2020-03-29,13.49636
2020-03-30,27.9786
2020-03-31,28.83454
2020-04-01,30.43179
2020-04-02,26.12915
2020-04-03,23.43905
2020-04-04,13.4658
2020-04-05,14.98662
2020-04-06,27.34428
2020-04-07,23.96637
2020-04-08,24.8376
2020-04-09,23.05693
2020-04-10,22.12457
2020-04-11,13.64921
2020-04-12,15.07833
2020-04-13,25.86167
2020-04-14,21.45968
2020-04-15,15.39166
2020-04-16,25.74703
2020-04-17,22.79709
2020-04-18,12.75506
2020-04-19,14.99426
2020-04-20,27.00802
2020-04-21,23.11043
2020-04-22,23.18685
2020-04-23,22.68246
2020-04-24,21.35269
2020-04-25,12.60221
2020-04-26,13.99312
2020-04-27,26.8246
2020-04-28,22.73595
2020-04-29,22.094
2020-04-30,12.82384
2020-05-01,12.44936
2020-05-02,10.69927
2020-05-03,15.73557
2020-05-04,33.29002
2020-05-05,16.45395
2020-05-06,25.09743
2020-05-07,20.65724
2020-05-08,17.62323
2020-05-09,10.66106
2020-05-10,11.70042
2020-05-11,23.00343
2020-05-12,17.96713
2020-05-13,17.82957
2020-05-14,17.77607
2020-05-15,15.74321
2020-05-16,9.53763
2020-05-17,10.54642
2020-05-18,19.28162
2020-05-19,17.64615
2020-05-20,16.77493
2020-05-21,16.07183
2020-05-22,14.78792
2020-05-23,8.78104
2020-05-24,11.09667
2020-05-25,21.32212
2020-05-26,20.25983
2020-05-27,18.02063
2020-05-28,20.51967
2020-05-29,18.87657
2020-05-30,9.45357
2020-05-31,12.9614
2020-06-01,24.35613
2020-06-02,20.28276
2020-06-03,19.73251
2020-06-04,17.52388
2020-06-05,15.67443
2020-06-06,8.74283
2020-06-07,9.45357
2020-06-08,20.25983
2020-06-09,17.42453
2020-06-10,19.01413
2020-06-11,17.60794
2020-06-12,14.78792
2020-06-13,8.65876
2020-06-14,10.77569
2020-06-15,20.75659
2020-06-16,18.18876
2020-06-17,17.26404
2020-06-18,17.2564
2020-06-19,16.07183
2020-06-20,8.51356
2020-06-21,10.64577
2020-06-22,19.77837
2020-06-23,16.85135
2020-06-24,16.83607
2020-06-25,19.71723
2020-06-26,16.06419
2020-06-27,9.55292
2020-06-28,9.86625
2020-06-29,21.18456
2020-06-30,19.0982
2020-07-01,20.80244
2020-07-02,19.39625
2020-07-03,16.73672
2020-07-04,8.28429
2020-07-05,10.43943
2020-07-06,21.05464
2020-07-07,17.799
2020-07-08,17.41688
2020-07-09,16.16354
2020-07-10,15.4528
2020-07-11,8.29957
2020-07-12,10.89033
2020-07-13,19.58731
2020-07-14,18.01299
2020-07-15,18.41039
2020-07-16,16.69086
2020-07-17,14.01604
2020-07-18,8.00917
2020-07-19,9.423
2020-07-20,20.56553
2020-07-21,21.38326
