date,에쿼티
2020-11-07,12.42236
2020-11-08,14.28571
2020-11-09,42.23602
2020-11-10,32.60869
2020-11-11,42.54658
2020-11-12,40.06211
2020-11-13,35.09316
2020-11-14,10.86956
2020-11-15,15.8385
2020-11-16,38.19875
2020-11-17,38.50931
2020-11-18,41.92546
2020-11-19,44.40993
2020-11-20,42.23602
2020-11-21,23.60248
2020-11-22,13.35403
2020-11-23,35.09316
2020-11-24,33.54037
2020-11-25,35.09316
2020-11-26,27.63975
2020-11-27,36.64596
2020-11-28,18.32298
2020-11-29,15.21739
2020-11-30,39.75155
2020-12-01,38.50931
2020-12-02,36.3354
2020-12-03,39.13043
2020-12-04,32.91925
2020-12-05,17.08074
2020-12-06,15.21739
2020-12-07,37.88819
2020-12-08,36.02484
2020-12-09,63.04347
2020-12-10,54.34782
2020-12-11,34.47204
2020-12-12,21.11801
2020-12-13,20.49689
2020-12-14,61.80124
2020-12-15,41.92546
2020-12-16,43.78881
2020-12-17,50.0
2020-12-18,36.95652
2020-12-19,20.49689
2020-12-20,17.08074
2020-12-21,36.02484
2020-12-22,43.47826
2020-12-23,40.68322
2020-12-24,32.29813
2020-12-25,12.73291
2020-12-26,13.35403
2020-12-27,18.01242
2020-12-28,58.38509
2020-12-29,40.06211
2020-12-30,35.40372
2020-12-31,30.43478
2021-01-01,17.3913
2021-01-02,14.59627
2021-01-03,14.59627
2021-01-04,40.37267
2021-01-05,49.06832
2021-01-06,43.78881
2021-01-07,47.51552
2021-01-08,42.23602
2021-01-09,18.63354
2021-01-10,29.81366
2021-01-11,34.7826
2021-01-12,45.65217
2021-01-13,50.62111
2021-01-14,52.48447
2021-01-15,41.6149
2021-01-16,19.25465
2021-01-17,15.21739
2021-01-18,49.06832
2021-01-19,46.27329
2021-01-20,43.78881
2021-01-21,41.6149
2021-01-22,50.93167
2021-01-23,20.49689
2021-01-24,32.91925
2021-01-25,52.79503
2021-01-26,47.82608
2021-01-27,48.4472
2021-01-28,49.37888
2021-01-29,49.37888
2021-01-30,65.8385
2021-01-31,47.82608
2021-02-01,100.0
2021-02-02,95.65217
2021-02-03,61.18012
2021-02-04,64.28571
2021-02-05,57.14285
2021-02-06,25.77639
2021-02-07,25.15527
2021-02-08,57.76397
2021-02-09,44.40993
2021-02-10,35.09316
2021-02-11,20.49689
2021-02-12,12.1118
2021-02-13,14.90683
2021-02-14,16.45962
2021-02-15,45.96273
2021-02-16,44.40993
2021-02-17,47.20496
2021-02-18,45.65217
2021-02-19,40.68322
2021-02-20,17.70186
