date,청년형소득공제장기펀드
2021-07-14,96.78764
2021-07-15,99.36243
2021-07-16,49.14173
2021-07-17,17.85188
2021-07-18,14.56596
2021-07-19,16.1844
2021-07-20,10.12751
2021-07-21,7.92054
2021-07-22,6.89063
2021-07-23,12.82491
2021-07-24,5.56645
2021-07-25,4.43845
2021-07-26,11.08386
2021-07-27,12.50613
2021-07-28,9.51446
2021-07-29,8.19028
2021-07-30,8.41098
2021-07-31,3.75183
2021-08-01,4.11966
2021-08-02,8.82785
2021-08-03,8.11672
2021-08-04,6.86611
2021-08-05,7.03776
2021-08-06,5.22314
2021-08-07,3.75183
2021-08-08,5.07601
2021-08-09,6.22854
2021-08-10,5.64001
2021-08-11,6.44923
2021-08-12,5.14958
2021-08-13,4.85532
2021-08-14,3.18783
2021-08-15,2.62383
2021-08-16,2.45218
2021-08-17,4.87984
2021-08-18,3.72731
2021-08-19,4.31584
2021-08-20,3.35948
2021-08-21,1.88818
2021-08-22,2.05983
2021-08-23,2.96714
2021-08-24,4.34036
2021-08-25,3.84992
2021-08-26,15.3997
2021-08-27,10.96125
2021-08-28,4.09514
2021-08-29,3.43305
2021-08-30,5.86071
2021-08-31,4.31584
2021-09-01,4.68366
2021-09-02,3.99705
2021-09-03,2.6974
2021-09-04,1.66748
2021-09-05,2.35409
2021-09-06,3.06522
2021-09-07,2.79548
2021-09-08,7.60176
2021-09-09,4.14418
2021-09-10,2.94261
2021-09-11,1.3487
2021-09-12,2.40313
2021-09-13,2.82
2021-09-14,2.82
2021-09-15,2.20696
2021-09-16,3.08974
2021-09-17,1.71652
2021-09-18,1.02991
2021-09-19,1.49583
2021-09-20,1.128
2021-09-21,2.01078
2021-09-22,1.76557
2021-09-23,3.0407
2021-09-24,2.89357
2021-09-25,1.81461
2021-09-26,2.30505
2021-09-27,3.67827
2021-09-28,3.11427
2021-09-29,2.99166
2021-09-30,2.72192
2021-10-01,1.9127
2021-10-02,1.128
2021-10-03,1.3487
2021-10-04,1.27513
2021-10-05,1.76557
2021-10-06,2.59931
2021-10-07,1.86365
2021-10-08,1.25061
2021-10-09,1.44678
2021-10-10,5.07601
2021-10-11,2.4767
2021-10-12,2.72192
2021-10-13,1.88818
2021-10-14,6.49828
2021-10-15,6.7435
2021-10-16,3.38401
2021-10-17,2.67287
2021-10-18,2.96714
2021-10-19,3.21235
2021-10-20,2.91809
2021-10-21,1.9127
2021-10-22,1.71652
2021-10-23,1.96174
2021-10-24,2.64835
2021-10-25,5.1741
2021-10-26,3.75183
2021-10-27,3.16331
2021-10-28,1.83913
2021-10-29,2.23148
2021-10-30,1.22609
2021-10-31,1.37322
2021-11-01,1.61844
2021-11-02,2.03531
2021-11-03,1.74104
2021-11-04,1.15252
2021-11-05,1.76557
2021-11-06,0.95635
2021-11-07,1.07896
2021-11-08,1.42226
2021-11-09,1.37322
2021-11-10,1.56939
2021-11-11,1.3487
2021-11-12,0.98087
2021-11-13,0.9073
2021-11-14,1.07896
2021-11-15,1.39774
2021-11-16,1.52035
2021-11-17,1.22609
2021-11-18,1.49583
2021-11-19,1.27513
2021-11-20,0.98087
2021-11-21,1.00539
2021-11-22,1.71652
2021-11-23,0.88278
2021-11-24,1.52035
2021-11-25,2.01078
2021-11-26,1.54487
2021-11-27,1.22609
2021-11-28,1.42226
2021-11-29,1.42226
2021-11-30,1.98626
2021-12-01,1.52035
2021-12-02,1.88818
2021-12-03,1.54487
2021-12-04,0.98087
2021-12-05,2.35409
2021-12-06,2.08435
2021-12-07,4.02157
2021-12-08,17.63119
2021-12-09,4.78175
2021-12-10,3.48209
2021-12-11,3.38401
2021-12-12,3.43305
2021-12-13,3.92349
2021-12-14,2.89357
2021-12-15,4.34036
2021-12-16,4.07062
2021-12-17,12.23639
2021-12-18,32.0255
2021-12-19,18.51397
2021-12-20,16.45414
2021-12-21,7.06228
2021-12-22,5.1741
2021-12-23,4.46297
2021-12-24,3.06522
2021-12-25,3.18783
2021-12-26,3.99705
2021-12-27,10.96125
2021-12-28,25.99313
2021-12-29,55.14958
2021-12-30,85.89995
2021-12-31,44.1638
2022-01-01,85.94899
2022-01-02,76.65522
2022-01-03,84.45316
2022-01-04,57.40559
2022-01-05,69.49485
2022-01-06,68.73467
2022-01-07,40.41196
2022-01-08,28.00392
2022-01-09,34.25698
2022-01-10,36.83178
2022-01-11,27.73418
2022-01-12,21.3585
2022-01-13,18.04806
2022-01-14,13.97743
2022-01-15,15.64492
2022-01-16,23.83521
2022-01-17,29.91662
2022-01-18,24.15399
2022-01-19,23.83521
2022-01-20,27.34183
2022-01-21,25.0613
2022-01-22,17.97449
2022-01-23,22.16772
2022-01-24,29.96566
2022-01-25,28.10201
2022-01-26,35.65473
2022-01-27,31.28984
2022-01-28,21.70181
2022-01-29,16.38057
2022-01-30,15.3997
2022-01-31,17.60666
2022-02-01,20.13241
2022-02-02,20.76998
2022-02-03,28.5434
2022-02-04,21.43207
2022-02-05,20.05885
2022-02-06,24.76704
2022-02-07,40.87788
2022-02-08,42.91319
2022-02-09,53.18783
2022-02-10,39.18587
2022-02-11,31.92741
2022-02-12,19.78911
2022-02-13,21.84894
2022-02-14,42.69249
2022-02-15,46.59146
2022-02-16,45.75772
2022-02-17,44.40902
2022-02-18,49.85286
2022-02-19,38.59735
2022-02-20,44.01667
2022-02-21,70.89259
2022-02-22,100.0
2022-02-23,96.10102
2022-02-24,64.02648
2022-02-25,57.57724
2022-02-26,43.0358
2022-02-27,32.56498
2022-02-28,38.81804
2022-03-01,45.04659
2022-03-02,50.14713
2022-03-03,36.12064
2022-03-04,24.37469
2022-03-05,58.80333
2022-03-06,26.75331
2022-03-07,26.65522
2022-03-08,20.27954
2022-03-09,16.23344
2022-03-10,20.25502
2022-03-11,20.15693
2022-03-12,16.06179
2022-03-13,15.0564
2022-03-14,18.26875
2022-03-15,15.15448
2022-03-16,13.487
2022-03-17,11.25551
2022-03-18,10.10299
2022-03-19,8.01863
2022-03-20,9.83325
2022-03-21,16.23344
2022-03-22,13.24178
2022-03-23,12.1383
2022-03-24,10.25012
2022-03-25,9.88229
2022-03-26,9.17116
2022-03-27,9.41638
