date,메리츠금융지주
2020-11-07,0.49136
2020-11-08,0.41691
2020-11-09,1.51876
2020-11-10,1.76196
2020-11-11,1.76692
2020-11-12,1.74707
2020-11-13,1.69743
2020-11-14,0.60055
2020-11-15,0.55588
2020-11-16,2.82906
2020-11-17,2.22354
2020-11-18,2.29799
2020-11-19,2.03494
2020-11-20,1.93071
2020-11-21,0.57573
2020-11-22,0.56084
2020-11-23,2.14909
2020-11-24,2.30295
2020-11-25,2.79432
2020-11-26,2.55112
2020-11-27,2.18383
2020-11-28,0.90827
2020-11-29,0.87849
2020-11-30,1.81655
2020-12-01,1.83641
2020-12-02,1.97041
2020-12-03,1.99523
2020-12-04,2.05479
2020-12-05,0.7296
2020-12-06,1.55846
2020-12-07,2.49652
2020-12-08,2.42207
2020-12-09,3.45443
2020-12-10,2.70994
2020-12-11,3.27575
2020-12-12,1.09688
2020-12-13,1.77188
2020-12-14,3.15167
2020-12-15,2.9184
2020-12-16,3.0673
2020-12-17,2.20369
2020-12-18,2.16398
2020-12-19,0.85368
2020-12-20,0.8636
2020-12-21,2.61068
2020-12-22,2.34762
2020-12-23,2.49156
2020-12-24,2.6206
2020-12-25,1.08695
2020-12-26,0.96783
2020-12-27,1.05221
2020-12-28,3.31546
2020-12-29,3.52392
2020-12-30,3.53881
2020-12-31,1.15147
2021-01-01,0.80901
2021-01-02,0.81397
2021-01-03,1.216
2021-01-04,3.49414
2021-01-05,3.37006
2021-01-06,3.27079
2021-01-07,4.20389
2021-01-08,4.25352
2021-01-09,1.82152
2021-01-10,1.60313
2021-01-11,3.92098
2021-01-12,3.41473
2021-01-13,3.84157
2021-01-14,3.46436
2021-01-15,2.96803
2021-01-16,1.31526
2021-01-17,1.7024
2021-01-18,3.44947
2021-01-19,3.87135
2021-01-20,4.2287
2021-01-21,4.50665
2021-01-22,4.04506
2021-01-23,1.81655
2021-01-24,1.98034
2021-01-25,4.58109
2021-01-26,4.56124
2021-01-27,3.81675
2021-01-28,3.06233
2021-01-29,2.61564
2021-01-30,0.87353
2021-01-31,0.96783
2021-02-01,3.04744
2021-02-02,3.37502
2021-02-03,3.32042
2021-02-04,3.28072
2021-02-05,3.56859
2021-02-06,1.82648
2021-02-07,1.62298
2021-02-08,8.87432
2021-02-09,7.6484
2021-02-10,7.17689
2021-02-11,2.57593
2021-02-12,1.88108
2021-02-13,2.08953
2021-02-14,2.97796
2021-02-15,9.67341
2021-02-16,6.95354
2021-02-17,5.05261
2021-02-18,5.33551
2021-02-19,4.93349
2021-02-20,2.49156
2021-02-21,2.23843
2021-02-22,7.88167
2021-02-23,7.90152
2021-02-24,6.27357
2021-02-25,5.40996
2021-02-26,5.14691
2021-02-27,1.95056
2021-02-28,1.79174
2021-03-01,1.86619
2021-03-02,4.78459
2021-03-03,4.60095
2021-03-04,6.50684
2021-03-05,6.68552
2021-03-06,2.82906
2021-03-07,2.48163
2021-03-08,8.75024
2021-03-09,8.46237
2021-03-10,6.05519
2021-03-11,7.08755
2021-03-12,6.37284
2021-03-13,2.04983
2021-03-14,1.7421
2021-03-15,8.11991
2021-03-16,7.12725
2021-03-17,7.83204
2021-03-18,8.02064
2021-03-19,7.58387
2021-03-20,2.30295
2021-03-21,1.99027
2021-03-22,5.37522
2021-03-23,7.31586
2021-03-24,6.76493
2021-03-25,6.61604
2021-03-26,7.06273
2021-03-27,2.48659
2021-03-28,2.10939
2021-03-29,7.56898
2021-03-30,12.68612
2021-03-31,17.62457
2021-04-01,17.01409
2021-04-02,13.55965
2021-04-03,3.61822
2021-04-04,2.99285
2021-04-05,9.11753
2021-04-06,7.21163
2021-04-07,7.80226
2021-04-08,7.06769
2021-04-09,6.22394
2021-04-10,1.46416
2021-04-11,1.46416
2021-04-12,5.55886
2021-04-13,5.81199
2021-04-14,6.08497
2021-04-15,6.16438
2021-04-16,6.01548
2021-04-17,2.12428
2021-04-18,1.77685
2021-04-19,5.14194
2021-04-20,5.60849
2021-04-21,5.87155
2021-04-22,4.79948
2021-04-23,4.26345
2021-04-24,1.58824
2021-04-25,1.23585
2021-04-26,5.00297
2021-04-27,5.00297
2021-04-28,5.29084
2021-04-29,4.32797
2021-04-30,6.84435
2021-05-01,1.9456
2021-05-02,1.51876
2021-05-03,5.42981
2021-05-04,5.99563
