date,퇴직금지급기준
2020-03-20,60.48422
2020-03-21,40.09329
2020-03-22,34.94002
2020-03-23,66.57041
2020-03-24,69.72456
2020-03-25,76.07729
2020-03-26,67.74766
2020-03-27,61.26166
2020-03-28,38.20524
2020-03-29,40.20435
2020-03-30,75.09995
2020-03-31,79.3203
2020-04-01,71.83474
2020-04-02,63.92714
2020-04-03,63.28298
2020-04-04,35.0733
2020-04-05,36.09506
2020-04-06,75.69968
2020-04-07,67.72545
2020-04-08,65.19324
2020-04-09,65.41537
2020-04-10,73.18969
2020-04-11,38.62727
2020-04-12,35.05108
2020-04-13,70.34651
2020-04-14,67.30342
2020-04-15,41.60373
2020-04-16,62.08351
2020-04-17,60.39537
2020-04-18,35.51754
2020-04-19,34.67347
2020-04-20,64.26032
2020-04-21,60.86183
2020-04-22,63.79386
2020-04-23,61.35051
2020-04-24,59.86228
2020-04-25,35.58418
2020-04-26,33.16303
2020-04-27,67.14793
2020-04-28,67.41448
2020-04-29,63.70501
2020-04-30,42.86983
2020-05-01,38.42736
2020-05-02,31.60817
2020-05-03,30.67525
2020-05-04,52.55442
2020-05-05,38.82718
2020-05-06,67.43669
2020-05-07,65.14882
2020-05-08,59.30697
2020-05-09,33.18525
2020-05-10,34.80675
2020-05-11,71.56819
2020-05-12,63.97156
2020-05-13,62.57219
2020-05-14,59.729
2020-05-15,54.57574
2020-05-16,31.00844
2020-05-17,29.63127
2020-05-18,60.88405
2020-05-19,60.95068
2020-05-20,63.03864
2020-05-21,63.5051
2020-05-22,53.33185
2020-05-23,33.87383
2020-05-24,33.29631
2020-05-25,66.68147
2020-05-26,64.50466
2020-05-27,62.10573
2020-05-28,60.28431
2020-05-29,57.97423
2020-05-30,34.96223
2020-05-31,35.16215
2020-06-01,64.72678
2020-06-02,63.08307
2020-06-03,63.63838
2020-06-04,57.3745
2020-06-05,59.32918
2020-06-06,43.02532
2020-06-07,37.07241
2020-06-08,68.03642
2020-06-09,64.17147
2020-06-10,73.76721
2020-06-11,62.92758
2020-06-12,57.57441
2020-06-13,34.8956
2020-06-14,34.62905
2020-06-15,74.23367
2020-06-16,64.749
2020-06-17,59.729
2020-06-18,60.41759
2020-06-19,55.73078
2020-06-20,37.67214
2020-06-21,33.69613
2020-06-22,62.54997
2020-06-23,57.44113
2020-06-24,58.66281
2020-06-25,68.94713
2020-06-26,55.28653
2020-06-27,33.58507
2020-06-28,34.7179
2020-06-29,67.08129
2020-06-30,80.7641
2020-07-01,73.32296
2020-07-02,61.95024
2020-07-03,57.90759
2020-07-04,35.25099
2020-07-05,35.02887
2020-07-06,65.92625
2020-07-07,63.59395
2020-07-08,61.72812
2020-07-09,62.10573
2020-07-10,64.19369
2020-07-11,36.31719
2020-07-12,34.42914
2020-07-13,62.52776
2020-07-14,72.92314
2020-07-15,66.74811
2020-07-16,57.06352
2020-07-17,54.48689
2020-07-18,34.11816
2020-07-19,32.05242
2020-07-20,63.06086
2020-07-21,60.70635
2020-07-22,59.08485
2020-07-23,55.41981
2020-07-24,53.82052
2020-07-25,35.22878
2020-07-26,31.8525
2020-07-27,61.66148
2020-07-28,58.84051
2020-07-29,61.7059
2020-07-30,57.55219
2020-07-31,56.6637
2020-08-01,35.27321
2020-08-02,30.87516
2020-08-03,52.46557
2020-08-04,51.53265
2020-08-05,57.64104
2020-08-06,52.11017
2020-08-07,53.30964
2020-08-08,34.16259
2020-08-09,31.20835
2020-08-10,72.30119
2020-08-11,65.41537
2020-08-12,56.77476
2020-08-13,55.28653
2020-08-14,57.17458
2020-08-15,33.31852
2020-08-16,30.51976
2020-08-17,40.33762
2020-08-18,61.81697
2020-08-19,57.28565
2020-08-20,58.70724
2020-08-21,54.57574
2020-08-22,33.58507
2020-08-23,35.36206
2020-08-24,66.85917
2020-08-25,66.90359
2020-08-26,59.92892
2020-08-27,63.43847
2020-08-28,57.15237
2020-08-29,38.3163
2020-08-30,36.85028
2020-08-31,79.89782
2020-09-01,67.61439
2020-09-02,62.52776
2020-09-03,53.90937
2020-09-04,55.59751
2020-09-05,37.69435
2020-09-06,30.69746
2020-09-07,64.54908
2020-09-08,62.35006
2020-09-09,57.79653
2020-09-10,71.43491
2020-09-11,56.21945
2020-09-12,32.49666
2020-09-13,31.74144
2020-09-14,66.74811
2020-09-15,62.57219
2020-09-16,62.15015
2020-09-17,56.08618
2020-09-18,50.44424
2020-09-19,31.43047
2020-09-20,31.96357
2020-09-21,56.04175
2020-09-22,53.02087
2020-09-23,53.73167
2020-09-24,51.37716
2020-09-25,49.68902
2020-09-26,30.16437
2020-09-27,32.47445
2020-09-28,52.99866
2020-09-29,47.64549
2020-09-30,26.32163
2020-10-01,21.54597
2020-10-02,21.5904
2020-10-03,24.98889
2020-10-04,32.65215
2020-10-05,70.07996
2020-10-06,66.72589
2020-10-07,62.26121
2020-10-08,59.50688
2020-10-09,37.84984
2020-10-10,34.56241
2020-10-11,37.76099
2020-10-12,74.45579
2020-10-13,66.63705
2020-10-14,66.50377
2020-10-15,61.90581
2020-10-16,55.48645
2020-10-17,34.56241
2020-10-18,33.25188
2020-10-19,58.88494
2020-10-20,63.61617
2020-10-21,60.88405
2020-10-22,56.33051
2020-10-23,53.79831
2020-10-24,33.8294
2020-10-25,32.98533
2020-10-26,64.19369
2020-10-27,63.97156
2020-10-28,63.66059
2020-10-29,70.65748
2020-10-30,74.63349
2020-10-31,44.60239
2020-11-01,37.98311
2020-11-02,81.20835
2020-11-03,75.07774
2020-11-04,70.61306
2020-11-05,72.01243
2020-11-06,54.22034
2020-11-07,35.16215
2020-11-08,32.51888
2020-11-09,68.08085
2020-11-10,78.12083
2020-11-11,65.97067
2020-11-12,68.14749
2020-11-13,63.48289
2020-11-14,34.42914
2020-11-15,38.62727
2020-11-16,68.76943
2020-11-17,68.83607
2020-11-18,65.70413
2020-11-19,63.48289
2020-11-20,57.17458
2020-11-21,37.02798
2020-11-22,35.25099
2020-11-23,64.3936
2020-11-24,64.0382
2020-11-25,70.07996
2020-11-26,66.48156
2020-11-27,59.84007
2020-11-28,37.47223
2020-11-29,38.89382
2020-11-30,76.988
2020-12-01,68.96934
2020-12-02,71.52376
2020-12-03,68.21412
2020-12-04,62.97201
2020-12-05,40.93736
2020-12-06,38.1386
2020-12-07,72.36783
2020-12-08,68.3474
2020-12-09,70.25766
2020-12-10,78.98711
2020-12-11,67.08129
2020-12-12,36.58374
2020-12-13,35.13993
2020-12-14,65.17103
2020-12-15,69.81341
2020-12-16,63.61617
2020-12-17,60.37316
2020-12-18,55.57529
2020-12-19,35.18436
2020-12-20,36.45046
2020-12-21,65.01554
2020-12-22,64.72678
2020-12-23,68.48067
2020-12-24,69.21368
2020-12-25,36.40604
