date,월급쟁이재테크
2020-03-20,10.79691
2020-03-21,5.91259
2020-03-22,12.5964
2020-03-23,11.31105
2020-03-24,16.19537
2020-03-25,11.56812
2020-03-26,8.74035
2020-03-27,10.0257
2020-03-28,3.85604
2020-03-29,8.22622
2020-03-30,10.0257
2020-03-31,11.82519
2020-04-01,9.76863
2020-04-02,6.94087
2020-04-03,9.25449
2020-04-04,5.14138
2020-04-05,9.25449
2020-04-06,6.16966
2020-04-07,8.74035
2020-04-08,5.14138
2020-04-09,10.53984
2020-04-10,8.22622
2020-04-11,4.37017
2020-04-12,6.42673
2020-04-13,7.45501
2020-04-14,6.6838
2020-04-15,5.39845
2020-04-16,5.14138
2020-04-17,7.45501
2020-04-18,3.3419
2020-04-19,9.25449
2020-04-20,10.79691
2020-04-21,5.91259
2020-04-22,8.99742
2020-04-23,8.74035
2020-04-24,8.74035
2020-04-25,3.85604
2020-04-26,4.11311
2020-04-27,10.0257
2020-04-28,12.33933
2020-04-29,7.19794
2020-04-30,11.56812
2020-05-01,6.42673
2020-05-02,7.96915
2020-05-03,8.74035
2020-05-04,13.11053
2020-05-05,13.88174
2020-05-06,10.53984
2020-05-07,7.71208
2020-05-08,6.42673
2020-05-09,4.88431
2020-05-10,8.99742
2020-05-11,9.76863
2020-05-12,7.19794
2020-05-13,11.56812
2020-05-14,10.0257
2020-05-15,9.76863
2020-05-16,5.14138
2020-05-17,5.14138
2020-05-18,7.19794
2020-05-19,7.19794
2020-05-20,8.48329
2020-05-21,6.6838
2020-05-22,6.6838
2020-05-23,3.08483
2020-05-24,8.22622
2020-05-25,7.45501
2020-05-26,9.25449
2020-05-27,6.6838
2020-05-28,7.19794
2020-05-29,4.11311
2020-05-30,1.28534
2020-05-31,5.14138
2020-06-01,6.42673
2020-06-02,8.74035
2020-06-03,4.88431
2020-06-04,5.39845
2020-06-05,5.39845
2020-06-06,5.65552
2020-06-07,3.3419
2020-06-08,8.48329
2020-06-09,6.6838
2020-06-10,6.42673
2020-06-11,10.0257
2020-06-12,6.42673
2020-06-13,3.08483
2020-06-14,8.74035
2020-06-15,8.22622
2020-06-16,11.56812
2020-06-17,7.45501
2020-06-18,8.22622
2020-06-19,5.91259
2020-06-20,4.37017
2020-06-21,4.88431
2020-06-22,3.85604
2020-06-23,5.14138
2020-06-24,5.65552
2020-06-25,6.16966
2020-06-26,8.74035
2020-06-27,5.39845
2020-06-28,9.25449
2020-06-29,5.91259
2020-06-30,7.45501
2020-07-01,7.19794
2020-07-02,4.37017
2020-07-03,4.37017
2020-07-04,4.37017
2020-07-05,2.82776
2020-07-06,7.19794
2020-07-07,4.62724
2020-07-08,8.48329
2020-07-09,5.91259
2020-07-10,6.94087
2020-07-11,2.82776
2020-07-12,6.16966
2020-07-13,8.22622
2020-07-14,9.51156
2020-07-15,2.82776
2020-07-16,6.16966
2020-07-17,5.14138
2020-07-18,3.3419
2020-07-19,5.91259
2020-07-20,9.25449
2020-07-21,6.16966
2020-07-22,9.51156
2020-07-23,8.74035
2020-07-24,7.45501
2020-07-25,5.39845
2020-07-26,3.3419
2020-07-27,11.56812
2020-07-28,8.74035
2020-07-29,8.99742
2020-07-30,8.74035
2020-07-31,5.14138
2020-08-01,7.19794
2020-08-02,2.31362
2020-08-03,8.99742
2020-08-04,11.31105
2020-08-05,11.56812
2020-08-06,11.56812
2020-08-07,6.16966
2020-08-08,7.96915
2020-08-09,5.39845
2020-08-10,8.22622
2020-08-11,11.05398
2020-08-12,7.45501
2020-08-13,7.45501
2020-08-14,8.22622
2020-08-15,3.59897
2020-08-16,5.14138
2020-08-17,3.59897
2020-08-18,7.19794
2020-08-19,7.71208
2020-08-20,8.22622
2020-08-21,7.19794
2020-08-22,7.45501
2020-08-23,7.45501
2020-08-24,13.88174
2020-08-25,17.73778
2020-08-26,13.62467
2020-08-27,11.56812
2020-08-28,11.82519
2020-08-29,5.91259
2020-08-30,14.65295
2020-08-31,30.59125
2020-09-01,25.44987
2020-09-02,15.68123
2020-09-03,16.45244
2020-09-04,13.88174
2020-09-05,7.19794
2020-09-06,6.6838
2020-09-07,14.65295
2020-09-08,9.51156
2020-09-09,8.74035
2020-09-10,7.71208
2020-09-11,5.91259
2020-09-12,4.88431
2020-09-13,6.42673
2020-09-14,8.99742
2020-09-15,13.11053
2020-09-16,11.31105
2020-09-17,5.91259
2020-09-18,6.16966
2020-09-19,2.82776
2020-09-20,4.62724
2020-09-21,7.96915
2020-09-22,4.88431
2020-09-23,7.71208
2020-09-24,6.42673
2020-09-25,8.74035
2020-09-26,2.57069
2020-09-27,2.57069
2020-09-28,4.37017
2020-09-29,6.94087
2020-09-30,4.37017
2020-10-01,3.59897
2020-10-02,10.28277
2020-10-03,15.68123
2020-10-04,39.58868
2020-10-05,42.93059
2020-10-06,31.36246
2020-10-07,34.70437
2020-10-08,22.6221
2020-10-09,16.19537
2020-10-10,19.79434
2020-10-11,22.10796
2020-10-12,27.24935
2020-10-13,29.30591
2020-10-14,33.41902
2020-10-15,37.27506
2020-10-16,35.98971
2020-10-17,26.22107
2020-10-18,22.6221
2020-10-19,38.04627
2020-10-20,41.38817
2020-10-21,43.18766
2020-10-22,36.24678
2020-10-23,39.33161
2020-10-24,26.73521
2020-10-25,23.65038
