date,실비보험비교
2020-03-20,14.31334
2020-03-21,8.12379
2020-03-22,5.02901
2020-03-23,18.37524
2020-03-24,14.50676
2020-03-25,13.92649
2020-03-26,10.63829
2020-03-27,13.92649
2020-03-28,5.60928
2020-03-29,10.63829
2020-03-30,14.89361
2020-03-31,17.2147
2020-04-01,15.08704
2020-04-02,8.31721
2020-04-03,9.28433
2020-04-04,6.18955
2020-04-05,5.99613
2020-04-06,9.67117
2020-04-07,14.70019
2020-04-08,10.25145
2020-04-09,11.79883
2020-04-10,7.73694
2020-04-11,6.5764
2020-04-12,5.41586
2020-04-13,11.41199
2020-04-14,11.21856
2020-04-15,6.76982
2020-04-16,9.0909
2020-04-17,10.44487
2020-04-18,6.96324
2020-04-19,3.48162
2020-04-20,13.92649
2020-04-21,9.0909
2020-04-22,9.67117
2020-04-23,11.21856
2020-04-24,10.44487
2020-04-25,4.06189
2020-04-26,4.64216
2020-04-27,14.11992
2020-04-28,11.41199
2020-04-29,9.8646
2020-04-30,8.89748
2020-05-01,6.18955
2020-05-02,4.44874
2020-05-03,5.22243
2020-05-04,15.28046
2020-05-05,5.99613
2020-05-06,16.05415
2020-05-07,12.18568
2020-05-08,10.83172
2020-05-09,5.99613
2020-05-10,4.06189
2020-05-11,9.47775
2020-05-12,10.05802
2020-05-13,16.82785
2020-05-14,10.05802
2020-05-15,9.28433
2020-05-16,5.41586
2020-05-17,5.02901
2020-05-18,10.44487
2020-05-19,12.57253
2020-05-20,13.34622
2020-05-21,13.1528
2020-05-22,10.63829
2020-05-23,4.25531
2020-05-24,4.64216
2020-05-25,15.66731
2020-05-26,14.11992
2020-05-27,11.79883
2020-05-28,11.21856
2020-05-29,7.73694
2020-05-30,4.83558
2020-05-31,7.15667
2020-06-01,11.41199
2020-06-02,12.37911
2020-06-03,15.28046
2020-06-04,11.60541
2020-06-05,16.63442
2020-06-06,6.18955
2020-06-07,6.18955
2020-06-08,11.79883
2020-06-09,13.34622
2020-06-10,17.40812
2020-06-11,11.79883
2020-06-12,10.63829
2020-06-13,6.76982
2020-06-14,5.02901
2020-06-15,16.441
2020-06-16,14.70019
2020-06-17,16.05415
2020-06-18,11.99226
2020-06-19,9.67117
2020-06-20,5.8027
2020-06-21,9.0909
2020-06-22,10.83172
2020-06-23,11.79883
2020-06-24,5.99613
2020-06-25,10.44487
2020-06-26,9.28433
2020-06-27,3.67504
2020-06-28,5.02901
2020-06-29,8.89748
2020-06-30,13.1528
2020-07-01,16.24758
2020-07-02,9.67117
2020-07-03,11.41199
2020-07-04,7.54352
2020-07-05,6.18955
2020-07-06,10.25145
