date,오늘의주식시세
2020-03-20,100.0
2020-03-21,13.40579
2020-03-22,6.83876
2020-03-23,94.56521
2020-03-24,97.19202
2020-03-25,90.08152
2020-03-26,93.13858
2020-03-27,89.44746
2020-03-28,13.31521
2020-03-29,5.81974
2020-03-30,79.95923
2020-03-31,71.6259
2020-04-01,77.71739
2020-04-02,78.5326
2020-04-03,70.26721
2020-04-04,10.46195
2020-04-05,5.52536
2020-04-06,66.41757
2020-04-07,72.62228
2020-04-08,68.36503
2020-04-09,64.42481
2020-04-10,65.55706
2020-04-11,9.08061
2020-04-12,4.21195
2020-04-13,64.44746
2020-04-14,57.42753
2020-04-15,14.15307
2020-04-16,67.14221
2020-04-17,63.06612
2020-04-18,8.17481
2020-04-19,4.4384
2020-04-20,60.2355
2020-04-21,71.173
2020-04-22,69.27083
2020-04-23,61.25452
2020-04-24,61.93387
2020-04-25,7.22373
2020-04-26,3.5326
2020-04-27,53.17028
2020-04-28,58.06159
2020-04-29,49.00362
2020-04-30,10.05434
2020-05-01,15.03623
2020-05-02,5.20833
2020-05-03,2.80797
2020-05-04,52.44565
2020-05-05,9.375
2020-05-06,51.51721
2020-05-07,48.6413
2020-05-08,43.75
2020-05-09,6.0009
2020-05-10,3.50996
2020-05-11,45.7201
2020-05-12,48.52807
2020-05-13,47.35054
2020-05-14,50.6567
2020-05-15,46.58061
2020-05-16,5.75181
2020-05-17,3.01177
2020-05-18,43.22916
2020-05-19,45.9692
2020-05-20,48.12047
2020-05-21,47.9846
2020-05-22,52.26449
2020-05-23,6.40851
2020-05-24,3.03442
2020-05-25,44.72373
2020-05-26,48.95833
2020-05-27,48.39221
2020-05-28,53.48731
2020-05-29,49.25271
2020-05-30,6.20471
2020-05-31,2.76268
2020-06-01,45.15398
2020-06-02,45.5163
2020-06-03,52.80797
2020-06-04,57.69927
2020-06-05,48.55072
2020-06-06,6.25
2020-06-07,3.5326
2020-06-08,51.53985
2020-06-09,52.08333
2020-06-10,49.84148
2020-06-11,56.49909
2020-06-12,64.10778
2020-06-13,6.83876
2020-06-14,3.05706
2020-06-15,72.84873
2020-06-16,68.86322
2020-06-17,70.26721
2020-06-18,59.23913
2020-06-19,55.81974
2020-06-20,5.97826
2020-06-21,2.71739
2020-06-22,51.85688
2020-06-23,53.28351
2020-06-24,47.96195
2020-06-25,55.20833
2020-06-26,48.39221
2020-06-27,6.47644
2020-06-28,2.94384
2020-06-29,50.81521
2020-06-30,49.61503
2020-07-01,47.87137
2020-07-02,46.05978
2020-07-03,47.10144
2020-07-04,4.71014
2020-07-05,2.98913
2020-07-06,49.7509
2020-07-07,52.89855
2020-07-08,51.01902
2020-07-09,51.51721
2020-07-10,50.63405
2020-07-11,6.09148
2020-07-12,2.55887
2020-07-13,44.88224
2020-07-14,49.86413
2020-07-15,50.22644
2020-07-16,53.21557
2020-07-17,50.67934
2020-07-18,5.07246
2020-07-19,2.46829
2020-07-20,46.15036
2020-07-21,47.44112
2020-07-22,47.91666
2020-07-23,50.47554
2020-07-24,47.89402
2020-07-25,6.09148
2020-07-26,3.14764
2020-07-27,46.03713
2020-07-28,48.4375
2020-07-29,51.7663
2020-07-30,48.57336
2020-07-31,47.9846
2020-08-01,6.06884
2020-08-02,3.05706
2020-08-03,46.173
2020-08-04,47.80344
2020-08-05,49.66032
2020-08-06,52.83061
2020-08-07,56.70289
2020-08-08,7.06521
2020-08-09,3.50996
2020-08-10,46.96557
2020-08-11,49.20742
2020-08-12,55.32155
2020-08-13,49.56974
2020-08-14,53.10235
2020-08-15,5.48007
2020-08-16,2.83061
2020-08-17,16.25905
2020-08-18,58.80887
2020-08-19,51.67572
2020-08-20,61.88858
2020-08-21,56.27264
2020-08-22,6.29528
2020-08-23,2.83061
2020-08-24,49.70561
2020-08-25,46.15036
2020-08-26,48.89039
2020-08-27,48.25634
2020-08-28,44.88224
2020-08-29,5.36684
2020-08-30,3.62318
2020-08-31,48.07518
2020-09-01,45.90126
2020-09-02,45.9692
2020-09-03,44.99547
2020-09-04,53.19293
2020-09-05,7.29166
2020-09-06,3.30615
2020-09-07,46.173
2020-09-08,47.62228
