date,여론조사기관
2020-03-20,21.78988
2020-03-21,24.12451
2020-03-22,11.28404
2020-03-23,28.01556
2020-03-24,20.23346
2020-03-25,25.29182
2020-03-26,36.96498
2020-03-27,33.46303
2020-03-28,34.63035
2020-03-29,36.57587
2020-03-30,38.13229
2020-03-31,29.18287
2020-04-01,26.45914
2020-04-02,36.18677
2020-04-03,38.5214
2020-04-04,32.68482
2020-04-05,24.51361
2020-04-06,37.35408
2020-04-07,43.96887
2020-04-08,45.13618
2020-04-09,38.5214
2020-04-10,34.63035
2020-04-11,23.7354
2020-04-12,19.06614
2020-04-13,33.46303
2020-04-14,19.06614
2020-04-15,32.68482
2020-04-16,12.84046
2020-04-17,14.78599
2020-04-18,10.50583
2020-04-19,6.22568
2020-04-20,10.50583
2020-04-21,16.73151
2020-04-22,20.62256
2020-04-23,10.50583
2020-04-24,1.94552
2020-04-25,7.7821
2020-04-26,2.72373
2020-04-27,4.66926
2020-04-28,5.44747
2020-04-29,3.89105
2020-04-30,1.94552
2020-05-02,2.33463
2020-05-03,1.94552
2020-05-04,5.44747
2020-05-05,3.89105
2020-05-06,3.50194
2020-05-07,5.05836
2020-05-08,7.00389
2020-05-09,4.28015
2020-05-12,6.22568
2020-05-13,4.28015
2020-05-14,6.61478
2020-05-15,3.50194
2020-05-16,3.89105
2020-05-18,1.94552
2020-05-20,1.94552
2020-05-21,2.33463
2020-05-23,1.94552
2020-05-24,1.94552
2020-05-26,2.72373
2020-05-27,5.83657
2020-05-29,4.66926
2020-05-30,1.94552
2020-06-01,5.05836
2020-06-02,2.33463
2020-06-04,2.33463
2020-06-06,3.11284
2020-06-07,2.33463
2020-06-11,5.05836
2020-06-12,2.72373
2020-06-14,3.11284
2020-06-15,4.28015
2020-06-16,1.94552
2020-06-17,1.94552
2020-06-19,5.05836
2020-06-21,1.94552
2020-06-22,4.66926
2020-06-23,2.33463
2020-06-24,3.89105
2020-06-25,1.94552
2020-06-26,1.94552
2020-06-27,4.66926
2020-06-29,5.83657
2020-06-30,2.72373
2020-07-02,5.05836
2020-07-03,3.11284
2020-07-05,4.66926
2020-07-06,5.83657
2020-07-07,4.66926
2020-07-08,3.50194
2020-07-09,4.28015
2020-07-10,1.94552
2020-07-13,7.39299
2020-07-14,1.94552
2020-07-15,1.94552
2020-07-16,7.39299
2020-07-17,3.11284
2020-07-18,3.50194
2020-07-20,7.39299
2020-07-21,5.05836
2020-07-22,6.22568
2020-07-23,10.89494
2020-07-24,5.44747
2020-07-25,2.33463
2020-07-26,2.72373
2020-07-27,8.56031
2020-07-28,2.33463
2020-07-29,3.11284
2020-07-30,6.22568
2020-07-31,3.89105
2020-08-01,3.50194
2020-08-03,7.7821
2020-08-04,4.66926
2020-08-05,5.83657
2020-08-06,6.22568
2020-08-07,13.61867
2020-08-08,6.22568
2020-08-09,1.94552
2020-08-10,6.61478
2020-08-11,5.44747
2020-08-12,5.83657
2020-08-13,18.28793
2020-08-14,16.34241
2020-08-15,7.00389
2020-08-16,3.50194
2020-08-17,13.61867
2020-08-18,9.72762
2020-08-19,8.1712
2020-08-20,6.61478
2020-08-21,12.45136
2020-08-22,2.72373
2020-08-23,5.05836
2020-08-24,3.89105
2020-08-26,2.72373
2020-08-27,8.56031
2020-08-28,4.66926
2020-08-29,1.94552
2020-08-31,7.00389
2020-09-01,2.33463
2020-09-02,2.72373
2020-09-03,8.1712
2020-09-04,2.33463
2020-09-05,4.66926
2020-09-06,1.94552
2020-09-07,2.72373
2020-09-08,4.28015
2020-09-09,7.39299
2020-09-10,8.56031
2020-09-11,7.7821
2020-09-12,9.33852
2020-09-13,7.7821
2020-09-14,10.11673
2020-09-15,5.05836
2020-09-16,14.00778
2020-09-17,11.28404
2020-09-18,10.11673
2020-09-19,8.94941
2020-09-20,5.83657
2020-09-21,7.7821
2020-09-22,3.89105
2020-09-23,4.28015
2020-09-24,6.22568
2020-09-25,4.66926
2020-09-26,7.39299
2020-09-27,2.72373
2020-09-28,7.7821
2020-09-29,13.61867
2020-09-30,9.72762
2020-10-01,5.83657
2020-10-03,3.50194
2020-10-04,1.94552
2020-10-05,5.44747
2020-10-06,8.56031
2020-10-07,2.33463
2020-10-08,2.33463
2020-10-09,3.50194
2020-10-10,4.28015
2020-10-11,5.05836
2020-10-12,9.33852
2020-10-13,5.44747
2020-10-14,6.22568
2020-10-15,13.22957
2020-10-16,4.28015
2020-10-17,2.33463
2020-10-18,6.22568
2020-10-19,4.66926
2020-10-20,6.22568
2020-10-21,7.00389
2020-10-22,7.00389
2020-10-23,6.22568
2020-10-24,3.11284
2020-10-26,7.00389
2020-10-27,4.66926
2020-10-28,7.00389
2020-10-29,3.11284
2020-10-30,4.28015
2020-10-31,5.05836
2020-11-01,1.94552
2020-11-02,5.44747
2020-11-03,6.61478
2020-11-04,8.94941
2020-11-05,12.06225
2020-11-06,8.94941
2020-11-07,2.72373
2020-11-08,5.05836
2020-11-09,6.22568
2020-11-10,7.7821
2020-11-11,21.40077
2020-11-12,12.84046
2020-11-13,15.17509
2020-11-14,4.28015
2020-11-15,7.00389
