date,구운역
2020-03-20,9.9201
2020-03-21,7.19041
2020-03-22,6.79094
2020-03-23,7.45672
2020-03-24,7.5233
2020-03-25,6.65778
2020-03-26,7.92276
2020-03-27,12.38348
2020-03-28,8.32223
2020-03-29,9.9201
2020-03-30,10.91877
2020-03-31,9.58721
2020-04-01,7.58988
2020-04-02,9.12117
2020-04-03,9.85352
2020-04-04,9.18774
2020-04-05,10.58588
2020-04-06,10.25299
2020-04-07,9.65379
2020-04-08,8.32223
2020-04-09,8.65512
2020-04-10,8.45539
2020-04-11,6.65778
2020-04-12,5.45938
2020-04-13,9.3209
2020-04-14,8.32223
2020-04-15,9.05459
2020-04-16,11.18508
2020-04-17,7.45672
2020-04-18,5.92543
2020-04-19,5.92543
2020-04-20,9.78695
2020-04-21,9.18774
2020-04-22,9.65379
2020-04-23,8.18908
2020-04-24,6.59121
2020-04-25,5.92543
2020-04-26,6.39147
2020-04-27,8.7217
2020-04-28,5.72569
2020-04-29,5.79227
2020-04-30,5.59254
2020-05-01,5.45938
2020-05-02,5.32623
2020-05-03,6.72436
2020-05-04,6.59121
2020-05-05,5.25965
2020-05-06,7.72303
2020-05-07,6.39147
2020-05-08,5.65912
2020-05-09,3.06258
2020-05-10,3.79494
2020-05-11,5.45938
2020-05-12,6.39147
2020-05-13,6.79094
2020-05-14,5.65912
2020-05-15,5.65912
2020-05-16,3.72836
2020-05-17,4.59387
2020-05-18,7.05725
2020-05-19,6.12516
2020-05-20,6.19174
2020-05-21,6.19174
2020-05-22,6.79094
2020-05-23,3.66178
2020-05-24,4.06125
2020-05-25,6.65778
2020-05-26,5.45938
2020-05-27,5.32623
2020-05-28,4.39414
2020-05-29,4.59387
2020-05-30,3.5952
2020-05-31,4.86018
2020-06-01,21.23834
2020-06-02,18.90812
2020-06-03,14.71371
2020-06-04,11.38482
2020-06-05,9.25432
2020-06-06,7.58988
2020-06-07,6.25832
2020-06-08,10.58588
2020-06-09,10.65246
2020-06-10,8.85486
2020-06-11,10.85219
2020-06-12,9.85352
2020-06-13,7.78961
2020-06-14,7.25699
2020-06-15,9.9201
2020-06-16,12.84953
2020-06-17,19.30758
2020-06-18,23.43541
2020-06-19,14.18109
2020-06-20,11.45139
2020-06-21,9.85352
2020-06-22,15.84553
2020-06-23,14.58055
2020-06-24,22.70306
2020-06-25,14.91344
2020-06-26,9.9201
2020-06-27,7.19041
2020-06-28,8.58854
2020-06-29,12.25033
