date,한국가스공사주가
2020-03-20,24.53554
2020-03-21,3.95952
2020-03-22,2.92682
2020-03-23,23.24338
2020-03-24,22.74001
2020-03-25,23.68967
2020-03-26,23.89724
2020-03-27,22.18474
2020-03-28,3.68448
2020-03-29,2.45978
2020-03-30,20.93928
2020-03-31,20.88738
2020-04-01,21.7644
2020-04-02,19.88064
2020-04-03,18.91022
2020-04-04,2.92163
2020-04-05,2.29372
2020-04-06,20.0934
2020-04-07,26.05085
2020-04-08,23.0877
2020-04-09,22.43383
2020-04-10,24.81058
2020-04-11,4.57706
2020-04-12,4.15153
2020-04-13,34.08406
2020-04-14,32.70368
2020-04-15,4.63414
2020-04-16,25.8329
2020-04-17,25.8329
2020-04-18,3.9699
2020-04-19,2.72963
2020-04-20,29.19045
2020-04-21,28.54177
2020-04-22,28.74935
2020-04-23,26.80851
2020-04-24,23.17073
2020-04-25,3.12921
2020-04-26,2.21587
2020-04-27,24.08925
2020-04-28,23.2797
2020-04-29,22.28853
2020-04-30,3.00467
2020-05-01,3.19667
2020-05-02,1.5153
2020-05-03,1.35443
2020-05-04,17.29112
2020-05-05,2.58951
2020-05-06,18.22522
2020-05-07,18.02802
2020-05-08,18.18889
2020-05-09,3.34717
2020-05-10,1.73845
2020-05-11,16.68915
2020-05-12,15.98858
2020-05-13,16.33627
2020-05-14,16.62169
2020-05-15,15.49558
2020-05-16,1.42708
2020-05-17,1.2714
2020-05-18,14.33834
2020-05-19,17.02646
2020-05-20,15.61494
2020-05-21,15.94706
2020-05-22,13.61702
2020-05-23,1.59833
2020-05-24,1.1728
2020-05-25,14.39543
2020-05-26,16.04047
2020-05-27,18.3809
2020-05-28,18.41722
2020-05-29,16.74623
2020-05-30,2.26258
2020-05-31,1.75402
2020-06-01,17.14582
2020-06-02,18.56772
2020-06-03,21.80072
2020-06-04,20.74208
2020-06-05,20.33731
2020-06-06,2.4494
2020-06-07,2.01868
2020-06-08,20.57083
2020-06-09,19.41878
