date,못받은돈받아드립니다
2020-03-20,22.46376
2020-03-21,10.50724
2020-03-22,12.68115
2020-03-23,30.07246
2020-03-24,37.31884
2020-03-25,30.07246
2020-03-26,19.20289
2020-03-27,22.10144
2020-03-28,10.86956
2020-03-29,15.21739
2020-03-30,19.92753
2020-03-31,24.27536
2020-04-01,18.47826
2020-04-02,12.68115
2020-04-03,18.11594
2020-04-04,7.60869
2020-04-05,6.52173
2020-04-06,18.84057
2020-04-07,16.66666
2020-04-08,15.21739
2020-04-09,16.66666
2020-04-10,23.1884
2020-04-11,7.97101
2020-04-12,8.33333
2020-04-13,21.01449
2020-04-14,26.44927
2020-04-15,13.04347
2020-04-16,26.81159
2020-04-17,32.60869
2020-04-18,13.04347
2020-04-19,15.57971
2020-04-20,24.63768
2020-04-21,26.81159
2020-04-22,28.9855
2020-04-23,28.9855
2020-04-24,26.44927
2020-04-25,13.40579
2020-04-26,11.95652
2020-04-27,25.36231
2020-04-28,26.81159
2020-04-29,24.63768
2020-04-30,13.04347
2020-05-01,21.01449
2020-05-02,9.42028
2020-05-03,7.24637
2020-05-04,17.75362
2020-05-05,14.85507
2020-05-06,16.66666
2020-05-07,18.84057
2020-05-08,19.92753
2020-05-09,6.88405
2020-05-10,5.7971
2020-05-11,19.56521
2020-05-12,17.75362
2020-05-13,17.02898
2020-05-14,11.95652
2020-05-15,7.60869
2020-05-16,4.34782
2020-05-17,5.07246
2020-05-18,17.02898
2020-05-19,21.37681
2020-05-20,18.47826
2020-05-21,12.68115
2020-05-22,12.31884
2020-05-23,5.07246
2020-05-24,7.24637
2020-05-25,14.85507
2020-05-26,19.92753
2020-05-27,18.84057
2020-05-28,18.47826
2020-05-29,13.40579
2020-05-30,20.65217
2020-05-31,20.65217
2020-06-01,29.71014
2020-06-02,33.69565
2020-06-03,35.50724
2020-06-04,30.07246
2020-06-05,36.5942
2020-06-06,15.94202
2020-06-07,15.94202
2020-06-08,36.23188
2020-06-09,31.88405
2020-06-10,35.50724
2020-06-11,25.36231
2020-06-12,12.68115
2020-06-13,3.9855
2020-06-14,5.07246
2020-06-15,13.40579
2020-06-16,14.49275
2020-06-17,9.42028
2020-06-18,13.76811
2020-06-19,15.57971
2020-06-20,7.97101
2020-06-21,5.43478
2020-06-22,9.42028
2020-06-23,11.23188
2020-06-24,18.84057
2020-06-25,11.23188
2020-06-26,12.68115
2020-06-27,3.9855
2020-06-28,9.42028
2020-06-29,18.84057
2020-06-30,21.01449
2020-07-01,25.72463
2020-07-02,20.28985
2020-07-03,19.92753
2020-07-04,17.75362
2020-07-05,17.75362
2020-07-06,36.5942
2020-07-07,41.30434
2020-07-08,35.50724
2020-07-09,41.30434
2020-07-10,39.49275
2020-07-11,26.81159
2020-07-12,25.0
2020-07-13,38.04347
2020-07-14,46.01449
2020-07-15,43.84057
2020-07-16,28.9855
2020-07-17,32.60869
2020-07-18,22.82608
2020-07-19,24.63768
2020-07-20,33.69565
2020-07-21,36.95652
2020-07-22,48.91304
2020-07-23,29.71014
2020-07-24,22.10144
2020-07-25,11.23188
2020-07-26,10.86956
2020-07-27,25.0
2020-07-28,26.81159
2020-07-29,14.85507
2020-07-30,15.94202
2020-07-31,16.30434
2020-08-01,9.42028
2020-08-02,12.31884
2020-08-03,23.1884
2020-08-04,29.71014
2020-08-05,28.9855
2020-08-06,27.17391
2020-08-07,19.92753
2020-08-08,9.7826
2020-08-09,9.7826
2020-08-10,24.63768
2020-08-11,13.76811
2020-08-12,23.91304
2020-08-13,26.44927
2020-08-14,32.97101
2020-08-15,18.11594
2020-08-16,14.49275
2020-08-17,20.65217
2020-08-18,29.34782
2020-08-19,20.65217
2020-08-20,28.26086
2020-08-21,17.02898
2020-08-22,7.97101
2020-08-23,10.50724
2020-08-24,23.1884
2020-08-25,40.94202
2020-08-26,40.57971
2020-08-27,40.21739
2020-08-28,31.88405
2020-08-29,19.56521
2020-08-30,17.3913
2020-08-31,36.95652
2020-09-01,46.73913
2020-09-02,42.75362
2020-09-03,34.42028
2020-09-04,24.27536
2020-09-05,8.69565
2020-09-06,12.68115
2020-09-07,31.52173
2020-09-08,20.65217
2020-09-09,27.17391
2020-09-10,27.89855
2020-09-11,38.04347
2020-09-12,19.20289
2020-09-13,14.49275
2020-09-14,36.95652
2020-09-15,28.9855
2020-09-16,34.05797
2020-09-17,34.05797
2020-09-18,31.15942
2020-09-19,20.65217
2020-09-20,15.94202
2020-09-21,45.28985
2020-09-22,36.5942
2020-09-23,31.52173
2020-09-24,38.04347
2020-09-25,25.36231
2020-09-26,22.82608
2020-09-27,11.5942
2020-09-28,30.7971
2020-09-29,34.05797
2020-09-30,26.08695
2020-10-01,18.47826
2020-10-02,22.46376
2020-10-03,14.85507
2020-10-04,25.72463
2020-10-05,51.08695
2020-10-06,46.01449
2020-10-07,27.17391
2020-10-08,29.34782
2020-10-09,15.21739
2020-10-10,15.94202
2020-10-11,15.21739
2020-10-12,36.23188
2020-10-13,35.86956
2020-10-14,29.34782
2020-10-15,35.14492
2020-10-16,27.89855
2020-10-17,22.46376
2020-10-18,19.20289
2020-10-19,32.97101
2020-10-20,36.23188
2020-10-21,40.94202
2020-10-22,37.31884
2020-10-23,24.27536
2020-10-24,13.76811
2020-10-25,11.5942
2020-10-26,34.05797
2020-10-27,45.28985
2020-10-28,38.76811
2020-10-29,45.28985
2020-10-30,42.02898
2020-10-31,22.82608
2020-11-01,21.01449
2020-11-02,49.63768
2020-11-03,31.52173
2020-11-04,30.7971
2020-11-05,36.95652
2020-11-06,31.88405
2020-11-07,17.02898
2020-11-08,14.13043
2020-11-09,36.95652
2020-11-10,39.13043
2020-11-11,40.57971
2020-11-12,32.24637
2020-11-13,26.08695
2020-11-14,22.46376
2020-11-15,21.37681
2020-11-16,46.01449
2020-11-17,36.23188
2020-11-18,32.24637
2020-11-19,35.86956
2020-11-20,34.05797
2020-11-21,25.72463
2020-11-22,15.21739
2020-11-23,38.40579
2020-11-24,36.5942
2020-11-25,30.7971
2020-11-26,35.14492
2020-11-27,31.52173
2020-11-28,22.82608
2020-11-29,20.28985
2020-11-30,41.30434
2020-12-01,46.37681
2020-12-02,40.94202
2020-12-03,39.49275
2020-12-04,27.53623
2020-12-05,20.65217
2020-12-06,22.46376
2020-12-07,41.66666
2020-12-08,47.46376
2020-12-09,45.28985
2020-12-10,39.49275
2020-12-11,31.88405
2020-12-12,20.65217
2020-12-13,17.3913
2020-12-14,32.24637
2020-12-15,41.30434
2020-12-16,40.21739
2020-12-17,40.21739
2020-12-18,38.04347
2020-12-19,28.62318
2020-12-20,29.34782
2020-12-21,47.10144
2020-12-22,60.86956
2020-12-23,46.37681
2020-12-24,34.42028
2020-12-25,25.0
2020-12-26,28.9855
2020-12-27,23.55072
2020-12-28,50.0
2020-12-29,35.14492
2020-12-30,30.43478
2020-12-31,40.94202
2021-01-01,20.28985
2021-01-02,26.81159
2021-01-03,20.65217
2021-01-04,43.47826
2021-01-05,47.46376
2021-01-06,48.1884
2021-01-07,39.13043
2021-01-08,40.57971
2021-01-09,34.42028
2021-01-10,36.95652
2021-01-11,53.9855
2021-01-12,54.71014
2021-01-13,53.26086
2021-01-14,50.36231
2021-01-15,50.0
2021-01-16,38.76811
2021-01-17,25.72463
2021-01-18,44.92753
2021-01-19,46.37681
2021-01-20,38.76811
2021-01-21,37.31884
2021-01-22,34.42028
2021-01-23,25.0
2021-01-24,24.63768
2021-01-25,37.31884
2021-01-26,49.63768
2021-01-27,33.33333
2021-01-28,35.14492
2021-01-29,39.13043
2021-01-30,38.76811
2021-01-31,38.04347
2021-02-01,57.97101
2021-02-02,53.9855
2021-02-03,43.47826
2021-02-04,39.85507
2021-02-05,39.49275
2021-02-06,18.11594
2021-02-07,32.97101
2021-02-08,46.01449
2021-02-09,32.24637
2021-02-10,29.34782
2021-02-11,15.21739
2021-02-12,13.40579
2021-02-13,15.94202
2021-02-14,15.94202
2021-02-15,43.47826
2021-02-16,38.40579
2021-02-17,45.28985
2021-02-18,52.53623
2021-02-19,38.76811
2021-02-20,26.08695
2021-02-21,22.82608
2021-02-22,40.21739
2021-02-23,35.14492
2021-02-24,44.20289
2021-02-25,43.84057
2021-02-26,43.47826
2021-02-27,20.28985
2021-02-28,17.75362
2021-03-01,23.55072
2021-03-02,49.63768
2021-03-03,44.56521
2021-03-04,37.68115
2021-03-05,44.92753
2021-03-06,19.20289
2021-03-07,20.65217
2021-03-08,32.24637
2021-03-09,39.49275
2021-03-10,41.30434
2021-03-11,46.01449
2021-03-12,44.92753
2021-03-13,40.57971
2021-03-14,32.60869
2021-03-15,47.46376
2021-03-16,52.17391
2021-03-17,46.37681
2021-03-18,39.49275
2021-03-19,34.42028
2021-03-20,17.3913
2021-03-21,21.73913
2021-03-22,24.63768
2021-03-23,35.14492
2021-03-24,19.20289
2021-03-25,33.69565
2021-03-26,30.07246
2021-03-27,18.11594
2021-03-28,19.20289
2021-03-29,39.85507
2021-03-30,35.50724
2021-03-31,29.71014
2021-04-01,33.69565
2021-04-02,31.15942
2021-04-03,22.82608
2021-04-04,30.07246
2021-04-05,35.86956
2021-04-06,29.34782
2021-04-07,39.85507
2021-04-08,33.69565
2021-04-09,30.7971
2021-04-10,24.27536
2021-04-11,26.08695
2021-04-12,46.37681
2021-04-13,37.31884
2021-04-14,37.68115
2021-04-15,50.36231
2021-04-16,43.47826
2021-04-17,20.28985
2021-04-18,23.55072
2021-04-19,50.0
2021-04-20,50.0
2021-04-21,30.7971
2021-04-22,27.89855
2021-04-23,28.9855
2021-04-24,16.30434
2021-04-25,14.85507
2021-04-26,27.17391
2021-04-27,29.34782
2021-04-28,28.62318
2021-04-29,25.0
2021-04-30,28.62318
2021-05-01,26.08695
2021-05-02,13.04347
2021-05-03,32.60869
2021-05-04,38.04347
2021-05-05,35.14492
2021-05-06,44.56521
2021-05-07,39.13043
2021-05-08,27.89855
2021-05-09,26.44927
2021-05-10,34.7826
2021-05-11,40.21739
2021-05-12,39.85507
2021-05-13,32.24637
2021-05-14,34.7826
2021-05-15,18.47826
2021-05-16,18.47826
2021-05-17,37.31884
2021-05-18,30.07246
2021-05-19,27.17391
2021-05-20,47.46376
2021-05-21,43.11594
2021-05-22,29.71014
2021-05-23,29.34782
2021-05-24,46.01449
2021-05-25,46.37681
2021-05-26,42.3913
2021-05-27,45.65217
2021-05-28,43.11594
2021-05-29,18.11594
2021-05-30,19.20289
2021-05-31,47.46376
2021-06-01,54.34782
2021-06-02,56.88405
2021-06-03,51.81159
2021-06-04,38.76811
2021-06-05,26.08695
2021-06-06,27.89855
2021-06-07,41.66666
2021-06-08,41.30434
2021-06-09,47.82608
2021-06-10,44.20289
2021-06-11,34.42028
2021-06-12,28.9855
2021-06-13,29.34782
2021-06-14,50.72463
2021-06-15,43.11594
2021-06-16,42.3913
2021-06-17,37.31884
2021-06-18,29.71014
2021-06-19,28.62318
2021-06-20,26.08695
2021-06-21,38.04347
2021-06-22,30.7971
2021-06-23,32.97101
2021-06-24,35.14492
2021-06-25,27.89855
2021-06-26,21.37681
2021-06-27,18.11594
2021-06-28,43.11594
2021-06-29,46.73913
2021-06-30,55.07246
2021-07-01,48.1884
2021-07-02,42.02898
2021-07-03,26.08695
2021-07-04,23.55072
2021-07-05,48.91304
2021-07-06,44.56521
2021-07-07,58.33333
2021-07-08,42.75362
2021-07-09,43.84057
2021-07-10,26.44927
2021-07-11,21.73913
2021-07-12,63.04347
