date,해외증시
2020-03-20,87.03883
2020-03-21,54.20822
2020-03-22,10.41109
2020-03-23,57.73534
2020-03-24,100.0
2020-03-25,92.34168
2020-03-26,96.29449
2020-03-27,82.11303
2020-03-28,46.09584
2020-03-29,10.05837
2020-03-30,43.93902
2020-03-31,79.01159
2020-04-01,85.93205
2020-04-02,79.08862
2020-04-03,64.35579
2020-04-04,34.31038
2020-04-05,7.88534
2020-04-06,33.20765
2020-04-07,62.33276
2020-04-08,65.13419
2020-04-09,63.58144
2020-04-10,54.71904
2020-04-11,23.99659
2020-04-12,7.71912
2020-04-13,30.68596
2020-04-14,48.71888
2020-04-15,44.56336
2020-04-16,48.44725
2020-04-17,46.38368
2020-04-18,24.91688
2020-04-19,6.75018
2020-04-20,25.61825
2020-04-21,55.88259
2020-04-22,56.17043
2020-04-23,48.89321
2020-04-24,45.25257
2020-04-25,23.50198
2020-04-26,5.7488
2020-04-27,20.38028
2020-04-28,40.50514
2020-04-29,37.73615
2020-04-30,30.96164
2020-05-01,30.68596
2020-05-02,20.21
2020-05-03,6.02448
2020-05-04,21.50733
2020-05-05,37.25776
2020-05-06,39.31727
2020-05-07,42.18762
2020-05-08,34.77661
2020-05-09,19.51674
2020-05-10,5.19743
2020-05-11,20.60731
2020-05-12,38.24697
2020-05-13,40.64704
2020-05-14,45.4796
2020-05-15,40.64704
2020-05-16,20.56271
2020-05-17,5.12851
2020-05-18,20.46541
2020-05-19,41.82275
2020-05-20,44.9931
2020-05-21,41.58355
2020-05-22,39.63755
2020-05-23,20.91137
2020-05-24,5.35555
2020-05-25,20.08838
2020-05-26,36.68612
2020-05-27,38.36455
2020-05-28,41.17813
2020-05-29,36.00097
2020-05-30,18.50725
2020-05-31,5.06365
2020-06-01,19.61404
2020-06-02,36.41044
2020-06-03,38.64834
2020-06-04,38.74158
2020-06-05,36.16719
2020-06-06,19.41944
2020-06-07,4.80823
2020-06-08,19.79648
2020-06-09,36.7145
2020-06-10,37.9794
2020-06-11,42.11465
2020-06-12,58.93537
2020-06-13,28.69942
2020-06-14,5.91502
2020-06-15,31.14813
2020-06-16,56.95694
2020-06-17,49.16889
2020-06-18,44.68904
2020-06-19,37.69155
2020-06-20,20.23838
2020-06-21,5.2177
2020-06-22,19.50863
2020-06-23,38.49022
2020-06-24,38.98889
2020-06-25,53.81091
2020-06-26,42.30925
2020-06-27,25.92637
2020-06-28,5.8015
2020-06-29,25.9588
2020-06-30,46.81748
2020-07-01,43.64712
2020-07-02,41.62815
2020-07-03,36.43882
2020-07-04,16.44368
2020-07-05,5.10013
2020-07-06,22.08708
2020-07-07,40.06324
2020-07-08,39.25646
2020-07-09,38.38887
2020-07-10,35.50636
2020-07-11,18.05319
2020-07-12,4.45552
2020-07-13,18.48698
2020-07-14,42.33357
2020-07-15,39.49566
2020-07-16,40.95516
2020-07-17,35.10905
2020-07-18,17.95183
2020-07-19,4.65823
2020-07-20,18.43833
2020-07-21,35.04013
2020-07-22,35.90772
2020-07-23,36.07394
2020-07-24,35.76988
2020-07-25,19.05456
