date,현대바이오주가
2020-03-20,2.18154
2020-03-21,0.23545
2020-03-22,0.18988
2020-03-23,1.81443
2020-03-24,2.18407
2020-03-25,2.1039
2020-03-26,2.50645
2020-03-27,2.3115
2020-03-28,0.24895
2020-03-29,0.22701
2020-03-30,3.01787
2020-03-31,3.28793
2020-04-01,3.08201
2020-04-02,2.40687
2020-04-03,2.24483
2020-04-04,0.26583
2020-04-05,0.2211
2020-04-06,2.22374
2020-04-07,2.43725
2020-04-08,2.45075
2020-04-09,2.27606
2020-04-10,2.05495
2020-04-11,0.29452
2020-04-12,0.2287
2020-04-13,2.42628
2020-04-14,2.13175
2020-04-15,0.25486
2020-04-16,1.84566
2020-04-17,2.18492
2020-04-18,0.2844
2020-04-19,0.22364
2020-04-20,2.00938
2020-04-21,1.88701
2020-04-22,1.79333
2020-04-23,1.88785
2020-04-24,1.7849
2020-04-25,0.18566
2020-04-26,0.13587
2020-04-27,1.74439
2020-04-28,2.24568
2020-04-29,2.02795
2020-04-30,0.2287
2020-05-01,0.30887
2020-05-02,0.12236
2020-05-03,0.13249
2020-05-04,1.87604
2020-05-05,0.23545
2020-05-06,2.38408
2020-05-07,2.2499
2020-05-08,1.93089
2020-05-09,0.1865
2020-05-10,0.14431
2020-05-11,1.8119
2020-05-12,1.64058
2020-05-13,1.63721
2020-05-14,1.5545
2020-05-15,1.49796
2020-05-16,0.2076
2020-05-17,0.19916
2020-05-18,1.56885
2020-05-19,1.89883
2020-05-20,1.83891
2020-05-21,1.68869
2020-05-22,1.44479
2020-05-23,0.16034
2020-05-24,0.13418
2020-05-25,1.51737
2020-05-26,1.77899
2020-05-27,2.21867
2020-05-28,1.82625
2020-05-29,1.72751
2020-05-30,0.23461
2020-05-31,0.23883
2020-06-01,2.16635
2020-06-02,2.08196
2020-06-03,2.1731
2020-06-04,1.84144
2020-06-05,2.01022
2020-06-06,0.21773
2020-06-07,0.17806
2020-06-08,2.73347
2020-06-09,2.42037
2020-06-10,3.22632
2020-06-11,3.32337
2020-06-12,2.46257
2020-06-13,0.29706
2020-06-14,0.24642
2020-06-15,2.26087
2020-06-16,5.3606
2020-06-17,4.38672
2020-06-18,7.03242
2020-06-19,6.39779
2020-06-20,0.58399
2020-06-21,0.51226
2020-06-22,4.26266
2020-06-23,3.5352
2020-06-24,3.15796
2020-06-25,2.74106
2020-06-26,2.40771
2020-06-27,0.26752
2020-06-28,0.21857
2020-06-29,2.14863
2020-06-30,5.49563
2020-07-01,3.38329
2020-07-02,2.84571
2020-07-03,2.50561
2020-07-04,0.25402
2020-07-05,0.22279
2020-07-06,2.57565
2020-07-07,2.35201
2020-07-08,2.16635
2020-07-09,2.13512
2020-07-10,1.97478
2020-07-11,0.20422
2020-07-12,0.1595
2020-07-13,2.13681
2020-07-14,3.28793
2020-07-15,2.33935
2020-07-16,1.88195
2020-07-17,1.90304
2020-07-18,0.22448
2020-07-19,0.19157
2020-07-20,1.96296
2020-07-21,2.34442
2020-07-22,2.6938
2020-07-23,3.12927
2020-07-24,4.89813
2020-07-25,0.39158
2020-07-26,0.28693
2020-07-27,2.72165
2020-07-28,2.68283
2020-07-29,2.32838
2020-07-30,2.08449
2020-07-31,2.07774
2020-08-01,0.19663
2020-08-02,0.18397
2020-08-03,2.06508
2020-08-04,2.25496
2020-08-05,3.41283
2020-08-06,2.96048
2020-08-07,2.35623
2020-08-08,0.25064
2020-08-09,0.25824
2020-08-10,2.22374
2020-08-11,2.34948
2020-08-12,1.96887
2020-08-13,2.07099
2020-08-14,1.76802
2020-08-15,0.18735
2020-08-16,0.14768
2020-08-17,0.36288
2020-08-18,1.89545
2020-08-19,2.02963
2020-08-20,2.0271
2020-08-21,1.92583
2020-08-22,0.16118
2020-08-23,0.11392
2020-08-24,1.77983
2020-08-25,2.2364
2020-08-26,1.81275
2020-08-27,1.77477
2020-08-28,1.85325
2020-08-29,0.15443
2020-08-30,0.1249
2020-08-31,1.67772
2020-09-01,1.74186
2020-09-02,1.88532
2020-09-03,2.21614
2020-09-04,1.77139
2020-09-05,0.18144
2020-09-06,0.14515
2020-09-07,1.77308
2020-09-08,1.70135
2020-09-09,1.5621
2020-09-10,1.67265
2020-09-11,1.41104
2020-09-12,0.18481
2020-09-13,0.14431
2020-09-14,1.81275
2020-09-15,1.58657
2020-09-16,1.47939
