date,티스토리블로그
2020-03-20,48.47363
2020-03-21,41.99814
2020-03-22,37.92784
2020-03-23,54.57909
2020-03-24,48.93617
2020-03-25,51.89639
2020-03-26,61.60962
2020-03-27,46.25346
2020-03-28,35.52266
2020-03-29,40.79555
2020-03-30,50.04625
2020-03-31,46.99352
2020-04-01,44.95837
2020-04-02,45.69842
2020-04-03,40.98057
2020-04-04,32.46993
2020-04-05,34.13506
2020-04-06,44.0333
2020-04-07,40.0555
2020-04-08,42.92321
2020-04-09,39.03792
2020-04-10,38.94542
2020-04-11,31.17483
2020-04-12,37.65032
2020-04-13,44.86586
2020-04-14,38.11285
2020-04-15,35.98519
2020-04-16,38.57539
2020-04-17,42.18316
2020-04-18,29.78723
2020-04-19,36.35522
2020-04-20,46.43848
2020-04-21,45.88344
2020-04-22,47.27104
2020-04-23,40.33302
2020-04-24,38.29787
2020-04-25,34.87511
2020-04-26,34.41258
2020-04-27,45.79093
2020-04-28,36.26271
2020-04-29,37.09528
2020-04-30,29.87974
2020-05-01,26.64199
2020-05-02,30.7123
2020-05-03,34.13506
2020-05-04,36.81776
2020-05-05,34.22756
2020-05-06,38.39037
2020-05-07,37.83533
2020-05-08,32.0074
2020-05-09,28.67715
2020-05-10,30.34227
2020-05-11,41.16558
2020-05-12,37.92784
2020-05-13,42.92321
2020-05-14,39.22294
2020-05-15,35.33765
2020-05-16,48.1036
2020-05-17,38.20536
2020-05-18,47.73358
2020-05-19,46.25346
2020-05-20,38.11285
2020-05-21,41.4431
2020-05-22,33.67252
2020-05-23,29.23219
2020-05-24,34.04255
2020-05-25,41.62812
2020-05-26,42.7382
2020-05-27,41.90564
2020-05-28,39.50046
2020-05-29,33.11748
2020-05-30,32.83996
2020-05-31,35.06012
2020-06-01,43.47826
2020-06-02,41.4431
2020-06-03,35.43015
2020-06-04,38.11285
2020-06-05,34.96762
2020-06-06,28.30712
2020-06-07,29.78723
2020-06-08,39.50046
2020-06-09,37.4653
2020-06-10,34.87511
2020-06-11,33.11748
2020-06-12,31.91489
2020-06-13,25.90194
2020-06-14,30.80481
2020-06-15,33.58001
2020-06-16,34.59759
2020-06-17,34.13506
2020-06-18,33.02497
2020-06-19,30.15726
2020-06-20,24.14431
2020-06-21,28.0296
2020-06-22,38.39037
2020-06-23,33.11748
2020-06-24,37.00277
2020-06-25,35.70767
2020-06-26,31.91489
2020-06-27,21.18408
