date,MSCI
2020-03-20,0.04197
2020-03-21,0.02366
2020-03-22,0.02789
2020-03-23,0.05437
2020-03-24,0.04254
2020-03-25,0.03634
2020-03-26,0.03324
2020-03-27,0.03183
2020-03-28,0.02056
2020-03-29,0.0231
2020-03-30,0.04395
2020-03-31,0.03831
2020-04-01,0.03549
2020-04-02,0.04197
2020-04-03,0.04226
2020-04-04,0.02761
2020-04-05,0.03578
2020-04-06,0.04986
2020-04-07,0.04254
2020-04-08,0.04507
2020-04-09,0.04395
2020-04-10,0.04366
2020-04-11,0.02084
2020-04-12,0.03099
2020-04-13,0.04507
2020-04-14,0.0524
2020-04-15,0.02817
2020-04-16,0.04254
2020-04-17,0.06423
2020-04-18,0.03944
2020-04-19,0.05014
2020-04-20,0.04817
2020-04-21,0.03803
2020-04-22,0.05606
2020-04-23,0.09748
2020-04-24,0.05071
2020-04-25,0.02563
2020-04-26,0.03465
2020-04-27,0.04676
2020-04-28,0.04338
2020-04-29,0.04113
2020-04-30,0.02338
2020-05-01,0.01831
2020-05-02,0.02704
2020-05-03,0.02507
2020-05-04,0.05578
2020-05-05,0.03662
2020-05-06,0.16059
2020-05-07,0.30737
2020-05-08,0.14171
2020-05-09,0.08818
2020-05-10,0.07353
2020-05-11,0.29019
2020-05-12,0.32625
2020-05-13,1.78003
2020-05-14,0.25891
2020-05-15,0.08452
2020-05-16,0.04226
2020-05-17,0.0431
2020-05-18,0.05775
2020-05-19,0.05127
2020-05-20,0.03718
2020-05-21,0.03155
2020-05-22,0.04648
2020-05-23,0.03268
2020-05-24,0.02648
2020-05-25,0.04789
2020-05-26,0.04592
2020-05-27,0.11241
2020-05-28,0.111
2020-05-29,16.10487
2020-05-30,0.80606
2020-05-31,0.32202
2020-06-01,0.21102
2020-06-02,0.08367
2020-06-03,0.06733
2020-06-04,0.05634
2020-06-05,0.05212
2020-06-06,0.03803
2020-06-07,0.04817
2020-06-08,0.04789
2020-06-09,0.04451
2020-06-10,0.04057
2020-06-11,0.04705
2020-06-12,0.04733
2020-06-13,0.01915
2020-06-14,0.01296
2020-06-15,0.02451
2020-06-16,0.02394
2020-06-17,0.03099
2020-06-18,0.0169
2020-06-19,0.02761
2020-06-20,0.01549
2020-06-21,0.01183
2020-06-22,0.02253
2020-06-23,0.03014
2020-06-24,0.03352
2020-06-25,0.03099
2020-06-26,0.02479
2020-06-27,0.01746
2020-06-28,0.01183
2020-06-29,0.02366
2020-06-30,0.02958
2020-07-01,0.2144
2020-07-02,0.05409
2020-07-03,0.04141
2020-07-04,0.01577
2020-07-05,0.02873
2020-07-06,0.06339
2020-07-07,0.05409
2020-07-08,0.06029
2020-07-09,0.04564
2020-07-10,0.04113
2020-07-11,0.02253
2020-07-12,0.0324
2020-07-13,0.03268
2020-07-14,0.06226
2020-07-15,0.06733
2020-07-16,0.05409
2020-07-17,0.03409
2020-07-18,0.01972
2020-07-19,0.0262
2020-07-20,0.04197
2020-07-21,0.05409
2020-07-22,0.06564
2020-07-23,0.05437
2020-07-24,0.04845
2020-07-25,0.04761
2020-07-26,0.03211
2020-07-27,0.23215
2020-07-28,0.14622
2020-07-29,0.38542
2020-07-30,0.31526
2020-07-31,0.94411
2020-08-01,0.30371
2020-08-02,0.24736
2020-08-03,0.37217
2020-08-04,0.30766
2020-08-05,0.19496
2020-08-06,0.2992
2020-08-07,0.30512
2020-08-08,0.1527
2020-08-09,0.39049
2020-08-10,0.54291
2020-08-11,0.43726
2020-08-12,1.36841
2020-08-13,100.0
2020-08-14,0.54573
2020-08-15,0.15495
2020-08-16,0.1048
2020-08-17,0.09438
2020-08-18,0.19496
2020-08-19,0.13241
2020-08-20,0.16397
2020-08-21,0.13016
2020-08-22,0.07578
2020-08-23,0.05662
2020-08-24,0.16904
2020-08-25,0.16988
2020-08-26,0.17073
2020-08-27,0.16284
2020-08-28,0.15805
2020-08-29,0.08705
2020-08-30,0.08339
2020-08-31,30.8371
2020-09-01,1.42053
2020-09-02,0.46768
2020-09-03,0.23807
2020-09-04,0.16481
2020-09-05,0.09212
2020-09-06,0.12565
2020-09-07,0.162
2020-09-08,0.10931
2020-09-09,0.11016
2020-09-10,0.07691
2020-09-11,0.07268
2020-09-12,0.05184
2020-09-13,0.04564
2020-09-14,0.06085
2020-09-15,0.05662
2020-09-16,0.07409
2020-09-17,0.05972
2020-09-18,0.17806
2020-09-19,0.09015
2020-09-20,0.08987
2020-09-21,0.11044
2020-09-22,0.0662
2020-09-23,0.05184
2020-09-24,0.06367
2020-09-25,0.03916
2020-09-26,0.02648
2020-09-27,0.02507
2020-09-28,0.04564
2020-09-29,0.05212
2020-09-30,0.01944
2020-10-01,0.02197
2020-10-02,0.02479
2020-10-03,0.02169
2020-10-04,0.02676
2020-10-05,0.0431
2020-10-06,0.04789
2020-10-07,0.06592
2020-10-08,0.05972
2020-10-09,0.04057
2020-10-10,0.02282
2020-10-11,0.03183
2020-10-12,0.08733
2020-10-13,0.68124
2020-10-14,0.38204
2020-10-15,0.15721
2020-10-16,0.08931
2020-10-17,0.06423
2020-10-18,0.14566
2020-10-19,0.48008
2020-10-20,0.23835
2020-10-21,0.2916
2020-10-22,0.18313
2020-10-23,0.22116
2020-10-24,0.09494
2020-10-25,0.09381
2020-10-26,0.18087
2020-10-27,0.19552
2020-10-28,0.15016
2020-10-29,0.18876
2020-10-30,0.28709
2020-10-31,0.23271
2020-11-01,0.5894
2020-11-02,0.39584
2020-11-03,0.39218
2020-11-04,0.38401
2020-11-05,0.2499
2020-11-06,0.20595
2020-11-07,0.111
2020-11-08,0.29188
2020-11-09,0.94185
2020-11-10,4.9375
2020-11-11,85.10407
2020-11-12,0.59081
2020-11-13,0.22201
2020-11-14,0.11438
2020-11-15,0.11185
2020-11-16,0.12227
2020-11-17,0.11297
2020-11-18,0.13241
2020-11-19,0.11325
2020-11-20,0.14087
2020-11-21,0.07888
2020-11-22,0.07099
2020-11-23,0.12171
2020-11-24,0.12875
2020-11-25,0.18961
2020-11-26,0.30258
2020-11-27,0.55418
2020-11-28,0.20707
2020-11-29,0.21806
2020-11-30,38.5168
2020-12-01,1.59409
2020-12-02,0.42148
2020-12-03,0.21806
2020-12-04,0.17918
2020-12-05,0.10537
2020-12-06,0.12791
2020-12-07,0.15608
2020-12-08,0.13213
2020-12-09,0.11523
2020-12-10,0.111
2020-12-11,0.1265
2020-12-12,0.11382
2020-12-13,0.08142
2020-12-14,0.11973
2020-12-15,0.15833
2020-12-16,0.18989
2020-12-17,0.57925
2020-12-18,0.32174
2020-12-19,0.11607
2020-12-20,0.09635
2020-12-21,0.10818
2020-12-22,0.10987
2020-12-23,0.08255
2020-12-24,0.08226
2020-12-25,0.05832
2020-12-26,0.05493
2020-12-27,0.06367
2020-12-28,0.10677
2020-12-29,0.12847
2020-12-30,0.16538
2020-12-31,0.23271
2021-01-01,0.12002
2021-01-02,0.11607
2021-01-03,0.13354
2021-01-04,0.42345
2021-01-05,0.70773
2021-01-06,0.32935
2021-01-07,0.27892
2021-01-08,0.60067
2021-01-09,0.26737
2021-01-10,0.23863
2021-01-11,0.27582
2021-01-12,0.18172
2021-01-13,0.2206
2021-01-14,0.17411
2021-01-15,0.16481
