date,고금리예금
2020-03-20,2.4251
2020-03-21,1.99714
2020-03-22,1.0699
2020-03-23,2.78174
2020-03-24,2.85306
2020-03-25,3.99429
2020-03-26,3.99429
2020-03-27,3.92296
2020-03-28,2.28245
2020-03-29,1.49786
2020-03-30,2.92439
2020-03-31,1.99714
2020-04-01,3.28102
2020-04-02,2.63908
2020-04-03,2.92439
2020-04-04,2.56776
2020-04-05,3.13837
2020-04-06,3.13837
2020-04-07,3.42368
2020-04-08,3.13837
2020-04-09,4.99286
2020-04-10,3.2097
2020-04-11,2.4251
2020-04-12,2.4251
2020-04-13,3.78031
2020-04-14,4.5649
2020-04-15,2.06847
2020-04-16,3.42368
2020-04-17,4.06562
2020-04-18,1.71184
2020-04-19,2.85306
2020-04-20,4.85021
2020-04-21,4.42225
2020-04-22,4.2796
2020-04-23,4.2796
2020-04-24,2.35378
2020-04-25,1.92582
2020-04-26,2.35378
2020-04-27,3.06704
2020-04-28,4.2796
2020-04-29,2.92439
2020-04-30,2.56776
2020-05-01,1.85449
2020-05-02,1.49786
2020-05-03,2.06847
2020-05-04,1.49786
2020-05-05,3.28102
2020-05-06,2.99572
2020-05-07,2.35378
2020-05-08,2.21112
2020-05-09,1.21255
2020-05-10,1.71184
2020-05-11,2.1398
2020-05-12,2.49643
2020-05-13,4.2796
2020-05-14,3.70898
2020-05-15,2.71041
2020-05-16,2.06847
2020-05-17,2.78174
2020-05-18,3.495
2020-05-19,2.35378
2020-05-20,2.28245
2020-05-21,2.99572
2020-05-22,2.1398
2020-05-23,2.4251
2020-05-24,2.99572
2020-05-25,2.49643
2020-05-26,2.92439
2020-05-27,1.71184
2020-05-28,2.21112
2020-05-29,2.99572
2020-05-30,1.42653
2020-05-31,2.1398
2020-06-01,2.4251
2020-06-02,3.13837
2020-06-03,2.28245
2020-06-04,1.56918
2020-06-05,2.06847
2020-06-06,0.71326
2020-06-07,1.21255
2020-06-08,2.21112
2020-06-09,2.99572
2020-06-10,4.35092
2020-06-11,3.85164
2020-06-12,3.85164
2020-06-13,1.3552
2020-06-14,1.42653
2020-06-15,3.78031
2020-06-16,3.2097
2020-06-17,2.1398
2020-06-18,3.42368
2020-06-19,1.71184
2020-06-20,1.0699
2020-06-21,1.0699
2020-06-22,2.35378
2020-06-23,3.63766
2020-06-24,3.06704
2020-06-25,2.71041
2020-06-26,2.06847
2020-06-27,1.42653
2020-06-28,0.99857
2020-06-29,2.35378
2020-06-30,2.35378
2020-07-01,2.56776
2020-07-02,1.92582
2020-07-03,2.35378
2020-07-04,1.14122
2020-07-05,1.71184
2020-07-06,2.92439
2020-07-07,3.35235
2020-07-08,2.4251
2020-07-09,2.1398
2020-07-10,1.99714
2020-07-11,1.21255
2020-07-12,1.14122
2020-07-13,2.63908
2020-07-14,2.35378
2020-07-15,3.28102
2020-07-16,2.78174
2020-07-17,2.56776
2020-07-18,0.64194
2020-07-19,1.49786
2020-07-20,3.92296
2020-07-21,2.56776
2020-07-22,2.49643
2020-07-23,1.64051
2020-07-24,0.99857
2020-07-25,1.21255
2020-07-26,1.3552
2020-07-27,1.78316
2020-07-28,2.4251
2020-07-29,3.13837
2020-07-30,1.92582
