date,주식검색기
2020-03-20,3.60824
2020-03-21,8.24742
2020-03-22,2.57731
2020-03-23,5.15463
2020-03-24,14.43298
2020-03-25,13.40206
2020-03-26,20.61855
2020-03-27,18.04123
2020-03-28,13.91752
2020-03-29,12.88659
2020-03-30,15.97938
2020-03-31,21.13402
2020-04-01,17.0103
2020-04-02,26.80412
2020-04-03,21.13402
2020-04-04,17.0103
2020-04-05,12.37113
2020-04-06,22.68041
2020-04-07,21.13402
2020-04-08,27.83505
2020-04-09,31.95876
2020-04-10,34.53608
2020-04-11,17.52577
2020-04-12,17.0103
2020-04-13,13.91752
2020-04-14,23.19587
2020-04-15,14.43298
2020-04-16,11.85567
2020-04-17,24.74226
2020-04-18,17.0103
2020-04-19,16.49484
2020-04-20,14.94845
2020-04-21,23.71134
2020-04-22,28.86597
2020-04-23,31.95876
2020-04-24,18.04123
2020-04-25,19.58762
2020-04-26,21.13402
2020-04-27,26.28865
2020-04-28,36.59793
2020-04-29,23.19587
2020-04-30,27.83505
2020-05-01,19.58762
2020-05-02,14.94845
2020-05-03,7.21649
2020-05-04,21.64948
2020-05-05,12.37113
2020-05-06,34.53608
2020-05-07,32.98969
2020-05-08,25.25773
2020-05-09,18.5567
2020-05-10,17.52577
2020-05-11,25.25773
2020-05-12,27.83505
2020-05-13,25.77319
2020-05-14,24.2268
2020-05-15,30.41237
2020-05-16,20.61855
2020-05-17,16.49484
2020-05-18,29.8969
2020-05-19,37.1134
2020-05-20,37.1134
2020-05-21,42.26804
2020-05-22,31.44329
2020-05-23,25.77319
2020-05-24,17.52577
2020-05-25,24.2268
2020-05-26,32.47422
2020-05-27,30.41237
2020-05-28,25.25773
2020-05-29,29.8969
2020-05-30,22.68041
2020-05-31,18.5567
2020-06-01,15.46391
2020-06-02,27.31958
2020-06-03,25.77319
2020-06-04,24.2268
2020-06-05,34.53608
2020-06-06,9.27835
2020-06-07,18.04123
2020-06-08,23.19587
2020-06-09,36.59793
2020-06-10,33.50515
2020-06-11,36.08247
2020-06-12,28.35051
2020-06-13,15.46391
2020-06-14,14.94845
2020-06-15,17.52577
2020-06-16,20.10309
2020-06-17,25.25773
2020-06-18,29.38144
2020-06-19,23.71134
2020-06-20,22.68041
2020-06-21,15.97938
2020-06-22,23.19587
2020-06-23,29.8969
2020-06-24,32.98969
2020-06-25,33.50515
2020-06-26,24.74226
2020-06-27,22.16494
2020-06-28,15.97938
2020-06-29,19.07216
2020-06-30,21.13402
2020-07-01,20.10309
2020-07-02,16.49484
2020-07-03,17.52577
2020-07-04,20.61855
2020-07-05,20.10309
2020-07-06,21.13402
2020-07-07,21.64948
2020-07-08,24.2268
2020-07-09,21.13402
2020-07-10,15.46391
2020-07-11,21.64948
2020-07-12,14.43298
2020-07-13,29.38144
2020-07-14,23.19587
2020-07-15,29.38144
2020-07-16,25.77319
2020-07-17,24.2268
2020-07-18,26.80412
2020-07-19,24.2268
2020-07-20,16.49484
2020-07-21,28.86597
2020-07-22,41.75257
2020-07-23,29.8969
2020-07-24,32.98969
2020-07-25,30.41237
2020-07-26,26.80412
2020-07-27,29.38144
2020-07-28,34.53608
2020-07-29,40.20618
2020-07-30,36.59793
2020-07-31,35.05154
2020-08-01,27.31958
2020-08-02,18.04123
2020-08-03,28.86597
2020-08-04,31.95876
2020-08-05,44.32989
2020-08-06,34.02061
2020-08-07,28.35051
2020-08-08,25.77319
2020-08-09,23.19587
2020-08-10,34.53608
2020-08-11,35.56701
2020-08-12,32.47422
2020-08-13,31.44329
2020-08-14,36.59793
2020-08-15,17.52577
2020-08-16,12.88659
2020-08-17,17.0103
2020-08-18,14.43298
2020-08-19,19.58762
2020-08-20,31.44329
2020-08-21,29.38144
2020-08-22,25.77319
2020-08-23,21.13402
2020-08-24,28.35051
2020-08-25,37.1134
2020-08-26,26.80412
2020-08-27,39.17525
