date,해외주식양도소득세
2020-03-20,11.70178
2020-03-21,12.12317
2020-03-22,11.02106
2020-03-23,12.44732
2020-03-24,15.72123
2020-03-25,16.04538
2020-03-26,15.81847
2020-03-27,14.55429
2020-03-28,10.21069
2020-03-29,9.72447
2020-03-30,11.3128
2020-03-31,15.04051
2020-04-01,14.23014
2020-04-02,14.26256
2020-04-03,13.19286
2020-04-04,8.65478
2020-04-05,7.00162
2020-04-06,13.12803
2020-04-07,17.1799
2020-04-08,19.67585
2020-04-09,24.7974
2020-04-10,17.05024
2020-04-11,11.34521
2020-04-12,9.10858
2020-04-13,12.96596
2020-04-14,18.7034
2020-04-15,19.80551
2020-04-16,17.92544
2020-04-17,20.8752
2020-04-18,15.55915
2020-04-19,10.76175
2020-04-20,28.97893
2020-04-21,19.61102
2020-04-22,18.80064
2020-04-23,18.47649
2020-04-24,14.16531
2020-04-25,11.66936
2020-04-26,8.2658
2020-04-27,14.3598
2020-04-28,16.46677
2020-04-29,19.44894
2020-04-30,22.98217
2020-05-01,18.282
2020-05-02,10.59967
2020-05-03,8.36304
2020-05-04,14.5867
2020-05-05,11.47487
2020-05-06,17.11507
2020-05-07,16.17504
2020-05-08,14.32739
2020-05-09,13.19286
2020-05-10,8.65478
2020-05-11,14.87844
2020-05-12,17.73095
2020-05-13,14.06807
2020-05-14,13.25769
2020-05-15,13.61426
2020-05-16,8.29821
2020-05-17,8.52512
2020-05-18,16.49918
2020-05-19,22.75526
2020-05-20,17.43922
2020-05-21,20.77795
2020-05-22,14.61912
2020-05-23,9.43273
2020-05-24,9.56239
2020-05-25,20.0
2020-05-26,24.95948
2020-05-27,23.14424
2020-05-28,20.12965
2020-05-29,14.23014
2020-05-30,9.20583
2020-05-31,9.85413
2020-06-01,14.00324
2020-06-02,13.58184
2020-06-03,15.39708
2020-06-04,19.90275
2020-06-05,24.66774
2020-06-06,23.43598
2020-06-07,13.51701
2020-06-08,24.18152
2020-06-09,30.85899
2020-06-10,21.68557
2020-06-11,16.17504
2020-06-12,11.34521
2020-06-13,6.67747
2020-06-14,6.35332
2020-06-15,18.24959
2020-06-16,22.3987
2020-06-17,13.16045
2020-06-18,11.99351
2020-06-19,9.141
2020-06-20,5.2188
2020-06-21,8.16855
2020-06-22,10.6645
2020-06-23,16.79092
2020-06-24,14.61912
2020-06-25,56.82333
2020-06-26,30.85899
2020-06-27,12.05834
2020-06-28,10.6645
2020-06-29,14.29497
2020-06-30,13.90599
2020-07-01,17.95786
2020-07-02,21.65316
2020-07-03,16.5316
2020-07-04,10.92382
2020-07-05,9.17341
2020-07-06,16.95299
2020-07-07,25.96434
2020-07-08,20.48622
2020-07-09,18.15235
2020-07-10,13.93841
2020-07-11,17.11507
2020-07-12,11.50729
2020-07-13,21.7504
2020-07-14,20.29173
2020-07-15,16.33711
2020-07-16,11.5397
2020-07-17,13.45218
2020-07-18,9.04376
2020-07-19,5.47811
2020-07-20,9.3679
2020-07-21,18.21717
2020-07-22,23.43598
2020-07-23,19.3517
2020-07-24,10.69692
