date,페이코인
2020-03-20,0.12568
2020-03-21,0.12138
2020-03-22,0.11077
2020-03-23,0.07007
2020-03-24,0.06248
2020-03-25,0.10303
2020-03-26,0.06678
2020-03-27,0.06663
2020-03-28,0.07079
2020-03-29,0.07924
2020-03-30,0.05803
2020-03-31,0.08684
2020-04-01,0.04972
2020-04-02,0.03969
2020-04-03,0.0364
2020-04-04,0.03009
2020-04-05,0.03539
2020-04-06,0.02823
2020-04-07,0.03095
2020-04-08,0.0321
2020-04-09,0.03339
2020-04-10,0.04886
2020-04-11,0.03711
2020-04-12,0.03783
2020-04-13,0.03109
2020-04-14,0.02837
2020-04-15,0.07122
2020-04-16,0.02808
2020-04-17,0.03654
2020-04-18,0.02608
2020-04-19,0.0288
2020-04-20,0.02608
2020-04-21,0.06649
2020-04-22,0.45242
2020-04-23,0.05331
2020-04-24,0.03138
2020-04-25,0.02722
2020-04-26,0.03425
2020-04-27,0.0513
2020-04-28,0.06448
2020-04-29,0.04557
2020-04-30,0.05245
2020-05-01,0.06635
2020-05-02,0.05202
2020-05-03,0.05546
2020-05-04,0.05503
2020-05-05,0.08082
2020-05-06,0.30667
2020-05-07,0.10576
2020-05-08,0.04987
2020-05-09,0.04557
2020-05-10,0.04671
2020-05-11,0.05245
2020-05-12,0.04714
2020-05-13,0.04026
2020-05-14,0.04944
2020-05-15,0.07495
2020-05-16,0.05961
2020-05-17,0.05846
2020-05-18,0.06233
2020-05-19,0.04671
2020-05-20,0.0417
2020-05-21,0.03597
2020-05-22,0.03281
2020-05-23,0.0288
2020-05-24,0.03253
2020-05-25,0.06176
2020-05-26,0.04571
2020-05-27,0.05216
2020-05-28,0.03826
2020-05-29,0.03811
2020-05-30,0.05101
2020-05-31,0.06864
2020-06-01,0.07652
2020-06-02,0.0728
2020-06-03,0.06033
2020-06-04,0.0576
2020-06-05,0.0609
2020-06-06,0.04241
2020-06-07,0.03912
2020-06-08,0.05503
2020-06-09,0.047
2020-06-10,0.05861
2020-06-11,0.0417
2020-06-12,0.04356
2020-06-13,0.04356
2020-06-14,0.03711
2020-06-15,0.03425
2020-06-16,0.03883
2020-06-17,0.0652
2020-06-18,0.07509
2020-06-19,0.04241
2020-06-20,0.03883
2020-06-21,0.03797
2020-06-22,0.1026
2020-06-23,0.12252
2020-06-24,0.31785
2020-06-25,0.10447
2020-06-26,0.09974
2020-06-27,0.1016
2020-06-28,0.10475
2020-06-29,0.09071
2020-06-30,0.11435
2020-07-01,0.05417
2020-07-02,0.03711
2020-07-03,0.03296
2020-07-04,0.02292
2020-07-05,0.02952
2020-07-06,0.03253
2020-07-07,0.0695
