date,차용증법적효력
2020-03-20,72.43066
2020-03-21,50.73409
2020-03-22,50.73409
2020-03-23,72.26753
2020-03-24,83.68678
2020-03-25,87.43882
2020-03-26,87.76508
2020-03-27,70.79934
2020-03-28,53.01794
2020-03-29,51.06035
2020-03-30,78.79282
2020-03-31,77.32463
2020-04-01,68.67862
2020-04-02,74.06199
2020-04-03,68.51549
2020-04-04,46.32952
2020-04-05,52.20228
2020-04-06,68.18923
2020-04-07,74.38825
2020-04-08,80.26101
2020-04-09,68.35236
2020-04-10,70.47308
2020-04-11,52.85481
2020-04-12,49.10277
2020-04-13,69.49429
2020-04-14,66.55791
2020-04-15,51.22349
2020-04-16,66.72104
2020-04-17,58.8907
2020-04-18,46.49265
2020-04-19,47.96084
2020-04-20,76.01957
2020-04-21,69.65742
2020-04-22,67.37357
2020-04-23,67.21044
2020-04-24,61.50081
2020-04-25,48.61337
2020-04-26,51.38662
2020-04-27,78.30342
2020-04-28,72.5938
2020-04-29,68.18923
2020-04-30,51.22349
2020-05-01,57.9119
2020-05-02,37.68352
2020-05-03,44.2088
2020-05-04,60.52202
2020-05-05,52.20228
2020-05-06,70.79934
2020-05-07,81.89233
2020-05-08,67.69983
2020-05-09,47.47145
2020-05-10,48.12398
2020-05-11,74.06199
2020-05-12,59.86949
2020-05-13,70.47308
2020-05-14,65.41598
2020-05-15,61.01141
2020-05-16,46.49265
2020-05-17,47.63458
2020-05-18,73.57259
2020-05-19,70.47308
2020-05-20,74.71451
2020-05-21,76.83523
2020-05-22,73.89885
2020-05-23,54.48613
2020-05-24,51.06035
2020-05-25,87.60195
2020-05-26,79.44535
2020-05-27,84.01305
2020-05-28,82.38172
2020-05-29,63.4584
2020-05-30,47.63458
2020-05-31,51.38662
2020-06-01,77.1615
2020-06-02,78.14029
2020-06-03,75.20391
2020-06-04,70.63621
2020-06-05,70.47308
2020-06-06,42.25122
2020-06-07,47.79771
2020-06-08,84.82871
2020-06-09,74.55138
2020-06-10,73.08319
2020-06-11,83.03425
2020-06-12,64.60032
2020-06-13,46.49265
2020-06-14,51.87601
2020-06-15,76.50897
2020-06-16,78.95595
2020-06-17,77.81402
2020-06-18,71.77814
2020-06-19,72.43066
2020-06-20,52.52854
2020-06-21,53.67047
2020-06-22,85.48123
2020-06-23,80.58727
2020-06-24,83.52365
2020-06-25,83.19738
2020-06-26,73.40946
2020-06-27,47.30831
2020-06-28,45.02446
2020-06-29,83.68678
2020-06-30,80.91353
2020-07-01,86.78629
2020-07-02,83.84991
2020-07-03,71.94127
2020-07-04,47.79771
2020-07-05,52.03915
2020-07-06,79.93474
2020-07-07,76.34584
2020-07-08,70.96247
2020-07-09,72.1044
2020-07-10,67.69983
2020-07-11,44.04567
2020-07-12,59.38009
2020-07-13,76.34584
2020-07-14,76.6721
2020-07-15,82.70799
2020-07-16,68.67862
2020-07-17,61.99021
2020-07-18,44.37194
2020-07-19,49.59216
2020-07-20,95.4323
2020-07-21,83.03425
2020-07-22,82.70799
2020-07-23,69.33115
2020-07-24,67.37357
2020-07-25,47.79771
2020-07-26,47.79771
2020-07-27,80.91353
2020-07-28,88.90701
2020-07-29,86.2969
2020-07-30,75.85644
2020-07-31,69.00489
2020-08-01,46.00326
2020-08-02,43.71941
2020-08-03,72.75693
2020-08-04,69.98368
2020-08-05,71.12561
2020-08-06,73.24632
2020-08-07,59.70636
2020-08-08,34.91027
2020-08-09,44.2088
2020-08-10,76.83523
2020-08-11,70.14681
2020-08-12,70.79934
2020-08-13,65.57911
2020-08-14,58.4013
2020-08-15,38.49918
2020-08-16,35.0734
2020-08-17,48.61337
2020-08-18,67.69983
2020-08-19,61.01141
2020-08-20,74.55138
2020-08-21,72.26753
2020-08-22,43.39314
2020-08-23,40.1305
2020-08-24,75.04078
2020-08-25,70.96247
2020-08-26,71.28874
2020-08-27,66.23164
2020-08-28,61.01141
2020-08-29,42.90375
2020-08-30,41.76182
2020-08-31,76.01957
2020-09-01,76.99836
2020-09-02,69.49429
2020-09-03,61.50081
2020-09-04,67.37357
2020-09-05,37.52039
2020-09-06,39.47797
2020-09-07,65.41598
2020-09-08,72.43066
2020-09-09,65.25285
2020-09-10,67.5367
2020-09-11,56.93311
2020-09-12,39.15171
2020-09-13,40.6199
2020-09-14,71.77814
2020-09-15,68.0261
2020-09-16,65.57911
2020-09-17,70.63621
2020-09-18,72.1044
2020-09-19,46.98205
2020-09-20,44.2088
2020-09-21,84.17618
2020-09-22,73.24632
2020-09-23,78.30342
2020-09-24,83.84991
2020-09-25,61.82707
2020-09-26,52.85481
2020-09-27,50.57096
2020-09-28,73.73572
2020-09-29,65.25285
2020-09-30,38.49918
2020-10-01,36.0522
2020-10-02,40.1305
2020-10-03,41.10929
2020-10-04,45.67699
2020-10-05,79.60848
2020-10-06,81.07667
2020-10-07,85.48123
2020-10-08,76.01957
2020-10-09,53.01794
2020-10-10,46.81892
2020-10-11,44.37194
2020-10-12,81.89233
2020-10-13,77.65089
2020-10-14,81.2398
2020-10-15,84.66557
2020-10-16,67.37357
2020-10-17,53.18107
2020-10-18,50.24469
2020-10-19,73.24632
2020-10-20,86.62316
2020-10-21,87.27569
2020-10-22,75.53017
2020-10-23,71.45187
2020-10-24,46.49265
2020-10-25,54.48613
2020-10-26,84.33931
2020-10-27,79.11908
2020-10-28,88.58075
2020-10-29,87.27569
2020-10-30,78.79282
2020-10-31,47.30831
2020-11-01,48.45024
2020-11-02,85.64437
2020-11-03,75.04078
2020-11-04,67.5367
2020-11-05,74.71451
2020-11-06,69.82055
2020-11-07,51.87601
2020-11-08,46.16639
2020-11-09,79.44535
2020-11-10,74.06199
2020-11-11,73.73572
2020-11-12,75.85644
2020-11-13,61.82707
2020-11-14,48.12398
2020-11-15,50.57096
2020-11-16,82.05546
2020-11-17,74.55138
2020-11-18,76.6721
2020-11-19,76.83523
2020-11-20,62.969
2020-11-21,48.93964
2020-11-22,51.22349
2020-11-23,82.38172
2020-11-24,69.00489
2020-11-25,78.14029
2020-11-26,78.95595
2020-11-27,63.29526
2020-11-28,47.79771
2020-11-29,51.22349
2020-11-30,69.16802
2020-12-01,74.71451
2020-12-02,74.55138
2020-12-03,74.06199
2020-12-04,66.72104
2020-12-05,51.54975
2020-12-06,41.59869
2020-12-07,77.1615
2020-12-08,73.57259
2020-12-09,75.53017
2020-12-10,78.14029
2020-12-11,78.62969
2020-12-12,51.38662
2020-12-13,48.93964
2020-12-14,69.00489
2020-12-15,78.14029
2020-12-16,81.56606
2020-12-17,78.79282
2020-12-18,67.86296
2020-12-19,46.65579
2020-12-20,49.10277
2020-12-21,74.06199
2020-12-22,66.39477
2020-12-23,75.53017
2020-12-24,59.38009
2020-12-25,37.35725
2020-12-26,44.53507
2020-12-27,53.18107
2020-12-28,96.57422
2020-12-29,81.7292
2020-12-30,75.85644
2020-12-31,68.18923
2021-01-01,39.6411
2021-01-02,42.41435
2021-01-03,44.86133
2021-01-04,80.58727
2021-01-05,80.26101
2021-01-06,78.30342
2021-01-07,55.95432
2021-01-08,52.52854
2021-01-09,45.51386
2021-01-10,50.73409
2021-01-11,78.46655
2021-01-12,67.37357
2021-01-13,77.1615
2021-01-14,74.06199
2021-01-15,78.79282
2021-01-16,58.8907
2021-01-17,61.99021
2021-01-18,82.87112
2021-01-19,92.49592
2021-01-20,89.72267
2021-01-21,83.68678
2021-01-22,72.43066
2021-01-23,55.79119
2021-01-24,53.67047
2021-01-25,98.69494
2021-01-26,94.4535
2021-01-27,86.78629
2021-01-28,75.53017
2021-01-29,76.6721
2021-01-30,50.57096
2021-01-31,61.50081
2021-02-01,100.0
2021-02-02,93.14845
2021-02-03,76.01957
2021-02-04,86.46003
2021-02-05,65.74225
2021-02-06,51.22349
2021-02-07,52.20228
2021-02-08,82.54486
2021-02-09,80.09787
2021-02-10,60.84828
2021-02-11,45.1876
2021-02-12,41.76182
2021-02-13,38.66231
2021-02-14,54.81239
2021-02-15,89.23327
2021-02-16,84.99184
2021-02-17,87.76508
2021-02-18,82.54486
2021-02-19,73.40946
2021-02-20,60.84828
2021-02-21,50.89722
2021-02-22,92.82218
2021-02-23,86.2969
2021-02-24,79.60848
2021-02-25,78.95595
2021-02-26,82.38172
2021-02-27,48.28711
2021-02-28,44.04567
2021-03-01,60.68515
2021-03-02,83.68678
2021-03-03,74.71451
2021-03-04,70.47308
2021-03-05,64.60032
2021-03-06,47.63458
2021-03-07,50.24469
2021-03-08,76.83523
2021-03-09,75.20391
2021-03-10,76.99836
2021-03-11,72.26753
2021-03-12,66.55791
2021-03-13,45.35073
2021-03-14,40.1305
2021-03-15,65.57911
2021-03-16,76.99836
2021-03-17,65.25285
2021-03-18,68.84176
2021-03-19,59.86949
2021-03-20,40.29363
2021-03-21,43.39314
2021-03-22,81.07667
2021-03-23,73.57259
2021-03-24,67.0473
2021-03-25,72.1044
2021-03-26,63.62153
2021-03-27,45.35073
2021-03-28,47.63458
2021-03-29,82.05546
2021-03-30,73.73572
2021-03-31,80.09787
2021-04-01,71.77814
2021-04-02,63.13213
2021-04-03,44.86133
2021-04-04,45.1876
2021-04-05,72.92006
2021-04-06,74.87765
2021-04-07,66.88417
2021-04-08,66.23164
2021-04-09,58.4013
2021-04-10,46.00326
2021-04-11,42.41435
2021-04-12,66.39477
2021-04-13,74.87765
2021-04-14,78.14029
2021-04-15,72.43066
2021-04-16,70.96247
2021-04-17,44.6982
2021-04-18,43.23001
2021-04-19,73.57259
2021-04-20,77.97716
2021-04-21,70.63621
2021-04-22,77.32463
2021-04-23,65.41598
2021-04-24,41.92495
2021-04-25,42.41435
2021-04-26,79.60848
2021-04-27,81.40293
2021-04-28,78.95595
2021-04-29,74.06199
2021-04-30,70.30995
2021-05-01,51.71288
2021-05-02,46.65579
2021-05-03,73.89885
2021-05-04,71.12561
2021-05-05,44.53507
2021-05-06,70.79934
2021-05-07,67.0473
2021-05-08,45.02446
2021-05-09,44.6982
2021-05-10,81.07667
2021-05-11,82.38172
2021-05-12,68.67862
2021-05-13,71.94127
2021-05-14,67.0473
2021-05-15,46.32952
2021-05-16,55.95432
2021-05-17,86.13376
2021-05-18,73.73572
2021-05-19,51.87601
2021-05-20,77.97716
2021-05-21,74.38825
2021-05-22,49.91843
2021-05-23,47.30831
2021-05-24,86.2969
2021-05-25,92.49592
2021-05-26,82.87112
2021-05-27,65.25285
2021-05-28,60.84828
2021-05-29,52.36541
2021-05-30,56.28058
2021-05-31,88.90701
2021-06-01,71.45187
2021-06-02,70.96247
2021-06-03,66.39477
2021-06-04,59.86949
2021-06-05,44.04567
2021-06-06,40.94616
2021-06-07,66.23164
2021-06-08,64.27406
2021-06-09,62.80587
2021-06-10,66.88417
2021-06-11,67.0473
2021-06-12,46.65579
2021-06-13,40.45676
2021-06-14,68.35236
2021-06-15,75.69331
2021-06-16,69.82055
2021-06-17,73.40946
2021-06-18,60.03262
2021-06-19,45.67699
2021-06-20,43.23001
2021-06-21,64.43719
2021-06-22,72.75693
2021-06-23,69.49429
2021-06-24,68.51549
2021-06-25,59.54323
2021-06-26,35.39967
2021-06-27,43.71941
2021-06-28,81.56606
2021-06-29,70.30995
2021-06-30,74.38825
2021-07-01,70.47308
2021-07-02,58.72756
2021-07-03,39.6411
2021-07-04,43.88254
2021-07-05,71.45187
2021-07-06,64.11092
