date,울산다운2지구우미린
2023-12-05,71.46067
2023-12-06,94.38202
2023-12-07,95.73033
2023-12-08,88.3146
2023-12-09,97.52808
2023-12-10,92.24719
2023-12-11,99.66292
2023-12-12,100.0
2023-12-13,84.60674
2023-12-14,99.88764
2023-12-15,95.28089
2023-12-16,88.08988
2023-12-17,91.91011
2023-12-18,86.96629
2023-12-19,89.77528
2023-12-20,83.37078
2023-12-21,71.68539
2023-12-22,83.93258
2023-12-23,85.39325
2023-12-24,81.23595
2023-12-25,82.69662
2023-12-26,73.5955
2023-12-27,72.92134
2023-12-28,69.55056
2023-12-29,67.86516
2023-12-30,60.44943
2023-12-31,61.12359
2024-01-01,67.41573
2024-01-02,58.3146
2024-01-03,65.84269
2024-01-04,75.39325
2024-01-05,69.10112
2024-01-06,62.35955
2024-01-07,68.53932
2024-01-08,68.08988
2024-01-09,66.62921
2024-01-10,66.40449
2024-01-11,69.10112
2024-01-12,60.33707
2024-01-13,66.51685
2024-01-14,58.76404
2024-01-15,66.74157
2024-01-16,65.84269
2024-01-17,65.16853
2024-01-18,70.78651
2024-01-19,69.55056
2024-01-20,76.85393
2024-01-21,57.7528
2024-01-22,44.38202
2024-01-23,50.78651
2024-01-24,46.40449
2024-01-25,35.50561
2024-01-26,45.73033
2024-01-27,47.30337
2024-01-28,37.30337
2024-01-29,35.28089
2024-01-30,31.01123
2024-01-31,23.82022
2024-02-01,30.89887
2024-02-02,41.68539
2024-02-03,20.22471
2024-02-04,24.60674
2024-02-05,25.16853
2024-02-06,27.7528
2024-02-07,25.50561
2024-02-08,20.78651
2024-02-09,22.02247
2024-02-10,21.12359
2024-02-11,24.49438
2024-02-12,33.48314
2024-02-13,33.70786
2024-02-14,27.97752
2024-02-15,25.84269
2024-02-16,27.07865
2024-02-17,26.40449
2024-02-18,22.02247
2024-02-19,22.69662
2024-02-20,23.5955
2024-02-21,24.60674
2024-02-22,22.80898
2024-02-23,27.41573
2024-02-24,24.26966
2024-02-25,23.48314
2024-02-26,24.7191
2024-02-27,21.57303
2024-02-28,23.25842
2024-02-29,17.64044
2024-03-01,22.47191
2024-03-02,17.07865
2024-03-03,16.96629
2024-03-04,18.98876
2024-03-05,18.98876
2024-03-06,19.4382
2024-03-07,20.56179
2024-03-08,16.06741
2024-03-09,15.84269
2024-03-10,15.50561
2024-03-11,16.06741
2024-03-12,14.94382
2024-03-13,19.32584
2024-03-14,19.4382
2024-03-15,17.07865
2024-03-16,14.26966
2024-03-17,12.24719
2024-03-18,17.52808
2024-03-19,19.10112
2024-03-20,16.96629
