date,엔화환율전망
2020-03-20,25.83205
2020-03-21,9.75422
2020-03-22,9.01177
2020-03-23,20.02048
2020-03-24,20.4045
2020-03-25,20.71172
2020-03-26,15.87301
2020-03-27,11.62314
2020-03-28,6.14439
2020-03-29,6.70762
2020-03-30,14.72094
2020-03-31,8.96057
2020-04-01,9.11418
2020-04-02,10.57347
2020-04-03,7.21966
2020-04-04,4.94111
2020-04-05,4.7107
2020-04-06,11.57194
2020-04-07,11.67434
2020-04-08,9.21658
2020-04-09,7.34767
2020-04-10,6.83563
2020-04-11,3.89144
2020-04-12,4.7875
2020-04-13,8.37173
2020-04-14,7.34767
2020-04-15,4.17306
2020-04-16,7.75729
2020-04-17,8.34613
2020-04-18,4.07066
2020-04-19,4.07066
2020-04-20,5.91397
2020-04-21,9.447
2020-04-22,8.67895
2020-04-23,6.98924
2020-04-24,7.34767
2020-04-25,4.12186
2020-04-26,3.71223
2020-04-27,7.11725
2020-04-28,6.88684
2020-04-29,5.70916
2020-04-30,3.2258
2020-05-01,4.17306
2020-05-02,2.27854
2020-05-03,2.91858
2020-05-04,6.65642
2020-05-05,4.40348
2020-05-06,7.8853
2020-05-07,8.49974
2020-05-08,4.22427
2020-05-09,2.89298
2020-05-10,1.97132
2020-05-11,3.63543
2020-05-12,3.40501
2020-05-13,3.73783
2020-05-14,4.60829
2020-05-15,4.19866
2020-05-16,2.48335
2020-05-17,1.6129
2020-05-18,3.43061
2020-05-19,2.81618
2020-05-20,2.07373
2020-05-21,1.7153
2020-05-22,2.40655
2020-05-23,1.53609
2020-05-24,1.51049
2020-05-25,3.71223
2020-05-26,2.71377
2020-05-27,1.79211
2020-05-28,2.04813
2020-05-29,2.07373
2020-05-30,1.40809
2020-05-31,0.84485
2020-06-01,3.2258
2020-06-02,2.76497
2020-06-03,6.45161
2020-06-04,3.63543
2020-06-05,4.19866
2020-06-06,1.6385
2020-06-07,1.6385
2020-06-08,4.91551
2020-06-09,3.68663
2020-06-10,1.89452
2020-06-11,2.40655
2020-06-12,1.94572
2020-06-13,0.51203
2020-06-14,0.84485
2020-06-15,1.79211
2020-06-16,1.76651
2020-06-17,1.45929
2020-06-18,1.38248
2020-06-19,1.15207
2020-06-20,0.43522
2020-06-21,0.58883
2020-06-22,1.56169
2020-06-23,1.6641
2020-06-24,1.30568
2020-06-25,1.38248
2020-06-26,1.35688
2020-06-27,0.30721
2020-06-28,0.64004
2020-06-29,1.43369
2020-06-30,2.53456
2020-07-01,1.6385
2020-07-02,1.22887
2020-07-03,1.51049
2020-07-04,0.64004
2020-07-05,0.69124
2020-07-06,1.48489
2020-07-07,1.7153
2020-07-08,1.6641
2020-07-09,1.81771
2020-07-10,2.43215
2020-07-11,0.87045
2020-07-12,0.81925
2020-07-13,1.79211
2020-07-14,1.40809
2020-07-15,1.02406
2020-07-16,1.6129
2020-07-17,1.38248
2020-07-18,0.61443
2020-07-19,0.56323
2020-07-20,1.07526
2020-07-21,1.38248
2020-07-22,1.07526
2020-07-23,1.7153
2020-07-24,2.48335
2020-07-25,1.10087
2020-07-26,1.45929
2020-07-27,3.12339
2020-07-28,2.38095
2020-07-29,1.76651
2020-07-30,1.89452
2020-07-31,2.20174
2020-08-01,0.99846
2020-08-02,0.76804
2020-08-03,2.27854
2020-08-04,1.84331
2020-08-05,2.27854
2020-08-06,1.89452
2020-08-07,1.89452
2020-08-08,1.15207
2020-08-09,0.89605
2020-08-10,1.74091
2020-08-11,2.43215
2020-08-12,3.68663
2020-08-13,3.09779
2020-08-14,1.99692
2020-08-15,0.46082
2020-08-16,0.28161
2020-08-17,0.43522
2020-08-18,1.51049
2020-08-19,0.94726
2020-08-20,1.20327
2020-08-21,0.53763
2020-08-22,0.56323
2020-08-23,0.30721
2020-08-24,0.53763
2020-08-25,1.15207
2020-08-26,0.99846
2020-08-27,0.87045
2020-08-28,2.48335
2020-08-29,1.56169
2020-08-30,1.07526
2020-08-31,2.07373
2020-09-01,2.50896
2020-09-02,1.79211
2020-09-03,1.45929
2020-09-04,1.22887
2020-09-05,0.71684
2020-09-06,0.51203
2020-09-07,1.7153
2020-09-08,1.6129
2020-09-09,1.76651
2020-09-10,1.28008
2020-09-11,0.89605
2020-09-12,0.38402
2020-09-13,0.69124
2020-09-14,1.30568
2020-09-15,1.48489
2020-09-16,1.40809
2020-09-17,1.38248
2020-09-18,3.07219
2020-09-19,0.79365
2020-09-20,0.71684
2020-09-21,2.30414
2020-09-22,2.38095
2020-09-23,1.99692
2020-09-24,1.99692
2020-09-25,1.43369
2020-09-26,0.35842
2020-09-27,0.40962
2020-09-28,1.02406
2020-09-29,1.45929
2020-09-30,1.04966
2020-10-01,0.89605
2020-10-02,1.20327
2020-10-03,0.69124
2020-10-04,0.69124
2020-10-05,3.02099
2020-10-06,2.81618
2020-10-07,2.35535
2020-10-08,2.81618
2020-10-09,1.6129
2020-10-10,1.04966
2020-10-11,0.97286
2020-10-12,2.53456
2020-10-13,1.6129
2020-10-14,1.6385
2020-10-15,1.56169
2020-10-16,1.12647
2020-10-17,0.46082
2020-10-18,0.48643
2020-10-19,1.99692
2020-10-20,2.32974
2020-10-21,2.43215
2020-10-22,1.56169
2020-10-23,1.33128
2020-10-24,0.38402
2020-10-25,0.48643
2020-10-26,1.6385
2020-10-27,2.12493
2020-10-28,1.38248
2020-10-29,1.17767
2020-10-30,0.97286
2020-10-31,0.35842
2020-11-01,0.51203
2020-11-02,1.20327
2020-11-03,1.15207
2020-11-04,2.07373
2020-11-05,1.56169
2020-11-06,2.09933
2020-11-07,0.92165
2020-11-08,1.6129
2020-11-09,4.8131
2020-11-10,5.93958
2020-11-11,5.76036
2020-11-12,3.37941
2020-11-13,2.02252
2020-11-14,0.79365
2020-11-15,0.76804
2020-11-16,2.89298
2020-11-17,2.79057
2020-11-18,2.84178
2020-11-19,2.17613
2020-11-20,1.74091
2020-11-21,0.48643
2020-11-22,1.12647
2020-11-23,1.5873
2020-11-24,1.79211
2020-11-25,1.7153
2020-11-26,2.09933
2020-11-27,1.76651
2020-11-28,0.97286
2020-11-29,1.20327
2020-11-30,2.27854
2020-12-01,2.58576
2020-12-02,3.89144
2020-12-03,5.47875
2020-12-04,7.65488
2020-12-05,4.68509
2020-12-06,3.63543
2020-12-07,7.8853
2020-12-08,5.70916
2020-12-09,5.88837
2020-12-10,5.55555
2020-12-11,4.8387
2020-12-12,2.58576
2020-12-13,2.35535
2020-12-14,4.22427
2020-12-15,3.32821
2020-12-16,3.94265
2020-12-17,4.68509
2020-12-18,3.35381
2020-12-19,2.53456
2020-12-20,1.28008
2020-12-21,2.96979
2020-12-22,4.04505
2020-12-23,3.45622
2020-12-24,2.96979
2020-12-25,1.35688
2020-12-26,1.51049
2020-12-27,1.6129
2020-12-28,3.1746
2020-12-29,3.30261
2020-12-30,3.53302
2020-12-31,2.40655
2021-01-01,1.7153
2021-01-02,1.76651
2021-01-03,1.99692
2021-01-04,3.76344
2021-01-05,4.04505
2021-01-06,3.50742
2021-01-07,2.66257
2021-01-08,3.45622
2021-01-09,1.48489
