date,미국주식거래시간
2020-03-20,47.06867
2020-03-21,27.47068
2020-03-22,15.91289
2020-03-23,59.29648
2020-03-24,65.49413
2020-03-25,77.05192
2020-03-26,61.30653
2020-03-27,70.68676
2020-03-28,24.45561
2020-03-29,10.38525
2020-03-30,44.55611
2020-03-31,45.39363
2020-04-01,44.2211
2020-04-02,60.134
2020-04-03,49.91624
2020-04-04,23.11557
2020-04-05,9.88274
2020-04-06,55.77889
2020-04-07,68.84422
2020-04-08,50.58626
2020-04-09,53.93634
2020-04-10,76.71691
2020-04-11,23.11557
2020-04-12,21.44053
2020-04-13,59.12897
2020-04-14,49.24623
2020-04-15,48.57621
2020-04-16,47.40368
2020-04-17,64.48911
2020-04-18,27.47068
2020-04-19,12.73031
2020-04-20,32.49581
2020-04-21,45.05862
2020-04-22,59.46398
2020-04-23,43.55108
2020-04-24,25.96314
2020-04-25,9.54773
2020-04-26,4.52261
2020-04-27,19.26298
2020-04-28,22.61306
2020-04-29,23.45058
2020-04-30,25.79564
2020-05-01,19.93299
2020-05-02,10.05025
2020-05-03,5.02512
2020-05-04,17.92294
2020-05-05,21.27303
2020-05-06,18.09045
2020-05-07,15.57788
2020-05-08,15.74539
2020-05-09,15.91289
2020-05-10,10.72026
2020-05-11,28.1407
2020-05-12,22.78056
2020-05-13,24.1206
2020-05-14,20.268
2020-05-15,15.07537
2020-05-16,7.70519
2020-05-17,4.69011
2020-05-18,24.1206
2020-05-19,28.3082
2020-05-20,18.76046
2020-05-21,17.25293
2020-05-22,17.25293
2020-05-23,8.2077
2020-05-24,6.19765
2020-05-25,31.65829
2020-05-26,30.15075
2020-05-27,11.89279
2020-05-28,13.90284
2020-05-29,17.75544
2020-05-30,10.38525
2020-05-31,6.53266
2020-06-01,23.45058
2020-06-02,20.1005
2020-06-03,19.93299
2020-06-04,21.77554
2020-06-05,34.67336
2020-06-06,27.63819
2020-06-07,10.88777
2020-06-08,47.23618
2020-06-09,46.39865
2020-06-10,32.3283
2020-06-11,25.46063
2020-06-12,36.0134
2020-06-13,12.56281
2020-06-14,7.87269
2020-06-15,27.30318
2020-06-16,19.09547
2020-06-17,15.07537
2020-06-18,12.0603
2020-06-19,15.07537
2020-06-20,9.21273
2020-06-21,3.85259
2020-06-22,18.76046
2020-06-23,20.268
2020-06-24,22.27805
2020-06-25,24.95812
2020-06-26,24.62311
2020-06-27,17.92294
2020-06-28,11.05527
2020-06-29,48.0737
2020-06-30,23.28308
2020-07-01,19.76549
2020-07-02,22.11055
2020-07-03,62.64656
2020-07-04,32.1608
2020-07-05,13.40033
2020-07-06,40.53601
2020-07-07,36.0134
