date,매출채권
2020-03-20,46.20689
2020-03-21,29.48275
2020-03-22,29.82758
2020-03-23,60.17241
2020-03-24,68.27586
2020-03-25,67.93103
2020-03-26,76.72413
2020-03-27,62.93103
2020-03-28,37.93103
2020-03-29,35.86206
2020-03-30,72.41379
2020-03-31,72.75862
2020-04-01,63.96551
2020-04-02,59.31034
2020-04-03,60.0
2020-04-04,42.5862
2020-04-05,39.48275
2020-04-06,67.75862
2020-04-07,73.44827
2020-04-08,74.65517
2020-04-09,67.5862
2020-04-10,63.44827
2020-04-11,37.93103
2020-04-12,47.06896
2020-04-13,69.31034
2020-04-14,69.13793
2020-04-15,48.10344
2020-04-16,73.27586
2020-04-17,65.68965
2020-04-18,35.51724
2020-04-19,45.17241
2020-04-20,70.68965
2020-04-21,80.0
2020-04-22,77.41379
2020-04-23,62.93103
2020-04-24,63.7931
2020-04-25,35.51724
2020-04-26,37.75862
2020-04-27,67.75862
2020-04-28,76.03448
2020-04-29,55.86206
2020-04-30,33.7931
2020-05-01,32.41379
2020-05-02,26.72413
2020-05-03,32.75862
2020-05-04,51.20689
2020-05-05,43.27586
2020-05-06,69.31034
2020-05-07,79.48275
2020-05-08,69.31034
2020-05-09,42.75862
2020-05-10,37.24137
2020-05-11,71.72413
2020-05-12,77.24137
2020-05-13,67.75862
2020-05-14,68.10344
2020-05-15,64.31034
2020-05-16,29.82758
2020-05-17,33.10344
2020-05-18,62.24137
2020-05-19,60.17241
2020-05-20,58.44827
2020-05-21,66.72413
2020-05-22,51.20689
2020-05-23,25.86206
2020-05-24,33.27586
2020-05-25,56.03448
2020-05-26,54.31034
2020-05-27,54.13793
2020-05-28,53.62068
2020-05-29,45.17241
2020-05-30,27.24137
2020-05-31,32.5862
2020-06-01,52.5862
2020-06-02,50.68965
2020-06-03,49.48275
2020-06-04,56.55172
2020-06-05,48.62068
2020-06-06,29.13793
2020-06-07,33.7931
2020-06-08,57.24137
2020-06-09,60.17241
2020-06-10,66.03448
2020-06-11,56.89655
2020-06-12,60.86206
2020-06-13,43.62068
2020-06-14,34.65517
2020-06-15,59.48275
2020-06-16,65.51724
2020-06-17,59.82758
2020-06-18,77.5862
2020-06-19,80.68965
2020-06-20,39.13793
2020-06-21,39.65517
2020-06-22,61.20689
2020-06-23,76.20689
2020-06-24,68.27586
2020-06-25,69.31034
2020-06-26,55.51724
2020-06-27,35.17241
2020-06-28,37.93103
2020-06-29,53.96551
2020-06-30,62.93103
2020-07-01,53.44827
2020-07-02,45.51724
2020-07-03,37.93103
2020-07-04,18.44827
2020-07-05,20.86206
2020-07-06,47.5862
2020-07-07,46.72413
2020-07-08,44.48275
2020-07-09,45.51724
2020-07-10,35.68965
2020-07-11,20.17241
2020-07-12,16.89655
